txn_id,cardholder,amount,reason
CX0MLL2Z9G,Joshua Morris,115.45,merchant category not covered by the policy
CXA9VPYQZY,Rebecca Garcia,47.95,personal charge - cardholder owes it back
CXZSYK79TT,Kimberly Rogers,67.71,general merchandise with no job number - cannot tell what was bought
CXV7WNG81D,Deborah Okafor,65.70,"travel meals over the per diem on 2026-08-11 (cap 70.00, spent 81.60)"
CXYFFBJPS2,Kimberly Rogers,22.99,personal charge - cardholder owes it back
CXUDPJW5B6,Deborah Okafor,69.80,personal charge - cardholder owes it back
CX5WDJ0UV0,Deborah Okafor,57.89,"travel meals over the per diem on 2026-08-13 (cap 52.50, spent 57.89)"
CXHJUP8A77,Gary Phillips,169.30,general merchandise with no job number - cannot tell what was bought
CXZ2CP5DZN,Rebecca Garcia,56.60,"travel meals over the per diem on 2026-08-24 (cap 52.50, spent 56.60)"
CX4TR2BFXE,Rebecca Garcia,68.43,"travel meals over the per diem on 2026-08-25 (cap 70.00, spent 96.63)"
CXYT37QH7N,Kimberly Rogers,243.71,merchant category not covered by the policy
CX48DXDF8E,Gary Phillips,77.87,personal charge - cardholder owes it back
