donor_id,donor_name,total_2024,total_2025
D-10400,Deborah Okafor,400.00,0.00
D-10413,Richard Richardson,1000.00,0.00
D-10426,Kenneth Ward,350.00,400.00
D-10439,Stephanie Alvarez,1050.00,350.00
D-10452,Charles Mensah,0.00,200.00
D-10465,Anna Clark,0.00,2300.00
D-10478,Matthew and Dmitri White,750.00,4300.00
D-10504,Kwame Nelson,225.00,1150.00
D-10517,Richard and Leila Haddad,2050.00,350.00
D-10530,Dana Thomas,1150.00,125.00
D-10543,Linda Cook,1250.00,475.00
D-10556,Rahul Lee,2125.00,350.00
D-10569,Angela Flores,350.00,2050.00
D-10582,Sarah Walker,2025.00,350.00
D-10595,Aisha and Matthew Hernandez,200.00,2325.00
D-10608,Laura Ortiz,575.00,75.00
D-10621,Thomas Johnson,325.00,1250.00
D-10634,Joshua Scott,100.00,0.00
D-10647,Sarah Wood,1700.00,0.00
D-10660,George Reed,0.00,75.00
D-10673,Amara and Karen Nguyen,600.00,985.00
D-10686,Priya and Kathleen Taylor,1850.00,575.00
D-10699,Kathleen Anderson,225.00,5655.00
D-10712,Yuki and William Lopez,1500.00,550.00
D-10725,Hiroshi and Matthew Lindqvist,1350.00,300.00
D-10738,Charles and Timothy Wilson,350.00,2075.00
D-10751,Betty Cooper,1075.00,1700.00
D-10764,Karen Carter,450.00,215.00
D-10777,Ryan Mitchell,700.00,550.00
D-10790,Jonathan Kim,200.00,650.00
D-10803,Amy King,650.00,650.00
