unit,building,unit_number,status,tenant_last,monthly_rent,expiring,former_tenant_last
A-101,Alder Court,101,occupied,Anderson,1590,yes,
A-102,Alder Court,102,occupied,Brown,1265,no,
A-103,Alder Court,103,month-to-month,Myers,1190,no,
A-104,Alder Court,104,occupied,Mitchell,1015,no,
A-105,Alder Court,105,occupied,Long,1735,no,
A-106,Alder Court,106,vacant,,0,no,Gutierrez
A-107,Alder Court,107,occupied,Ramos,1065,no,
A-201,Alder Court,201,occupied,Osei,2095,no,
A-202,Alder Court,202,occupied,Martin,1570,no,
A-203,Alder Court,203,occupied,Ross,1245,no,
A-204,Alder Court,204,month-to-month,Torres,1255,no,
A-205,Alder Court,205,vacant,,0,no,
A-206,Alder Court,206,occupied,Morales,1265,yes,
A-207,Alder Court,207,occupied,Flores,1975,yes,
B-101,Birch House,101,occupied,Richardson,2070,no,
B-102,Birch House,102,occupied,Bennett,1580,yes,
B-103,Birch House,103,occupied,Green,1695,yes,
B-104,Birch House,104,vacant,,0,no,Haddad
B-105,Birch House,105,occupied,Lindqvist,1710,no,
B-201,Birch House,201,occupied,Baker,1990,no,
B-202,Birch House,202,month-to-month,Williams,1730,no,
B-203,Birch House,203,occupied,Bailey,2010,no,
B-204,Birch House,204,occupied,Gray,1690,no,
B-205,Birch House,205,occupied,Allen,1105,yes,
