First Name,Last Name,Title,Email,Phone,Account,Primary
Barbara,Thomas,Owner,barbara.thomas@yellowstoneranch.com,425.555.4314,Yellowstone Ranch Supply,N
Patricia,Collins,Director of Operations,patricia.collins@brightwaterutil.com,+1 971 555 7846,Brightwater Utilities,N
Nicholas,Tanaka,CEO,nicholas.tanaka@zenithoptics.com,360.555.1258,ZENITH PRECISION OPTICS,N
Jonathan,Lewis,VP Finance,jonathan.lewis@pilgrimfreight.com,206.555.9508,Pilgrim Freight Lines,Y
Robert,Hernandez,Director of Operations,robert.hernandez@quarterdeckmarine.com,(503) 555-2454,Quarterdeck Marine,N
Hiroshi,Phillips,Controller,hiroshi.phillips@marlowfinch.com,+1 (360) 555-5345,Marlow & Finch LLP,N
Jennifer,Bennett,Head of Procurement,jennifer.bennett@trailheadbikes.com,4255555629,Trailhead Bicycles,Y
Angela,Brooks,CFO,angela.brooks@ashgrovemfg.com,503.555.1690,ASHGROVE MANUFACTURING,Y
Kwame,Adams,COO,kwame.adams@kingswaytransit.gov,+1 (971) 555-7755,Kingsway Transit Authority,N
Brian,Diaz,Controller,BRIAN.DIAZ@BRIGHTWATERUTIL.COM,206.555.3441,Brightwater Utilities,N
Angela,Wood,HR Director,angela.wood@whitlockaero.com,9715552140,Whitlock Aerospace Components,Y
James,Chavez,Director of Operations,james.chavez@lumendental.com,+1 (360) 555-5014,Lumen Dental Group,N
Brian,Cooper,COO,brian.cooper@harborviewins.com,206-555-3762,Harborview Insurance Group,N
Lisa,Morgan,Plant Manager,lisa.morgan@zenithoptics.com,(360) 555-7170,Zenith Precision Optics,Y
Kathleen,Smith,Office Manager,kathleen.smith@zenithoptics.com,206-555-4952,ZENITH PRECISION OPTICS,N
Ronald,Bennett,Director of Operations,ronald.bennett@bellwetherlogistics.com,971-555-1704,Bellwether Logistics,Y
Nadia,Mitchell,VP Operations,nadia.mitchell@granitestatetooling.com,1-360-555-3701,Granite State Tooling,N
Nicholas,Ross,VP Finance,nicholas.ross@redstonepg.com,(206) 555-7594,Redstone Property Group,N
Jennifer,Lopez,VP Finance,jennifer.lopez@dunmorehotels.com,4255559027,Dunmore Hospitality,N
Andrew,Collins,CFO,andrew.collins@tidewaterpkg.com,4255552849,Tidewater Packaging,Y
Nancy,Kelly,CFO,nancy.kelly@lumendental.com,+1 503 555 4289,Lumen Dental Group,N
Marcus,Ruiz,VP Finance,marcus.ruiz@hartwellplastics.com,206.555.2731,Hartwell Plastics,Y
Jennifer,Myers,Head of Procurement,jennifer.myers@millbrookortho.com,9715556997,Millbrook Orthopedics ,N
Jennifer,Brown,Director of Operations,jennifer.brown@nightingalehc.com,971-555-8922,Nightingale Home Care,N
Nancy,Nelson,VP Finance,nancy.nelson@junipersoft.io,+1 971 555 1860,Juniper Software,Y
Mary,Young,CFO,mary.young@ultramarshipping.com,206-555-1806,Ultramar Shipping,Y
Jessica,Edwards,VP Finance,jessica.edwards@crestlinecharter.org,1-971-555-9575,Crestline Charter Schools,N
Mateo,Bennett,Director of IT,mateo.bennett@norwichtool.com,(206) 555-2186,Norwich Tool & Die,N
Brian,Reyes,General Manager,brian.reyes@eastgatemed.com,(503) 555-5051,Eastgate Medical Supply,Y
Angela,Okafor,VP Operations,angela.okafor@norwichtool.com,+1 (503) 555-4870,Norwich Tool & Die,Y
Dana,Kim,CEO,dana.kim@quenchwell.com,+1 206 555 1332,Quenchwell Beverages,Y
Brian,Diaz,Plant Manager,brian.diaz@brightwaterutil.com,+1 (206) 555-3441,Brightwater Utilities,N
Anthony,Murphy,VP Operations,Anthony.Murphy@millbrookortho.com,206-555-6986,Millbrook Orthopedics,Y
Anna,Davis,Director of IT,anna.davis@jasperridgewine.com,971-555-1206,Jasper Ridge Winery,Y
Angela,Tanaka,CEO,angela.tanaka@brixtonfasteners.com,503.555.7003,Brixton Fasteners ,N
Elizabeth,Turner,Office Manager,elizabeth.turner@lindenwoodal.com,206.555.8329,Lindenwood Assisted Living,Y
Ronald,Young,Managing Partner,ronald.young@amberlybeauty.com,+1 (425) 555-2332,Amberly Cosmetics,Y
Yuki,Gonzalez,Director of Operations,yuki.gonzalez@marlowfinch.com,+1 (360) 555-2036,Marlow & Finch LLP,N
Kwame,Gonzalez,VP Operations,kwame.gonzalez@driftwoodstudios.tv,503-555-7591,Driftwood Studios,N
Andrew,Ross,Owner,andrew.ross@kestrelaviation.com,425-555-9725,Kestrel Aviation Services ,N
