Donor ID,First Name,Last Name,Email,Phone,Street,City,State,ZIP,Donor Since,Preferred Contact
D-00067,Donna,Lewis,dlewis@gmail.com,2075554548,1462 Mackworth Road Apt 1,South Portland,ME,04106,09/11/16,Email
D-00156,Sharon,Cox,cox.sharon@gmail.com,2075552648,204 Chestnut Drive,Falmouth,ME,04105,2015-12-31,Phone
D-00182,William,Davis,Williamdavis75@gmail.com,2075559131,559 Congress Ave,Westbrook,ME,04092,"April 06, 2026",Email
D-00163,Luis,Garcia,garcia.luis@gmail.com,(207) 555-5440,1299 Bramhall Road,South Portland,ME,04106,07/11/20,Email
D-00021,Betty,Collins,bcollins@yahoo.com,(207) 555-4316,1426 Birch Avenue,Portland,ME,04101,"July 08, 2025",Mail
D-00145,Chloe,Jones,chloejones11@comcast.net,(207) 555-2879,1213 Highland Court,South Portland,ME,04106,"October 01, 2018",Mail
D-00121,Gary,Mendoza,gary.mendoza@comcast.net,(207) 555-1820,486 Mackworth Avenue,Falmouth,ME,04105,03/20/2014,Mail
D-00013,Ashley,Morales,morales.ashley@icloud.com,2075554850,707 Allen Street,Portland,ME,04101,19-Dec-2012,Email
D-00151,Andrew,Hughes,andrew.hughes@yahoo.com,(207) 555-8903,1285 Brackett Court,Portland,ME,04103,08/07/2017,Mail
D-00149,Paul,King,paulking32@outlook.com,2075556654,1251 Woodford Lane,Cape Elizabeth,ME,04107,"October 02, 2023",Email
D-00011,Donald,Lopez,dlopez@comcast.net,(207) 555-8590,688 Forest Ln,Portland,ME,04103,11/05/2018,Email
D-00085,John,Gomez,gomez.john@gmail.com,2075551882,220 Danforth Road,Portland,ME,04102,2013-07-15,Email
D-00035,Ingrid,Mensah,imensah@comcast.net,(207) 555-9341,297 Brackett Road Unit 4,Portland,ME,04103,"April 26, 2025",Mail
D-00079,Jeffrey,Thompson,jeffrey.thompson@gmail.com,(207) 555-7011,568 Elm Road,Portland,ME,04102,06/20/2013,Email
D-00123,Amanda,King,amandaking44@yahoo.com,(207) 555-9537,1288 Shore Court,Scarborough,ME,04074,18-May-2014,Email
D-00110,Marcus,Edwards,edwards.marcus@comcast.net,(207) 555-9621,56 Summit Drive Apt 6,Portland,ME,04102,11/05/24,Email
D-00144,Yuki,Chavez,yuki.chavez@outlook.com,(207) 555-8100,886 Ludlow Road,Portland,ME,04102,20-Jun-2017,Email
D-00038,Elizabeth,Young,elizabeth.young@outlook.com,(207) 555-9120,495 Chestnut Court,Westbrook,ME,04092,"May 09, 2012",Email
D-00024,Hiroshi,Bailey,hiroshi.bailey@outlook.com,2075558614,629 Elm Drive,Cape Elizabeth,ME,04107,"July 28, 2017",Email
D-00098,Kevin,Baker,kevinbaker50@gmail.com,(207) 555-2133,917  Spring Dr,Westbrook,ME,04092,"November 06, 2014",Email
D-00033,Hiroshi,Tanaka,htanaka@icloud.com,(207) 555-4605,531 Deering Road,Portland,ME,04101,10/05/2024,Email
D-00143,Sofia,Bailey,sofiabailey64@outlook.com,2075555596,132 Shore Road,Westbrook,ME,04092,"March 03, 2021",Phone
D-00142,Dorothy,Taylor,dorothy.taylor@maine.rr.com,(207) 555-2667,782 Mackworth Ct.,Portland,ME,04103,02/24/24,Email
D-00119,Anthony,Martin,anthony.martin@gmail.com,(207) 555-5479,841 Grant Drive,South Portland,ME,04106,24-Aug-2016,Phone
D-00048,Eric,Tanaka,eric.tanaka@maine.rr.com,(207) 555-9510,984  HIGHLAND LN.,Scarborough,ME,04074,05-Apr-2013,Phone
D-00053,Dmitri,Chavez,dmitrichavez91@gmail.com,2075558958,,,,,2022-10-17,Mail
D-00063,Leila,Hall,lhall@gmail.com,2075555530,1131 Ocean Avenue Apt 3B,Scarborough,ME,04074,10/24/14,Email
D-00128,Dmitri,Diaz,diaz.dmitri@outlook.com,2075553770,1476 Woodford Drive,Portland,ME,04101,"November 08, 2021",Email
D-00096,William,Reed,williamreed46@icloud.com,2075559611,458 Vaughan Drive Apt 2,Scarborough,ME,04074,05/25/2012,Mail
D-00152,Ryan,Wright,ryan.wright@outlook.com,(207) 555-4889,1106 Cumberland Court,Falmouth,ME,04105,"November 05, 2022",Phone
D-00023,Edward,Cooper,edward.cooper@yahoo.com,2075552821,94 Danforth Road,South Portland,ME,04106,"May 30, 2017",Mail
D-00065,Deborah,Myers,deborahmyers20@maine.rr.com,(207) 555-9494,609 Stevens Street,Cape Elizabeth,ME,04107,"May 22, 2020",Email
D-00026,Melissa,King,melissaking64@gmail.com,2075558344,196 Summit Street,Scarborough,ME,04074,20-Sep-2022,Email
D-00169,Jessica,Jackson,jackson.jessica@gmail.com,(207) 555-7865,29 Brackett Road Unit 4,Cape Elizabeth,ME,04107,2025-05-13,Email
D-00086,Amara,Bennett,bennett.amara@icloud.com,2075551433,568 Shore Road,Portland,ME,04101,"August 17, 2025",Email
D-00001,Patricia,Castillo,pcastillo@icloud.com,(207) 555-9468,198  Ludlow Ave,South Portland,ME,04106,"May 31, 2016",Phone
D-00109,Donald,Harris,dharris@yahoo.com,2075556431,702 Mackworth Road,Portland,ME,04102,17-Mar-2024,Email
D-00009,Jonathan,Thompson,jthompson@outlook.com,(207) 555-6824,1410 Elm Avenue Apt 2,Portland,ME,04102,"March 07, 2015",Email
D-00020,Emily,Lewis,emilylewis98@maine.rr.com,2075553325,721 Grant Street,Portland,ME,04101,11/26/13,Email
D-00157,Chloe,Anderson,anderson.chloe@icloud.com,2075557738,421 Highland Lane,Scarborough,ME,04074,31-Jul-2022,Email
D-00041,Paul,Cooper,cooper.paul@gmail.com,2075558125,393 Baxter Street,Portland,ME,04103,04/07/2013,Email
D-00176,Carol,Richardson,carolrichardson65@yahoo.com,(207) 555-3907,1211 Pine Lane,Cape Elizabeth,ME,04107,2025-07-17,Email
D-00010,Rahul,Evans,rahul.evans@yahoo.com,2075556322,820 Brackett Road,Westbrook,ME,04092,09/06/2022,Email
D-00077,Elizabeth,Okafor,eokafor@outlook.com,2075552449,1126 Shore Street,South Portland,ME,04106,09/22/2013,Email
D-00060,Betty,King,bettyking86@outlook.com,(207) 555-9017,751 Baxter Street Apt 2,Cape Elizabeth,ME,04107,03/17/2020,Email
D-00104,Eric,Cooper,cooper.eric@gmail.com,(207) 555-4924,393  BAXTER ST,Portland,ME,04103,05/07/2013,Mail
D-00097,Emily,Ward,eward@gmail.com,(207) 555-2226,539 Congress Lane Apt 2,Cape Elizabeth,ME,04107,28-Aug-2016,Mail
D-00141,Paul,Nguyen,paulnguyen27@comcast.net,2075558839,981 Congress Avenue,Portland,ME,04102,04/04/2013,Phone
D-00051,Yuki,Nguyen,yukinguyen77@icloud.com,2075559574,981 Congress Ave,Portland,ME,04102,"April 29, 2024",Email
D-00113,Mateo,Cook,cook.mateo@outlook.com,2075557403,192 Cumberland Avenue Apt 1,Westbrook,ME,04092,05/31/24,Email
D-00178,Nicholas,Adams,NICHOLAS.ADAMS@COMCAST.NET,2075552439,117 Pleasant Ln,Falmouth,ME,04105,08-Jul-2026,Email
D-00135,Eric,Lewis,eric.lewis@maine.rr.com,2075555026,1329 Ocean Street,Falmouth,ME,04105,2016-03-24,Mail
D-00064,Nicholas,Adams,nicholas.adams@comcast.net,(207) 555-2439,117 Pleasant Lane,Falmouth,ME,04105,12/04/15,Mail
D-00118,Brian,Cox,cox.brian@outlook.com,(207) 555-4058,204 CHESTNUT DR.,Falmouth,ME,04105,05/19/2013,Phone
D-00099,Jonathan,Collins,jcollins@yahoo.com,2075555935,1426  Birch Ave.,Portland,ME,04101,2015-12-24,Email
D-00161,Carol,Diaz,carol.diaz@icloud.com,(207) 555-1204,56 Summit Drive Apt 3,Portland,ME,04102,27-Dec-2012,Email
D-00074,Mary,Hughes,maryhughes78@comcast.net,2075552249,1285 Brackett Ct,Portland,ME,04103,04/17/12,Email
D-00100,Jason,Gomez,gomez.jason@comcast.net,(207) 555-4348,654 Veranda Avenue,Cape Elizabeth,ME,04107,2021-02-20,Email
D-00133,Jennifer,Castillo,castillo.jennifer@comcast.net,(207) 555-2190,198 Ludlow Avenue,South Portland,ME,04106,08-Jun-2023,Email
D-00124,Jason,Morales,jason.morales@maine.rr.com,2075558533,423 Deering Avenue,Portland,ME,04101,09/14/2016,Phone
D-00017,Ronald,Diaz,ronald.diaz@icloud.com,(207) 555-8182,1410 Allen Ct.,Portland,ME,04103,2018-03-18,Mail
D-00047,Ronald,Kelly,ronald.kelly@gmail.com,2075554753,,,,,09/01/13,Email
D-00106,Emily,Smith,emilysmith48@maine.rr.com,(207) 555-2035,939 Washington Lane,Scarborough,ME,04074,11/20/2015,Phone
D-00091,Patricia,Turner,pturner@comcast.net,(207) 555-1043,1468 Birch Avenue,Portland,ME,04102,29-Dec-2020,Email
D-00150,Rebecca,Ruiz,rebeccaruiz77@outlook.com,(207) 555-4871,235 Pine Street,Scarborough,ME,04074,12/24/23,Email
D-00088,Joseph,Miller,josephmiller30@icloud.com,2075551044,234 Vaughan Avenue,Portland,ME,04103,"October 10, 2021",Phone
D-00153,Angela,Lopez,lopez.angela@comcast.net,(207) 555-1083,557  Pleasant Rd.,South Portland,ME,04106,05-Dec-2018,Email
D-00018,Tomasz,Cox,cox.tomasz@comcast.net,(207) 555-7420,1460 Woodford Drive,Westbrook,ME,04092,10/22/20,Phone
D-00158,Dorothy,Anderson,danderson@maine.rr.com,(207) 555-3745,1188 Chestnut Drive,Westbrook,ME,04092,2025-08-14,Mail
D-00090,Angela,Morales,angelamorales28@outlook.com,(207) 555-2109,725 CHESTNUT DR,Portland,ME,04101,"June 02, 2024",Phone
D-00055,Kwame,Johnson,johnson.kwame@maine.rr.com,(207) 555-2840,1143 Vaughan Avenue,South Portland,ME,04106,15-Nov-2023,Mail
D-00134,Timothy,Cooper,cooper.timothy@yahoo.com,2075551873,1045 Cumberland Lane,Cape Elizabeth,ME,04107,"March 12, 2020",Mail
D-00050,Marcus,Howard,mhoward@outlook.com,2075552500,109 Summit Court,Scarborough,ME,04074,08/02/16,Email
D-00025,Michael,Taylor,michaeltaylor38@icloud.com,2075551625,782 Mackworth Court,Portland,ME,04103,30-Dec-2020,Phone
D-00148,Yuki,Baker,baker.yuki@outlook.com,2075554230,917 Spring Drive,Westbrook,ME,04092,03-Dec-2022,Phone
D-00164,Kenneth,Long,klong@gmail.com,2075553056,1410 Allen Court,Portland,ME,04103,"November 16, 2023",Email
