Gift ID,Donor ID,Donor,Gift Date,Amount,Program,Gift Type,Pledge ID,Payment Method,Acknowledged
G-10001,D-00069,Kwame Turner,2025-01-15,500,Youth Literacy,Pledge payment,PL-0061,Online,Y
G-10002,D-00073,Thomas Jones,17-Jan-2025,100.00,Food Pantry,One-time,,Credit card,n/a
G-10003,D-72,Carol Rogers,2025-01-19,$300.00,Food Pantry,Pledge payment,PL-0043,ACH,Sent 02/04/2025
G-10004,D-00150,"Ruiz, Rebecca",2025-01-23,100.00,Food Pantry,One-time,,Check,Sent 02/05/2025
G-10005,D-2,"Collins, Paul",01/24/2025,"$2,500.00",Youth Literacy,One-time,,Credit card,Yes
G-10006,D-00080,Donald Rodriguez,2025-01-24,100.00,Food Pantry,Pledge payment,PL-0059,Check,yes
G-10007,D-00046,Margaret Young,29-Jan-2025,50.00,General Operating,One-time,,Check,N
G-10008,D-00156,Sharon Cox,01/30/2025,50,General Operating ,One-time,,Credit card,N
G-10009,D-00101,"Gonzalez, Jeffrey","February 05, 2025",500.00,Youth Literacy,One-time,,Credit card,Y
G-10010,D-00084,Hiroshi Phillips,2025-02-07,$150.00,General Operating,One-time,,ACH,
G-10011,176,Carol Richardson,02/10/2025,25.00,Youth Literacy,One-time,,Check,yes
G-10012,D-00038,Elizabeth Young,12-Feb-2025,$200.00,Food Pantry,One-time,,Check,
G-10013,D-00123,Amanda King,13-Feb-2025,500.00,Food Pantry,Pledge payment,PL-0025,Online,yes
G-10014,D-00033,Hiroshi Tanaka,14-Feb-2025,1250.00,SENIOR MEALS,Pledge payment,42,Check,yes
G-10015,110,Marcus Edwards,02/14/2025,250.00,Senior Meals,One-time,,Cash,Y
G-10016,D-00175,Yuki Ross,"February 17, 2025",125.00,Food Pantry,Pledge payment,PL-36,ACH,N
G-10017,103,Joseph Campbell,"February 21, 2025",750.00,Scholarships ,One-time,,Check,Yes
G-10018,D-00066,Shirley Gonzalez,02/24/25,$50.00,Youth Literacy,One-time,,ACH,N
G-10019,D-00115,Nancy Mensah,24-Feb-2025,500.00,youth literacy,One-time,,Check,yes
G-10020,D-157,"Anderson, Chloe",02/24/25,125.00,General Operating,Pledge payment,PL-0001,Cash,n/a
G-10021,D-00124,Jason Morales,03/05/2025,500.00,Youth Literacy ,One-time,,Online,Y
G-10022,D-00154,Luis Myers,"March 07, 2025",500.00,Senior Meals,One-time,,Cash,Yes
G-10023,D-00098,Kevin Baker,"March 13, 2025","2,500.00",food pantry,One-time,,ACH,Y
G-10024,D-00174,Cynthia Allen,03/14/2025,$500.00,Senior Meals,Pledge payment,PL-45,Credit card,Yes
G-10025,9,Jonathan Thompson,2025-03-16,500.00,YOUTH LITERACY,Pledge payment,PL-0023,Credit card,Yes
G-10026,D-00037,Aisha Bennett,03/16/25,100,Food Pantry,Pledge payment,PL-0032,Credit card,n/a
G-10027,D-00095,Rebecca Chavez,16-Mar-2025,5000.00,Senior Meals ,Pledge payment,PL-0041,Cash,yes
G-10028,D-00115,Nancy Mensah,03/17/25,5000,Senior Meals,Pledge payment,46,ACH,Sent 03/23/2025
G-10029,D-00134,Timothy Cooper,20-Mar-2025,200.00,Senior Meals,One-time,,Cash,
G-10030,D-165,Patricia Thompson,21-Mar-2025,$50.00,Scholarships,One-time,,Credit card,yes
G-10031,D-109,Donald Harris,2025-03-23,625,General Operating,Pledge payment,PL-0002,Credit card,Yes
G-10032,D-00012,Sharon Rivera,03/31/2025,100.00,Youth Literacy,One-time,,Credit card,Y
G-10033,D-00017,Ronald Diaz,04/01/2025,$50.00,Scholarships,One-time,,Cash,Sent 04/16/2025
G-10034,D-00176,Carol Richardson,"April 01, 2025",50.00,General Operating,One-time,,Credit card,N
G-10035,D-00129,Hiroshi Hernandez,10-Apr-2025,150.00,General Operating,One-time,,Cash,Yes
G-10036,D-86,Amara Bennett,04/12/2025,$100.00,Senior Meals ,Pledge payment,PL-7,Check,n/a
G-10037,132,Shirley Diaz,04/12/2025,300.00,General Operating,One-time,,ACH,yes
G-10038,D-00138,Eric Lopez,04/12/25,$250.00,Senior Meals,Pledge payment,PL-0033,Cash,Yes
G-10039,D-00072,Carol Rogers,"April 15, 2025",300.00,Food Pantry ,Pledge payment,PL-0043,Check,Y
