First Name,Last Name,Email,Phone,Client,Role,Portal Access
Ronald,Evans,revans@vantagepointmedia.com,(617) 555-6271,Vantage Point Media,Staff,Yes
Kathleen,Allen,kallen@ironwoodfab.com,720.555.5605,Ironwood Fabrication,Staff,No
David,Lewis,dlewis@harlowpeds.com,+1 720 555 8851,Harlow Pediatric Dentistry,Staff,Yes
Sarah,Carter,Scarter@Grangertool.Com,2065552185,Granger Tool & Die,Staff,No
Edward,Cruz,ecruz@pembertonhvac.com,7205556334,Pemberton HVAC,Billing,Yes
Jeffrey,Hughes,jhughes@cedarpine.co,1-415-555-6644,Cedar & Pine Landscaping,Staff,Yes
Gary,Lopez,glopez@ironwoodfab.com,+1 (303) 555-6794,Ironwood Fabrication,Billing,Yes
Mateo,Carter,mcarter@quarryroad.com,(919) 555-6540,Quarry Road Nursery,Billing,Yes
Gary,Roberts,GROBERTS@PINNACLEROOFING.COM,720.555.4284,Pinnacle Roofing,Staff,No
Richard,Jones,rjones@juniperstreet.cafe,512-555-3284,JUNIPER STREET CAFE,Billing,Yes
Aisha,Mitchell,amitchell@seasiderp.com,+1 720 555 3591,Seaside Realty Partners,Staff,No
Donna,Martinez,dmartinez@pinnacleroofing.com,1-617-555-7065,Pinnacle Roofing,Primary,No
Ingrid,Jones,ijones@glassworksoptical.com,802.555.1504,Glassworks Optical,Staff,Yes
Christopher,Mendoza,cmendoza@fernbrookmontessori.org,1-303-555-7048,Fernbrook Montessori,Staff,Yes
Dorothy,Thomas,dthomas@fairwaypt.com,1-206-555-2159,Fairway Physical Therapy,Primary,Yes
Ryan,Morris,rmorris@cedarpine.co,4155555009,Cedar & Pine Landscaping,Staff,No
Laura,Edwards,ledwards@dorseyfreight.com,720-555-6345,Dorsey Freight,Primary,No
Kenneth,Rivera,,6085552640,Dorsey Freight,Staff,No
Gary,Roberts,groberts@pinnacleroofing.com,+1 (720) 555-4284,Pinnacle Roofing,Staff,No
Margaret,Mensah,mmensah@ivylaneflorist.com,+1 (303) 555-1678,Ivy Lane Florist,Staff,No
Patricia,Evans,pevans@foxgloveinteriors.com,+1 (206) 555-4252,Foxglove Interiors,Billing,No
Ryan,Diaz,rdiaz@grangertool.com,4155555633,Granger Tool & Die,Billing,Yes
Jacob,Garcia,jgarcia@copperfieldlaw.com,303-555-2226,Copperfield Law,Staff,Yes
Paul,Price,pprice@mossbank.cpa,+1 802 555 8686,Mossbank Accounting,Billing,No
Sarah,Stewart,Sstewart@pembertonhvac.com,1-617-555-6215,Pemberton HVAC,Billing,No
Nicholas,Kim,nkim@westbrookplumbing.com,206.555.6314,Westbrook Plumbing,Primary,No
George,Haddad,ghaddad@seasiderp.com,303-555-6936,Seaside Realty Partners,Billing,Yes
Thomas,Miller,tmiller@mossbank.cpa,+1 512 555 9343,Mossbank Accounting,Staff,Yes
Jacob,Clark,jclark@westbrookplumbing.com,+1 (802) 555-6777,Westbrook Plumbing,Staff,Yes
Angela,Perez,aperez@northfieldauto.com,+1 303 555 3464,Northfield Auto Body,Staff,Yes
Robert,Tanaka,rtanaka@northgatechiro.com,(919) 555-7044,Northgate Chiropractic,Staff,Yes
James,Carter,jcarter@ridgeviewanimal.com,415-555-3668,Ridgeview Animal Hospital,Billing,No
Andrew,Nguyen,anguyen@tamarackbrewing.com,919.555.1799,Tamarack Brewing,Staff,No
Omar,Hernandez,ohernandez@riverbendphysio.com,206-555-7995,Riverbend Physio,Primary,Yes
Ronald,Ruiz,rruiz@ridgeviewanimal.com,206-555-3122,Ridgeview Animal Hospital,Billing,Yes
Jessica,Rogers,jrogers@oakhurstpeds.org,971.555.1425,Oakhurst Pediatrics,Staff,Yes
Sandra,Lee,slee@ellingtonbakes.com,1-415-555-8485,Ellington Bakeries,Staff,No
Amara,Wright,awright@orchardhilldental.com,+1 415 555 8081,Orchard Hill Dental,Billing,Yes
Kevin,Thomas,kthomas@pembertonhvac.com,+1 (617) 555-2810,Pemberton HVAC,Staff,Yes
Mark,Sanchez,msanchez@oakhurstpeds.org,+1 206 555 2968,Oakhurst Pediatrics,Primary,Yes
Robert,Young,ryoung@tallgrassvet.com,971-555-5956,Tallgrass Veterinary,Staff,Yes
Dorothy,Turner,dturner@lanternhillwine.com,1-617-555-7915,Lantern Hill Winery,Staff,Yes
John,Foster,jfoster@blueheronconsulting.com,(303) 555-7743,BLUE HERON CONSULTING,Staff,Yes
Nicholas,Morales,nmorales@harborlightmarine.com,971.555.6602,Harbor Light Marine,Billing,No
Gary,Murphy,gmurphy@foxgloveinteriors.com,6175556515,Foxglove Interiors,Staff,No
Emily,King,eking@thistlethread.com,617.555.8448,Thistle & Thread Alterations,Billing,Yes
Daniel,Lopez,dlopez@zephyrbikes.com,2065553491,Zephyr Bike Works,Staff,No
Luis,Flores,lflores@mossbank.cpa,+1 919 555 8831,MOSSBANK ACCOUNTING,Staff,Yes
Rahul,Nelson,,1-608-555-9137,Redwood Property Mgmt,Billing,No
Chloe,Foster,cfoster@acmeindustrial.com,7205558218,Acme Industrial,Billing,No
Charles,Allen,callen@uptownfit.com,(720) 555-5192,Uptown Fitness,Primary,No
Matthew,Gray,mgray@wrensparrowbooks.com,+1 (512) 555-4573,Wren & Sparrow Bookshop,Billing,Yes
Jessica,Wood,jwood@redwoodpm.com,415.555.2565,Redwood Property Mgmt,Staff,No
William,Reyes,wreyes@northfieldauto.com,512-555-4114,Northfield Auto Body,Staff,Yes
Robert,Miller,rmiller@ironwoodfab.com,8025551435,IRONWOOD FABRICATION,Staff,Yes
Priya,Green,pgreen@crescentmoonbakes.com,2065559621,Crescent Moon Bakery,Staff,Yes
Dorothy,Allen,dallen@riverbendphysio.com,+1 919 555 7720,Riverbend Physio,Staff,Yes
Melissa,Haddad,mhaddad@willowbrookcare.org,1-617-555-7958,Willowbrook Senior Care,Billing,No
Daniel,Moore,dmoore@glassworksoptical.com,720-555-1500,Glassworks Optical,Billing,Yes
Nicholas,Scott,nscott@bluemesatitle.com,1-971-555-1106,Blue Mesa Title,Billing,Yes
