Request ID,Employee ID,Employee Name,Type,Start,End,Status,Submitted,Notes
LR-2026-0072,E0055,Joshua Wright,Annual,Jun 02 2026,"June 02, 2026",APPROVED,05/04/2026,
LR-2026-0035,96,Paul Perez,annual,23-Mar-2026,2026-03-26,Canceled,08-Mar-2026,
LR-2026-0049,77,Michael Mendoza,annual,20-Apr-2026,04/23/26,approved,03/29/26,
LR-2026-0057,E55,Joshua Wright,annual,2026-05-07,2026-05-13,APPROVED,04/19/2026,
LR-2026-0048,E13,Lena Fischer,annual,"April 20, 2026",04/20/26,canceled,03/13/2026,
LR-2026-0007,73,Helen Marsh,Vacation,2026-01-20,01/27/26,APPROVED,2026-01-11,
LR-2026-0001,93,Luis Mensah,Annual,"January 05, 2026",01/08/2026,Cancelled,Dec 06 2025,
LR-2026-0017,E0062,Deborah Thomas,annual,02/09/26,02/09/26,Approved,10-Jan-2026,
LR-2026-0089,E0054,James Bennett,Annual,2026-07-09,07/14/2026,approved,2026-06-15,
LR-2026-0094,71,Anna Green,unpaid,23-Jul-2026,07/23/26,Canceled,2026-06-16,
LR-2026-0051,E0006,Eric Gutierrez,Annual,22-Apr-2026,04/29/26,approved,Mar 27 2026,
LR-2026-0082,E0036,Mateo Mensah,Vacation,"June 25, 2026",Jul 06 2026,APPROVED,2026-06-07,
LR-2026-0124,E0034,Jacob Okafor,Annual,2026-10-13,"October 14, 2026",APPROVED,09/04/2026,
LR-2026-0081,62,Deborah Thomas,annual,2026-06-23,06/26/2026,approved,11-Jun-2026,
LR-2026-0139,95,Cynthia Rogers,Annual,"November 09, 2026",11/12/2026,approved,09/07/26,
LR-2026-0014,E71,Anna Green,annual,02/05/26,2026-02-10,Cancelled,01/08/2026,
LR-2026-0075,E26,William Collins,Vacation,"June 09, 2026",Jun 09 2026,approved,"May 03, 2026",
LR-2026-0110,E0036,Mateo Mensah,SICK,24-Aug-2026,08/26/26,approved,"July 15, 2026",
LR-2026-0066,6,Eric Gutierrez,SICK,05/26/26,26-May-2026,APPROVED,05/12/2026,
LR-2026-0112,26,William Collins,Annual,"August 28, 2026",08/28/26,rejected,2026-07-21,
LR-2026-0122,E64,Daniel Kim,annual,10/01/26,05-Oct-2026,Pending,"August 24, 2026",
LR-2026-0105,36,Mateo Mensah,Annual,"August 11, 2026",2026-08-11,canceled,07/04/26,
LR-2026-0076,36,Mateo Mensah,annual,06/10/26,06/10/2026,rejected,05/17/2026,
LR-2026-0050,54,James Bennett,unpaid,21-Apr-2026,21-Apr-2026,APPROVED,03/15/26,
LR-2026-0130,E0062,Deborah Thomas,Vacation,23-Oct-2026,02-Nov-2026,APPROVED,09/04/26,
LR-2026-0061,E0036,Mateo Mensah,Vacation,"May 18, 2026","May 22, 2026",Approved,19-Apr-2026,
LR-2026-0004,E83,Kevin Bennett,sick,13-Jan-2026,15-Jan-2026,APPROVED,12/10/25,
LR-2026-0080,19,Samir Qureshi,Vacation,23-Jun-2026,Jun 23 2026,approved,05/21/2026,
LR-2026-0119,E0037,Owen Pratt,annual,2026-09-24,10/02/26,approved,"August 19, 2026",
LR-2026-0146,77,Michael Mendoza,Annual,"December 07, 2026",Dec 11 2026,pending,2026-09-12,
LR-2026-0041,E7,Rafael Ortiz,Annual,Apr 09 2026,"April 17, 2026",APPROVED,26-Mar-2026,
LR-2026-0092,E0083,Kevin Bennett,Annual,Jul 16 2026,2026-07-16,APPROVED,"June 24, 2026",
LR-2026-0114,E0064,Daniel Kim,Annual,2026-09-02,Sep 08 2026,approved,Aug 12 2026,
LR-2026-0121,E0019,Samir Qureshi,Annual,Oct 01 2026,"October 08, 2026",rejected,Sep 04 2026,
