Member #,Name,Checked In,Door
M-00452,Carlos Ward,7/25/2026 5:43 AM,Main
00773,William Campbell,25-Jul-2026 07:38,Main
02561,Sharon Evans,07/25/26 14:49,Side
01975,Michelle Rodriguez,2026-07-25 15:16,Main
M-02470,Angela Lopez,25-Jul-2026 18:21,Main
M-00943,Steven Gray,2026-07-25 18:58,Main
M-02356,Betty Cox,7/25/2026 8:01 PM,Side
01666,Mary Miller,26-Jul-2026 06:05,Main
2517,Margaret Phillips,7/26/2026 7:45 AM,Main
M-02561,Sharon Evans,26-Jul-2026 08:02,Main
00452,Carlos Ward,07/26/26 08:24,Main
01513,Nicholas Howard,7/26/2026 2:40 PM,Main
506,Deborah Anderson,07/26/26 17:45,Main
M-00265,Andrew Lewis,2026-07-27 07:01,Main
M-00939,Matthew Clark,7/27/2026 7:26 AM,Main
01588,Angela Murphy,27-Jul-2026 08:03,Main
M-00271,Sarah Thomas,7/27/2026 9:05 AM,Side
M-00271,Sarah Thomas,7/27/2026 9:06 AM,Side
02561,Sharon Evans,07/27/26 12:37,Side
M-02471,Robert Myers,27-Jul-2026 17:18,Main
M-01034,Carlos Osei,07/27/26 18:04,Side
M-01933,Charles Haddad,07/27/26 18:24,Main
1446,Nicholas Sanchez,7/28/2026 6:09 AM,Main
01933,Charles Haddad,07/28/26 09:07,Side
02363,Kenneth Wright,7/28/2026 10:12 AM,Main
1308,Dmitri Johnson,7/28/2026 12:19 PM,Side
M-00221,Anna Campbell,2026-07-28 17:53,Side
M-00188,Stephanie Green,07/28/26 18:30,Main
M-01107,Laura Edwards,2026-07-28 20:40,Main
M-02356,Betty Cox,07/29/26 18:21,Main
M-00266,Jonathan Price,29-Jul-2026 19:56,Main
M-02239,Christopher Nguyen,2026-07-30 07:38,Main
1277,Brian Alvarez,30-Jul-2026 12:21,Main
M-00923,George Kim,07/31/26 05:21,Main
1481,Charles Kim,2026-07-31 06:22,Main
1481,Charles Kim,2026-07-31 06:25,Main
01816,Dmitri Green,7/31/2026 6:41 AM,Main
1308,Dmitri Johnson,2026-07-31 07:23,Main
1639,Christopher Miller,2026-07-31 07:58,Main
M-02002,Kathleen Gray,7/31/2026 8:21 AM,Main
M-02561,Sharon Evans,31-Jul-2026 11:34,Main
1933,Charles Haddad,07/31/26 14:59,Main
01651,Jacob Howard,31-Jul-2026 17:08,Main
M-00954,Kimberly Perez,01-Aug-2026 06:16,Main
M-00578,Susan Gonzalez,8/1/2026 7:26 AM,Main
M-00943,Steven Gray,08/01/26 08:03,Main
M-01277,Brian Alvarez,2026-08-01 08:13,Main
M-01816,Dmitri Green,8/1/2026 10:36 AM,Main
00266,Jonathan Price,2026-08-01 14:44,Main
M-01511,Christopher Perez,8/1/2026 5:10 PM,Main
M-02517,Margaret Phillips,8/1/2026 7:36 PM,Main
1891,NANCY COOK,8/2/2026 6:20 AM,Main
1891,NANCY COOK,8/2/2026 6:21 AM,Main
M-00364,Richard Jones,8/2/2026 7:07 AM,Main
M-00577,Stephanie Rodriguez,08/02/26 07:36,Main
M-00954,Kimberly Perez,8/2/2026 7:57 AM,Main
1975,Michelle Rodriguez,8/2/2026 9:14 AM,Main
138,Kwame Wood,08/02/26 09:42,Main
02521,Ashley Reed,08/02/26 10:15,Main
M-00265,Andrew Lewis,02-Aug-2026 11:25,Main
00713,Yuki Lee,2026-08-02 19:26,Side
00138,Kwame Wood,08/03/26 08:39,Main
M-00573,Melissa Scott,2026-08-03 09:44,Main
02363,Kenneth Wright,03-Aug-2026 17:45,Main
M-02517,Margaret Phillips,2026-08-04 12:17,Main
M-01588,Angela Murphy,8/4/2026 12:48 PM,Main
02335,Jonathan Davis,08/04/26 12:53,Main
02335,Jonathan Davis,08/04/26 12:55,Main
M-02363,Kenneth Wright,08/04/26 17:04,Main
M-01816,DMITRI GREEN,8/4/2026 5:29 PM,Main
773,William Campbell,08/04/26 17:41,Main
109,Mateo Gomez,08/05/26 05:32,Main
271,SARAH THOMAS,2026-08-05 07:19,Main
506,Deborah Anderson,2026-08-05 07:31,Main
452,Carlos Ward,8/5/2026 9:36 AM,Main
02596,Mateo Scott,05-Aug-2026 12:06,Main
00773,William Campbell,8/5/2026 4:06 PM,Main
713,Yuki Lee,05-Aug-2026 18:58,Main
02577,Christopher Mitchell,06-Aug-2026 05:06,Side
1815,Laura Ramirez,06-Aug-2026 05:27,Main
M-00506,Deborah Anderson,08/06/26 06:49,Main
M-01308,Dmitri Johnson,2026-08-06 21:32,Main
01627,Betty Gomez,08/07/26 06:11,Main
02002,Kathleen Gray,08/07/26 07:25,Main
138,KWAME WOOD,07-Aug-2026 11:57,Main
M-01588,Angela Murphy,8/7/2026 12:57 PM,Main
M-01533,Steven Rivera,8/7/2026 4:53 PM,Side
M-02363,Kenneth Wright,08/07/26 17:17,Main
M-02577,Christopher Mitchell,2026-08-07 19:40,Main
M-01933,Charles Haddad,2026-08-07 20:11,Main
763,Kenneth Ramos,8/7/2026 9:03 PM,Main
M-01666,Mary Miller,2026-08-08 06:21,Main
M-02471,Robert Myers,08-Aug-2026 06:21,Main
M-00622,Matthew Ramos,8/8/2026 3:44 PM,Main
M-00506,Deborah Anderson,2026-08-08 16:11,Main
138,Kwame Wood,08/08/26 18:40,Main
M-00266,Jonathan Price,8/9/2026 9:15 AM,Main
01107,Laura Edwards,8/9/2026 12:42 PM,Main
M-01868,REBECCA LEE,8/9/2026 2:34 PM,Main
M-00713,Yuki Lee,8/9/2026 4:23 PM,Main
M-00265,Andrew Lewis,09-Aug-2026 17:47,Main
M-01312,Dorothy Kelly,2026-08-09 17:50,Main
M-00578,Susan Gonzalez,08/09/26 18:59,Main
02078,Shirley Ramos,8/9/2026 8:47 PM,Main
M-01277,Brian Alvarez,8/10/2026 8:47 AM,Main
M-00773,WILLIAM CAMPBELL,8/10/2026 12:00 PM,Main
M-00266,Jonathan Price,2026-08-10 15:59,Side
M-01535,Nancy Sanchez,8/10/2026 4:49 PM,Side
M-01535,Nancy Sanchez,8/10/2026 4:52 PM,Side
02470,Angela Lopez,2026-08-10 18:16,Main
M-00578,Susan Gonzalez,08/10/26 18:29,Main
M-00578,Susan Gonzalez,08/10/26 18:30,Main
M-00138,KWAME WOOD,08/10/26 19:00,Main
M-02517,Margaret Phillips,8/11/2026 7:23 AM,Side
M-01312,Dorothy Kelly,8/11/2026 3:12 PM,Main
M-00449,Kwame Hernandez,08/11/26 17:05,Main
M-01535,NANCY SANCHEZ,8/11/2026 8:33 PM,Main
506,DEBORAH ANDERSON,8/12/2026 5:07 AM,Main
M-01816,Dmitri Green,2026-08-12 06:53,Main
1470,Michelle Gutierrez,2026-08-12 07:10,Main
1933,Charles Haddad,12-Aug-2026 07:17,Main
02561,Sharon Evans,08/12/26 15:30,Main
763,Kenneth Ramos,12-Aug-2026 16:07,Main
00773,William Campbell,2026-08-13 07:47,Main
M-02356,Betty Cox,08/13/26 08:24,Main
M-00797,MICHELLE WRIGHT,13-Aug-2026 09:05,Main
M-01346,Mary Parker,08/13/26 11:57,Main
