Order #,Order Date,Customer Email,Status,SKU,Qty,Unit Price,Shipping,Tax,Order Total
#1001,07-Jan-2026,anna.clark32@gmail.com,Shipped,WHT-SILVER-4OZ,1,20.00,7.95,4.00,60.45
#1001,07-Jan-2026,anna.clark32@gmail.com,Shipped,BLK-EARLGR-2OZ,3,9.50,7.95,4.00,60.45
#1002,"January 09, 2026",eric.lindqvist19@outlook.com,DELIVERED,BLK-EARLGR-4OZ,1,17.00,7.95,3.75,57.20
#1002,"January 09, 2026",eric.lindqvist19@outlook.com,DELIVERED,HRB-HIBISC-2OZ,3,9.50,7.95,3.75,57.20
#1003,01/17/2026,steven.ramos79@outlook.com,Delivered,GRN-DRAGON-4OZ,1,24.50,0.00,8.25,108.25
#1003,01/17/2026,steven.ramos79@outlook.com,Delivered,GRN-DRAGON-1LB,1,75.50,0.00,8.25,108.25
#1004,2026-01-22,rebecca.rivera1@yahoo.com,delivered,PUR-SHOU-4OZ,2,20.00,0.00,6.35,83.35
#1004,2026-01-22,rebecca.rivera1@yahoo.com,delivered,HRB-HIBISC-4OZ,1,17.00,0.00,6.35,83.35
#1004,2026-01-22,rebecca.rivera1@yahoo.com,delivered,HRB-PEPMNT-4OZ,1,20.00,0.00,6.35,83.35
#1005,01/24/2026,INGRID.CAMPBELL29@PROTON.ME,delivered,HRB-ROOIBO-4OZ,2,21.50,0.00,9.78,128.28
#1005,01/24/2026,INGRID.CAMPBELL29@PROTON.ME,delivered,GRN-DRAGON-1LB,1,75.50,0.00,9.78,128.28
#1006,2026-01-26,orders@marigoldkitchen.com,Delivered,BLK-DARJ-2OZ,18,5.70,15.00,0.00,1426.20
1006,2026-01-26,orders@marigoldkitchen.com,Delivered,WHT-SILVER-1LB,19,57.60,15.00,0.00,1426.20
#1006,2026-01-26,orders@marigoldkitchen.com,Delivered,HRB-HIBISC-4OZ,21,10.20,15.00,0.00,1426.20
#1007,Jan 26 2026,orders@cedargrovegiftshop.com,Cancelled,BLK-EARLGR-1LB,12,31.80,15.00,101.03,1340.63
#1007,Jan 26 2026,orders@cedargrovegiftshop.com,Cancelled,HRB-HIBISC-1LB,13,31.80,15.00,101.03,1340.63
#1007,Jan 26 2026,orders@cedargrovegiftshop.com,Cancelled,GRN-JASMIN-2OZ,15,7.20,15.00,101.03,1340.63
#1007,Jan 26 2026,orders@cedargrovegiftshop.com,Cancelled,BLK-ASSAM-1LB,8,40.20,15.00,101.03,1340.63
#1008,01/30/2026,hello@evergreenhealthfoods.com,Delivered,BLK-DARJ-2OZ,7,5.70,15.00,0.00,289.50
#1008,01/30/2026,hello@evergreenhealthfoods.com,Delivered,BLK-EARLGR-4OZ,23,10.20,15.00,0.00,289.50
#1009,01/31/2026,jeffrey.baker47@yahoo.com,delivered,WHT-PEONY-2OZ,1,16.00,$7.95,$2.97,$46.92
#1009,01/31/2026,jeffrey.baker47@yahoo.com,delivered,WHT-SILVER-4OZ,1,20.00,$7.95,$2.97,$46.92
#1010,"January 31, 2026",maria.lopez@gmail.com,DELIVERED,BLK-CHAI-2OZ,1,12.00,$7.95,$0.99,$20.94
#1011,02/04/2026,HELLO@VIOLETHOURBISTRO.COM,CANCELLED,OOL-DHP-4OZ,7,17.40,15.00,0.00,1220.40
#1011,02/04/2026,HELLO@VIOLETHOURBISTRO.COM,CANCELLED,BLK-YUNNAN-4OZ,7,12.00,15.00,0.00,1220.40
1011,02/04/2026,HELLO@VIOLETHOURBISTRO.COM,CANCELLED,WHT-PEONY-2OZ,12,9.60,15.00,0.00,1220.40
#1011,02/04/2026,HELLO@VIOLETHOURBISTRO.COM,CANCELLED,BLK-CHAI-1LB,22,40.20,15.00,0.00,1220.40
1012,02/07/2026,KAREN.HADDAD29@ICLOUD.COM,DELIVERED,HRB-PEPMNT-4OZ,2,20.00,7.95,3.30,51.25
#1013,Feb 08 2026,DONNA.ADAMS51@OUTLOOK.COM,delivered,BLK-CHAI-2OZ,1,12.00,0.00,15.76,206.76
#1013,Feb 08 2026,DONNA.ADAMS51@OUTLOOK.COM,delivered,WHT-PEONY-1LB,2,89.50,0.00,15.76,206.76
1014,"February 08, 2026",orders@stonebridgecafe.com,Delivered,GRN-GENMAI-1LB,19,53.70,$15.00,$198.12,"$2,614.62"
#1014,"February 08, 2026",orders@stonebridgecafe.com,Delivered,OOL-DHP-1LB,13,53.70,$15.00,$198.12,"$2,614.62"
#1014,"February 08, 2026",orders@stonebridgecafe.com,Delivered,PUR-SHOU-2OZ,14,6.60,$15.00,$198.12,"$2,614.62"
#1014,"February 08, 2026",orders@stonebridgecafe.com,Delivered,WHT-PEONY-1LB,11,53.70,$15.00,$198.12,"$2,614.62"
#1015,02/09/26,sofia.nelson57@proton.me,SHIPPED,HRB-ROOIBO-1LB,3,21.00,0.00,19.72,258.72
#1015,02/09/26,sofia.nelson57@proton.me,SHIPPED,HRB-HIBISC-4OZ,1,17.00,0.00,19.72,258.72
