Tenant,Email,Phone,Building,Unit,Lease Start,Lease End,Monthly Rent,Balance Due
Emily Rogers,erogers@icloud.com,253.555.8932,Riverside Commons,Apt 205,2024-04-01,2025-03-31,1850,$0.00
Stephanie Robinson,stephanierobinson22@outlook.com,+1 (253) 555-4071,Harbor View,402,3/1/2024,2/28/2026,2275,$0.00
Patricia Long,patricialong33@gmail.com,253-555-1943,Northgate Lofts,Apt L204,01-Dec-2023,Nov 30 2025,1850,0.00
Eric Green,green.eric@gmail.com,+1 (253) 555-1038,Maple Row Townhomes,2,2025-08-01,31-Jul-2026,2700.00,0.00
Emily Osei,emilyosei66@icloud.com,+1 253 555 6325,Riverside Commons,Unit 207,2023-05-01,2024-04-30,1625.00,$125.00
Dorothy Morris,dmorris@hotmail.com,253-555-1695,Cedar Terrace,#15,01-Aug-2026,2027-07-31,1750.00,$0.00
Gary Martinez,gary.martinez@protonmail.com,253.555.1052,Maple Row,Apt 17,2026-05-01,Apr 30 2027,2475,$0.00
Linda Tanaka,LTANAKA@GMAIL.COM,+1 253 555 5379,Harbor View,Apt 307,Jul 1 2024,Jun 30 2026,2325.00,0.00
Richard Watson,richard.watson@me.com,253-555-1937,Elm Court,A11,1/1/2023,31-Dec-2023,1375.00,0.00
Kathleen Murphy,kmurphy@protonmail.com,253-555-2943,Riverside Commons,Unit 204,Aug 1 2024,7/31/2025,1575.00,$0.00
Chloe Morales,morales.chloe@yahoo.com,+1 253 555 9739,Northgate Lofts,Apt L306,01-Jan-2024,31-Dec-2024,2050,0.00
Sharon Davis,sharondavis54@me.com,(253) 555-7626,Elm Court,Unit B4,3/1/2025,2026-02-28,"$1,525.00",($150.00)
Donna Jones,donnajones98@gmail.com,+1 (253) 555-9595,Harbor View Apts,303,Dec 1 2024,2025-11-30,1750.00,($45.00)
Carol Wright,cwright@me.com,2535555445,Northgate Lofts LLC,L103,10/1/2024,9/30/2025,"$1,725.00",0.00
Andrew Scott,andrewscott22@protonmail.com,253-555-5896,Riverside Commons,#405,1/1/2024,31-Dec-2024,1425,$35.00
Kevin Wright,kevinwright48@me.com,253-555-4047,Elm Court,Apt B1,Jun 1 2026,5/31/2027,1550,0.00
Yuki Clark,yuki.clark@yahoo.com,(253) 555-6191,Harbor View,#103,5/1/2023,30-Apr-2024,"$2,000.00",$0.00
Laura King,laura.king@outlook.com,1-253-555-4949,Elm Court,B5,10/1/2025,2026-09-30,"$1,475.00",$0.00
Tomasz Tanaka,tomasztanaka46@outlook.com,+1 (253) 555-3902,Riverside Commons,301,2025-12-01,11/30/2026,1700,0.00
Brian Ortiz,bortiz@aol.com,+1 (253) 555-4230,Elm Court,A7,2023-08-01,Jul 31 2025,"$1,625.00",$0.00
Steven Diaz,sdiaz@outlook.com,1-253-555-1971,Riverside Commons,408,9/1/2023,2024-08-31,1625,$0.00
Luis Carter,carter.luis@protonmail.com,1-253-555-8891,Maple Row,14,01-May-2026,4/30/2026,2475.00,$0.00
Sharon Haddad,sharonhaddad85@icloud.com,(253) 555-1462,Riverside Cmns,Apt 208,5/1/2024,2025-04-30,1900.00,$0.00
Marcus Reed,mreed@outlook.com,1-253-555-1605,Maple Row Townhomes,10,1/1/2024,2024-12-31,2375.00,0.00
Joshua Evans,joshua.evans954@protonmail.com,2535554288,CEDAR TERRACE,Apt 24,Aug 1 2026,7/31/2027,2100.00,0.00
Paul Bennett,paulbennett45@protonmail.com,2535552679,Harbor View,Apt 207,2024-05-01,2025-04-30,"$1,750.00",$0.00
Deborah Wood,deborahwood91@protonmail.com,+1 (253) 555-9349,Riverside Cmns,Apt 203,2/1/2023,Jan 31 2024,1450.00,125.00
Fatima Cruz,fatimacruz23@yahoo.com,(253) 555-9696,Riverside Commons,Unit 308,1/1/2024,Dec 31 2024,1850,$35.00
Christopher Kim,kim.christopher@yahoo.com,+1 (253) 555-6672,Cedar Terrace,Apt 12,3/1/2023,2/29/2024,"$2,150.00",0.00
Ashley Jones,ashleyjones12@outlook.com,2535558544,Harbor View,302,2023-10-01,30-Sep-2024,"$1,750.00",$0.00
David Hall,dhall@icloud.com,+1 (253) 555-1262,Northgate Lofts,Apt L209,01-Jul-2024,6/30/2025,1575,$0.00
