tutor,month,booked,no_shows,no_show_rate
Grace Adeyemi,2026-03,50,10,0.200000
Grace Adeyemi,2026-04,46,5,0.108696
Grace Adeyemi,2026-05,44,7,0.159091
Owen Fairbanks,2026-03,43,4,0.093023
Owen Fairbanks,2026-04,36,2,0.055556
Owen Fairbanks,2026-05,35,4,0.114286
Lucia Ferreira,2026-03,44,8,0.181818
Lucia Ferreira,2026-04,51,12,0.235294
Lucia Ferreira,2026-05,40,7,0.175000
Samir Qureshi,2026-03,43,2,0.046512
Samir Qureshi,2026-04,37,4,0.108108
Samir Qureshi,2026-05,35,3,0.085714
Hannah Voss,2026-03,46,5,0.108696
Hannah Voss,2026-04,53,6,0.113208
Hannah Voss,2026-05,40,5,0.125000
Theo Lindgren,2026-03,36,7,0.194444
Theo Lindgren,2026-04,36,5,0.138889
Theo Lindgren,2026-05,33,5,0.151515
Maren Holt,2026-04,40,7,0.175000
Maren Holt,2026-05,46,7,0.152174
