tutor,month,booked,no_shows,no_show_rate
Grace Adeyemi,2026-03,50,10,0.2000
Grace Adeyemi,2026-04,46,5,0.1087
Grace Adeyemi,2026-05,44,7,0.1591
Owen Fairbanks,2026-03,43,4,0.0930
Owen Fairbanks,2026-04,36,2,0.0556
Owen Fairbanks,2026-05,35,4,0.1143
Lucia Ferreira,2026-03,44,8,0.1818
Lucia Ferreira,2026-04,51,12,0.2353
Lucia Ferreira,2026-05,40,7,0.1750
Samir Qureshi,2026-03,43,2,0.0465
Samir Qureshi,2026-04,37,4,0.1081
Samir Qureshi,2026-05,35,3,0.0857
Hannah Voss,2026-03,46,5,0.1087
Hannah Voss,2026-04,53,6,0.1132
Hannah Voss,2026-05,40,5,0.1250
Theo Lindgren,2026-03,36,7,0.1944
Theo Lindgren,2026-04,36,5,0.1389
Theo Lindgren,2026-05,33,5,0.1515
Maren Holt,2026-04,40,7,0.1750
Maren Holt,2026-05,46,7,0.1522
