Leads export - generated 07/06/2026 09:14 - filter: Created At after 03/01/2026

Lead ID,Created At,Name,Email,Source,Campaign,Status
L-40332,2026-03-04 07:28:22,Elizabeth Evans,elizabethevans87@me.com,adwords,Heat pump rebate,Lost
L-40492,2026-03-05 08:40:49,Richard Flores,richardflores27@protonmail.com,organic,-,Contacted
L-40515,2026-03-05 11:47:43,James Jackson,jjackson@outlook.com,organic,-,Won
L-40496,2026-03-05 15:52:57,Ryan Myers,ryan_myers@aol.com,organic,-,Quoted
L-40522,2026-03-06 09:56:25,Christopher Nelson,nelson.christopher@icloud.com,word of mouth,-,Won
L-40435,2026-03-07 18:52:20,Kevin Smith,smith.kevin@yahoo.com,linkedin,Property managers,Quoted
L-40519,2026-03-07 19:51:10,Jonathan Wright,jonathanwright6@yahoo.com,(none),-,Lost
L-40497,2026-03-07 19:56:28,Edward Reyes,ereyes@icloud.com,(none),-,Lost
L-40509,2026-03-08 11:19:03,Melissa Smith,smith.melissa@gmail.com,organic,-,New
L-40526,2026-03-11 11:58:47,Carlos Smith,csmith@hotmail.com,referral,-,Quoted
L-40511,2026-03-12 17:07:12,Ingrid Lindqvist,ingrid_lindqvist@yahoo.com,organic,-,Contacted
L-40334,2026-03-15 15:47:55,Ryan Osei,ryan.osei@gmail.com,adwords,Heat pump rebate,Quoted
L-40408,2026-03-16 14:56:28,Kenneth Morgan,kennethmorgan55@outlook.com,fb / paid,Lead form - IG,Contacted
L-40491,2026-03-24 20:44:10,Cynthia King,king.cynthia@gmail.com,referral,-,Quoted
L-40506,2026-03-25 11:34:02,Ronald Cruz,rcruz@yahoo.com,direct,-,Quoted
L-40468,2026-03-26 16:39:41,Amy Mitchell,amitchell@protonmail.com,yelp,Yelp enhanced profile,Contacted
L-40335,2026-03-28 12:06:30,William Nelson,nelson.william@hotmail.com,google / cpc,Brand search,New
L-40517,2026-03-28 14:09:40,Nicholas Osei,nosei@yahoo.com,organic,-,Lost
L-40225,2026-04-01 12:00:13,Rahul Turner,rahul.turner@yahoo.com,google,AC repair - Portland,New
L-40354,2026-04-01 18:59:56,Luis Brooks,lbrooks@yahoo.com,Facebook,Retargeting,Contacted
L-40438,2026-04-02 08:42:04,Mateo Reed,mateoreed73@aol.com,Yelp,Yelp CPC,Lost
L-40246,2026-04-02 10:18:46,Mateo Taylor,mateo.taylor@me.com,Google Ads,Heat pump rebate,Lost
L-40228,2026-04-02 11:35:20,Anthony Ruiz,anthony.ruiz@me.com,google / cpc,Heat pump rebate,Lost
L-40235,2026-04-02 13:35:33,Mary Gonzalez,mary_gonzalez@icloud.com,google,Heat pump rebate,Lost
L-40214,2026-04-02 18:07:30,Matthew White,matthew.white@gmail.com,google / cpc,Heat pump rebate,Won
L-40251,2026-04-02 19:12:29,Jeffrey Mitchell,jeffrey.mitchell@gmail.com,google,Brand search,Lost
L-40343,2026-04-03 12:34:01,Emily Ortiz,emilyortiz31@gmail.com,fb / paid,Lead form - IG,Quoted
L-40255,2026-04-03 12:44:01,Elizabeth Thomas,ethomas@gmail.com,adwords,AC repair - Portland,Lost
L-40331,2026-04-03 12:56:38,Test Lead,test_lead@gmail.com,Google Ads,Furnace tune-up,Test
L-40223,2026-04-03 14:33:56,Leila Lee,lee.leila@gmail.com,adwords,Brand search,Quoted
L-40236,2026-04-03 16:49:10,Mark King,markking25@yahoo.com,adwords,Brand search,Contacted
L-40410,2026-04-04 11:25:27,Amy Torres,amy.torres@outlook.com,linkedin,Commercial HVAC,Quoted
L-40253,2026-04-04 13:59:05,Jason Reed,jason.reed@yahoo.com,Google Ads,Heat pump rebate,Contacted
L-40226,2026-04-04 18:11:06,Joshua Scott,joshua.scott@gmail.com,Google Ads,Furnace tune-up,Quoted
L-40249,2026-04-04 19:49:49,Matthew Roberts,matthew.roberts@me.com,adwords,Furnace tune-up,Quoted
L-40247,2026-04-05 08:43:44,Ingrid Castillo,ingrid_castillo@gmail.com,google,Heat pump rebate,Quoted
L-40258,2026-04-05 12:30:18,Anthony Campbell,anthonycampbell71@outlook.com,google / cpc,Brand search,Lost
L-40412,2026-04-06 09:15:48,Rebecca Alvarez,ralvarez@icloud.com,linkedin,Commercial HVAC,Quoted
L-40529,2026-04-06 13:35:05,John Williams,john.williams@gmail.com,(none),-,Lost
L-40338,2026-04-06 16:08:24,Cynthia Campbell,campbell.cynthia@gmail.com,ig,Lead form - IG,New
L-40232,2026-04-06 20:21:19,Joshua Phillips,joshua.phillips@me.com,google / cpc,Heat pump rebate,Contacted
L-40411,2026-04-07 19:19:50,Karen Lewis,lewis.karen@hotmail.com,linkedin,Property managers,Quoted
