txn_id,cardholder,amount,gl_account,employee_owes
CX545CE3Q0,Deborah Okafor,268.71,6310,0.00
CX6RZJUXDT,Gary Phillips,641.89,5100,0.00
CX5PEGATCN,Gary Phillips,2500.00,1520,0.00
CX741ZUC7X,Joshua Morris,75.44,6400,0.00
CXRGD2D96C,Rebecca Garcia,73.87,6120,0.00
CXVQP96X9R,Rebecca Garcia,388.89,6120,0.00
CXTZXLXXCE,Joshua Morris,537.93,6120,0.00
CX0MLL2Z9G,Joshua Morris,115.45,,0.00
CX9QJW45Z2,Rebecca Garcia,599.29,5100,0.00
CX4E82K0UM,Rebecca Garcia,97.53,6400,0.00
CXA9VPYQZY,Rebecca Garcia,47.95,1350,47.95
CX25Z4TDJS,Kimberly Rogers,45.86,6400,0.00
CXWQE10BKY,Joshua Morris,101.17,6220,0.00
CXGM4XGKSQ,Joshua Morris,45.61,6400,0.00
CXQ3A8FJM3,Kimberly Rogers,222.56,6510,0.00
CXS2VQV36W,Rebecca Garcia,49.06,6210,0.00
CX9128L6NC,Rebecca Garcia,125.83,6610,0.00
CXQX73VM7J,Deborah Okafor,24.08,6320,0.00
CX8QJ7ZC2R,Deborah Okafor,646.11,6310,0.00
CXXG1ZDE5Y,Joshua Morris,79.43,5100,0.00
CXZSYK79TT,Kimberly Rogers,67.71,,0.00
CX56S46S91,Rebecca Garcia,132.37,6120,0.00
CXUTS1XLG5,Deborah Okafor,1175.47,5100,0.00
CX0EP49D0D,Deborah Okafor,90.36,6210,0.00
CX70JP1E9B,Deborah Okafor,15.90,6320,0.00
CXV7WNG81D,Deborah Okafor,65.70,6320,11.60
CXPMWJJLB5,Gary Phillips,283.05,6120,0.00
CX6KAQ98EL,Kimberly Rogers,55.91,5100,0.00
CXYFFBJPS2,Kimberly Rogers,22.99,1350,22.99
CX81R448SK,Kimberly Rogers,160.11,6510,0.00
CXS9TKN5FU,Rebecca Garcia,107.12,6210,0.00
CXPZ3QS0SL,Deborah Okafor,60.76,6320,0.00
CXUDPJW5B6,Deborah Okafor,69.80,1350,69.80
CXH79URBST,Gary Phillips,95.22,6210,0.00
CXBFVMZ9NV,Deborah Okafor,63.95,6210,0.00
CX5WDJ0UV0,Deborah Okafor,57.89,6320,5.39
CXDK7K9TW5,Gary Phillips,1598.11,5100,0.00
CXXERH17H2,Joshua Morris,117.74,6210,0.00
CX0GRZRU6G,Joshua Morris,107.88,6210,0.00
CXNJC524GK,Rebecca Garcia,178.31,6400,0.00
CXM7ZFA4SJ,Deborah Okafor,109.19,6400,0.00
CXJZ8ZD6SR,Deborah Okafor,2401.46,6120,0.00
CXHJUP8A77,Gary Phillips,169.30,,0.00
CXQRV8KNWS,Rebecca Garcia,3921.11,5100,0.00
CXDWXYLX3U,Deborah Okafor,1867.95,5100,0.00
CXK9X3D1NW,Gary Phillips,61.72,6400,0.00
CXR0Z45R0P,Kimberly Rogers,295.85,6510,0.00
CX270HJE9J,Rebecca Garcia,103.27,6210,0.00
CXC6TVMQAM,Gary Phillips,85.07,6400,0.00
CXST9U9ZL8,Joshua Morris,63.38,6210,0.00
CXDBUNQTXQ,Joshua Morris,1583.62,5100,0.00
CXECUD3Q2E,Joshua Morris,83.85,6210,0.00
CX5BP3BEK5,Joshua Morris,3297.28,1520,0.00
CXYJNSV3ZT,Rebecca Garcia,76.57,6210,0.00
CXVXGWDMH2,Deborah Okafor,220.28,6120,0.00
CX23AN0J08,Deborah Okafor,540.54,6120,0.00
CX4TEREVCM,Gary Phillips,186.59,6120,0.00
CX65LLVLG1,Joshua Morris,516.06,6120,0.00
CXZ2CP5DZN,Rebecca Garcia,56.60,6320,4.10
CXCCGKKZQG,Rebecca Garcia,221.42,6310,0.00
CXWNF2K40V,Rebecca Garcia,388.40,6310,0.00
CXXU3SXVU7,Gary Phillips,124.25,6210,0.00
CX55F69SDU,Gary Phillips,185.68,6220,0.00
CX4TR2BFXE,Rebecca Garcia,68.43,6320,26.63
CX8HNLT6JC,Rebecca Garcia,18.39,6320,0.00
CXJUYVGHE1,Rebecca Garcia,9.81,6320,0.00
CX76BSFDJ0,Kimberly Rogers,360.61,6610,0.00
CXYT37QH7N,Kimberly Rogers,243.71,,0.00
CXEJEF4ZKL,Rebecca Garcia,1049.05,5100,0.00
CXEPWJA80Y,Rebecca Garcia,33.67,6320,0.00
CXLP18R9BY,Deborah Okafor,120.18,6210,0.00
CX48DXDF8E,Gary Phillips,77.87,1350,77.87
CXQN8X61ZN,Gary Phillips,1806.46,5100,0.00
CXXVK0EAXW,Joshua Morris,1106.54,5100,0.00
CXL5G8RCLJ,Joshua Morris,1863.72,5100,0.00
CXQ3D2LFMU,Rebecca Garcia,1755.23,5100,0.00
CXEGNAK1N3,Deborah Okafor,342.28,6120,0.00
CX9N1X31F2,Deborah Okafor,1311.58,5100,0.00
CX0EL43NT8,Deborah Okafor,109.39,6210,0.00
CXDUT9NKBM,Joshua Morris,621.77,6120,0.00
