badge,name,date,hours,flag
1041,Deborah Okafor,2026-08-31,8.67,
1041,Deborah Okafor,2026-09-01,8.57,
1041,Deborah Okafor,2026-09-02,8.67,
1041,Deborah Okafor,2026-09-03,8.72,
1047,Rebecca Garcia,2026-08-31,7.53,
1047,Rebecca Garcia,2026-09-01,,MISSING OUT
1047,Rebecca Garcia,2026-09-02,7.62,
1047,Rebecca Garcia,2026-09-03,7.47,
1047,Rebecca Garcia,2026-09-04,7.62,
1052,Kimberly Rogers,2026-09-04,8.88,
1052,Kimberly Rogers,2026-09-05,9.00,
1052,Kimberly Rogers,2026-09-06,9.13,
1063,Gary Phillips,2026-08-31,8.65,
1063,Gary Phillips,2026-09-01,8.58,
1063,Gary Phillips,2026-09-02,8.75,
1063,Gary Phillips,2026-09-03,8.58,
1063,Gary Phillips,2026-09-04,8.68,
1066,Joshua Morris,2026-09-02,8.38,
1066,Joshua Morris,2026-09-03,,MISSING OUT
1066,Joshua Morris,2026-09-04,8.70,
1066,Joshua Morris,2026-09-05,8.63,
1066,Joshua Morris,2026-09-06,8.38,
1070,Dorothy Howard,2026-09-05,8.05,
1070,Dorothy Howard,2026-09-06,8.12,
1078,Margaret Cook,2026-08-31,7.22,
1078,Margaret Cook,2026-09-01,7.17,
1078,Margaret Cook,2026-09-02,7.25,
1078,Margaret Cook,2026-09-03,7.28,
1078,Margaret Cook,2026-09-04,7.10,
1078,Margaret Cook,2026-09-05,6.90,
1083,Sarah Torres,2026-09-01,8.72,
1083,Sarah Torres,2026-09-02,8.65,
1083,Sarah Torres,2026-09-03,8.48,
1083,Sarah Torres,2026-09-04,,MISSING IN
1083,Sarah Torres,2026-09-05,8.62,
1089,Sarah Foster,2026-08-31,6.63,
1089,Sarah Foster,2026-09-02,6.60,
1089,Sarah Foster,2026-09-04,6.63,
