TimeClock Plus - Punch Detail
Range: 08/31/2026 12:00 AM - 09/07/2026 12:00 PM
Badge #,Employee Name,Punch Date,Punch Time,In/Out,Terminal,Source
1078,Margaret Cook,08/31/2026,5:26 AM,In,Back door,Kiosk
1063,Gary Phillips,08/31/2026,5:53 AM,In,Front counter,Kiosk
1041,Deborah Okafor,08/31/2026,6:34 AM,Out,Back door,Kiosk
1078,Margaret Cook,08/31/2026,9:27 AM,Out,Front counter,Kiosk
1063,Gary Phillips,08/31/2026,2:32 PM,Out,Back door,Kiosk
1078,Margaret Cook,08/31/2026,2:59 PM,In,Back door,Kiosk
1089,Sarah Foster,08/31/2026,3:55 PM,In,Back door,Kiosk
1078,Margaret Cook,08/31/2026,6:11 PM,Out,Back door,Kiosk
1041,Deborah Okafor,08/31/2026,9:55 PM,In,Front counter,Kiosk
1089,Sarah Foster,08/31/2026,10:33 PM,Out,Back door,Kiosk
1047,Rebecca Garcia,08/31/2026,11:04 PM,In,Back door,Kiosk
1078,Margaret Cook,09/01/2026,5:23 AM,In,Back door,Kiosk
1063,Gary Phillips,09/01/2026,5:58 AM,In,Back door,Kiosk
1041,Deborah Okafor,09/01/2026,6:35 AM,Out,Front counter,Kiosk
1047,Rebecca Garcia,09/01/2026,6:36 AM,Out,Back door,Kiosk
1083,Sarah Torres,09/01/2026,7:51 AM,In,Back door,Kiosk
1078,Margaret Cook,09/01/2026,9:28 AM,Out,Back door,Kiosk
1063,Gary Phillips,09/01/2026,2:33 PM,Out,Back door,Manager add
1078,Margaret Cook,09/01/2026,2:55 PM,In,Back door,Kiosk
1083,Sarah Torres,09/01/2026,4:34 PM,Out,Front counter,Kiosk
1078,Margaret Cook,09/01/2026,6:00 PM,Out,Back door,Kiosk
1041,Deborah Okafor,09/01/2026,9:54 PM,In,Back door,Kiosk
1047,Rebecca Garcia,09/01/2026,10:57 PM,In,Back door,Kiosk
1078,Margaret Cook,09/02/2026,5:22 AM,In,Back door,Kiosk
1063,Gary Phillips,09/02/2026,5:55 AM,In,Back door,Kiosk
1041,Deborah Okafor,09/02/2026,6:28 AM,Out,Front counter,Kiosk
1083,Sarah Torres,09/02/2026,7:54 AM,In,Front counter,Kiosk
1078,Margaret Cook,09/02/2026,9:28 AM,Out,Front counter,Kiosk
1066,Joshua Morris,09/02/2026,11:06 AM,In,Front counter,Kiosk
1063,Gary Phillips,09/02/2026,2:40 PM,Out,Back door,Kiosk
1078,Margaret Cook,09/02/2026,3:03 PM,In,Back door,Kiosk
1078,Margaret Cook,09/02/2026,3:04 PM,In,Front counter,Kiosk
1089,Sarah Foster,09/02/2026,3:52 PM,In,Front counter,Kiosk
1083,Sarah Torres,09/02/2026,4:33 PM,Out,Back door,Kiosk
1078,Margaret Cook,09/02/2026,6:12 PM,Out,Back door,Kiosk
1066,Joshua Morris,09/02/2026,7:29 PM,Out,Back door,Kiosk
1041,Deborah Okafor,09/02/2026,10:01 PM,In,Back door,Kiosk
1089,Sarah Foster,09/02/2026,10:28 PM,Out,Front counter,Kiosk
1047,Rebecca Garcia,09/02/2026,11:05 PM,In,Front counter,Kiosk
1078,Margaret Cook,09/03/2026,5:29 AM,In,Back door,Kiosk
1063,Gary Phillips,09/03/2026,5:53 AM,In,Front counter,Kiosk
1041,Deborah Okafor,09/03/2026,6:41 AM,Out,Back door,Kiosk
1047,Rebecca Garcia,09/03/2026,6:42 AM,Out,Back door,Kiosk
1083,Sarah Torres,09/03/2026,8:02 AM,In,Back door,Kiosk
1078,Margaret Cook,09/03/2026,9:42 AM,Out,Back door,Kiosk
1066,Joshua Morris,09/03/2026,11:00 AM,In,Back door,Kiosk
1063,Gary Phillips,09/03/2026,2:28 PM,Out,Back door,Kiosk
1078,Margaret Cook,09/03/2026,2:58 PM,In,Back door,Kiosk
1083,Sarah Torres,09/03/2026,4:31 PM,Out,Back door,Kiosk
1078,Margaret Cook,09/03/2026,6:02 PM,Out,Back door,Kiosk
1041,Deborah Okafor,09/03/2026,9:54 PM,In,Front counter,Kiosk
1047,Rebecca Garcia,09/03/2026,10:59 PM,In,Back door,Kiosk
1047,Rebecca Garcia,09/03/2026,11:01 PM,In,Back door,Kiosk
1078,Margaret Cook,09/04/2026,5:34 AM,In,Back door,Kiosk
1063,Gary Phillips,09/04/2026,6:01 AM,In,Back door,Kiosk
1047,Rebecca Garcia,09/04/2026,6:27 AM,Out,Front counter,Kiosk
1041,Deborah Okafor,09/04/2026,6:37 AM,Out,Back door,Kiosk
1078,Margaret Cook,09/04/2026,9:34 AM,Out,Front counter,Kiosk
1066,Joshua Morris,09/04/2026,10:54 AM,In,Front counter,Kiosk
1063,Gary Phillips,09/04/2026,2:42 PM,Out,Back door,Kiosk
1063,Gary Phillips,09/04/2026,2:43 PM,Out,Front counter,Kiosk
1078,Margaret Cook,09/04/2026,3:05 PM,In,Front counter,Kiosk
1089,Sarah Foster,09/04/2026,3:51 PM,In,Front counter,Kiosk
1083,Sarah Torres,09/04/2026,4:39 PM,Out,Back door,Kiosk
1078,Margaret Cook,09/04/2026,6:11 PM,Out,Back door,Kiosk
1066,Joshua Morris,09/04/2026,7:36 PM,Out,Back door,Kiosk
1052,Kimberly Rogers,09/04/2026,9:03 PM,In,Front counter,Kiosk
1089,Sarah Foster,09/04/2026,10:29 PM,Out,Front counter,Kiosk
1047,Rebecca Garcia,09/04/2026,10:51 PM,In,Front counter,Kiosk
