Team Sales - Opportunities by close date
Close date 08/01/2026 - 08/31/2026
Order #,Close Date,Account,Owner,Stage,Amount
SO-71908,08/01/2026,Silverline Cycling Club,Laila Haddad,Closed Won,"$6,109.04"
SO-71911,08/01/2026,Fernbrook Montessori,Kwame Osei,Closed Won,"$9,270.54"
SO-71914,08/02/2026,Kingfisher Sailing School,Daniel Kim,Closed Won,"$1,400.58"
SO-71915,08/02/2026,Union Plains Rugby,Kwame Osei,Closed Won,"$5,062.98"
SO-71919,08/03/2026,Lakeside Lacrosse,Deborah Ward,Closed Won,"$4,732.25"
SO-71920,08/04/2026,Magnolia Swim Club,Kwame Osei,Closed Won,"$1,730.78"
SO-71924,08/04/2026,Riverbend High School,Kwame Osei / Deborah Ward,Closed Won,"$8,837.34"
SO-71928,08/05/2026,Union Plains Rugby,Deborah Ward,Closed Won,"$8,635.42"
SO-71929,08/05/2026,Silverline Cycling Club,Laila Haddad,Closed Won,"$8,571.70"
SO-71932,08/06/2026,Fernbrook Montessori,Daniel Kim,Closed Won,"$7,183.74"
SO-71935,08/06/2026,Ironwood Hockey Assoc.,Kwame Osei,Closed Won,"$9,472.66"
SO-71937,08/07/2026,Uptown Fitness,Daniel Kim,Closed Won,"$4,055.89"
SO-71939,08/07/2026,Pine Ridge Cross Country,Daniel Kim,Closed Won,"$6,541.32"
SO-71943,08/07/2026,Larkspur Dance Academy,Deborah Ward,Closed Won,"$1,755.30"
SO-71944,08/07/2026,Riverbend High School,Rebecca Brooks,Closed Won,"$7,260.66"
SO-71945,08/08/2026,Uptown Fitness,Laila Haddad,Closed Won,"$4,208.97"
SO-71946,08/08/2026,Lakeside Lacrosse,Laila Haddad,Closed Won,"$3,759.42"
SO-71948,08/09/2026,Ironwood Hockey Assoc.,Kwame Osei,Closed Won,"$4,686.72"
SO-71950,08/09/2026,Union Plains Rugby,Deborah Ward,Closed Won,"$8,723.66"
SO-71951,08/12/2026,Summit Nordic Ski Team,Kwame Osei,Closed Won,"$4,686.16"
SO-71955,08/13/2026,Granite State Climbing Gym,Rebecca Brooks,Closed Won,"$6,851.04"
SO-71956,08/14/2026,Harbor City FC,Laila Haddad,Closed Won,"$6,172.47"
SO-71957,08/14/2026,Northfield Youth Soccer,Laila Haddad,Closed Won,"$4,659.34"
SO-71961,08/15/2026,Quarry Road Scouts,Daniel Kim,Closed Won,"$4,021.29"
SO-71964,08/15/2026,Harbor City FC,Daniel Kim,Closed Won,"$1,792.95"
SO-71968,08/15/2026,Oakhurst Rowing Club,Daniel Kim,Closed Won,"$7,292.74"
SO-71972,08/15/2026,Kingfisher Sailing School,Rebecca Brooks,Closed Won,"$6,413.05"
SO-71974,08/17/2026,Granite State Climbing Gym,Rebecca Brooks,Closed Won,"$2,760.41"
SO-71978,08/17/2026,Magnolia Swim Club,Rebecca Brooks,Closed Won,"$6,180.55"
SO-71979,08/18/2026,Oakhurst Rowing Club,Daniel Kim,Closed Won,"$5,493.03"
SO-71982,08/20/2026,Riverbend High School,Kwame Osei,Closed Won,"$2,374.79"
SO-71984,08/20/2026,Northfield Youth Soccer,Laila Haddad,Closed Won,"$2,078.07"
SO-71987,08/20/2026,Kingfisher Sailing School,Laila Haddad,Closed Won,"$5,447.35"
SO-71989,08/21/2026,Pine Ridge Cross Country,Kwame Osei,Closed Won,"$3,254.97"
SO-71993,08/21/2026,Oakhurst Rowing Club,Deborah Ward,Closed Won,"$8,265.10"
SO-71995,08/22/2026,Tamarack Trail Runners,Rebecca Brooks,Closed Won,"$1,887.63"
SO-71998,08/22/2026,Ironwood Hockey Assoc.,Rebecca Brooks,Closed Won,"$1,510.91"
SO-71999,08/22/2026,Cedar Valley Middle School,Kwame Osei / Daniel Kim,Closed Won,"$10,806.01"
SO-72000,08/23/2026,Tamarack Trail Runners,Laila Haddad,Closed Won,"$5,164.34"
SO-72001,08/24/2026,Lakeside Lacrosse,Laila Haddad,Closed Won,"$2,064.22"
SO-72005,08/24/2026,Larkspur Dance Academy,Daniel Kim,Closed Won,"$2,101.12"
SO-72007,08/24/2026,Granite State Climbing Gym,Kwame Osei,Closed Won,"$5,425.56"
SO-72008,08/25/2026,Uptown Fitness,Daniel Kim,Closed Won,"$6,166.77"
SO-72012,08/26/2026,Larkspur Dance Academy,Daniel Kim,Closed Won,"$8,310.85"
SO-72016,08/26/2026,Summit Nordic Ski Team,Deborah Ward,Closed Won,"$9,076.60"
SO-72019,08/27/2026,Northfield Youth Soccer,Kwame Osei,Closed Won,"$6,613.04"
SO-72021,08/27/2026,Larkspur Dance Academy,Kwame Osei,Closed Won,"$2,983.57"
SO-72022,08/27/2026,Summit Nordic Ski Team,Daniel Kim,Closed Won,"$7,739.93"
SO-72024,08/27/2026,Kingfisher Sailing School,Kwame Osei,Closed Won,"$7,545.43"
SO-72026,08/28/2026,Oakhurst Rowing Club,Daniel Kim,Closed Won,"$6,853.83"
