refund_id,rep,clawback,recovered,written_off
RF-2203,Sofia Thompson,587.08,587.08,0.00
RF-2215,Sofia Thompson,46.51,46.51,0.00
RF-2218,Brian Foster,184.02,184.02,0.00
RF-2221,Jessica Ortiz,1002.82,1002.82,0.00
RF-2224,Wei Rogers,102.00,102.00,0.00
RF-2227,House,0.00,0.00,0.00
RF-2230,Wei Rogers,14.60,14.60,0.00
RF-2233,Brian Foster,578.00,14.73,563.27
RF-2236,Jessica Ortiz,197.48,197.48,0.00
RF-2239,Steven Gutierrez,54.76,54.76,0.00
RF-2242,Sofia Thompson,77.53,77.53,0.00
RF-2245,Brian Foster,162.21,0.00,162.21
RF-2248,Jessica Ortiz,197.55,197.55,0.00
RF-2251,Steven Gutierrez,107.67,107.67,0.00
RF-2254,Sofia Thompson,0.00,0.00,0.00
RF-2257,Jessica Ortiz,120.31,120.31,0.00
RF-2260,Steven Gutierrez,219.10,219.10,0.00
