recipient_name,dba_name,tin_type,recipient_tin,address,city,state,zip,box1_nonemployee_comp
"Copperfield Law, P.C.",,EIN,473093976,5463 Highland Ave,Columbus,OH,43215,6200.00
Deborah Okafor,Okafor Hardscape LLC,SSN,116442919,6107 Chestnut Ave,Burlington,VT,05401,12400.00
Dorothy Howard,,SSN,546332000,7665 Cedar Ln,Sacramento,CA,95814,1400.00
Garcia & Nguyen Snow Removal,,EIN,552381989,1901 Bridge St,Boulder,CO,80302,11200.50
Joshua Morris,Morris Lawn Care,SSN,795129916,1674 Juniper Way Suite 332,Tacoma,WA,98402,2470.00
Marcus Cox,,EIN,266205929,6801 Birch Ct Ste 358,Savannah,GA,31401,3500.50
Rebecca Garcia,,EIN,223455487,753 Highland Ave,Burlington,VT,05401,600.00
Richard Richardson,Richardson Sod & Seed,SSN,257811203,1307 Church St,Tucson,AZ,85701,13500.00
Sarah Foster,,SSN,582977715,8344 Dogwood Ave,Burlington,VT,05401,2900.25
Sarah Torres,Torres Landscape Design,SSN,792303653,8686 Juniper Way # 341,Boulder,CO,80302,12000.00
Steven Morgan,,SSN,238408894,4728 Mill Rd,Eugene,OR,97401,17500.00
Two Rivers Irrigation LLC,,EIN,378036754,4521 Union St,Omaha,NE,68102,6600.00
