Cedar & Pine Landscaping
Transaction List by Vendor
December 1, 2024 - January 31, 2026

Date,Transaction Type,Num,Vendor,Memo/Description,Amount
12/02/2024,Bill,8569,S. Foster,planting crew,373.00
12/03/2024,Bill,7049,Torres Landscape Design,design,600.00
12/09/2024,Bill,9486,Garcia & Nguyen Snow,snow removal,500.00
12/11/2024,Check,4101,Richardson Sod & Seed,sod install,300.00
12/13/2024,Bill Payment (ACH),,Torres Landscape Design,,600.00
12/16/2024,Bill,9231,D. Howard,fence repair,480.00
12/18/2024,Check,4102,D. Howard,fence repair,620.00
12/18/2024,Bill Payment (ACH),,Garcia & Nguyen Snow,,500.00
12/18/2024,Bill,3756,Torres Landscape Design,design,"1,200.00"
12/23/2024,Bill,9101,Valley Small Engine,mower repair,465.00
12/25/2024,Bill,7832,D. Howard,fence repair,392.00
12/30/2024,Bill Payment (ACH),,D. Howard,,480.00
01/01/2025,Bill Payment (Check),4103,S. Foster,,373.00
01/01/2025,Bill,8755,Torres Landscape Design,design,706.00
01/01/2025,Bill,5254,Valley Small Engine,mower repair,716.00
01/08/2025,Check,4104,Mossbank Accounting,bookkeeping and tax,969.00
01/08/2025,Bill Payment (Check),4105,Torres Landscape Design,,"1,200.00"
01/10/2025,Bill Payment (ACH),,Valley Small Engine,,716.00
01/13/2025,Bill,9619,Richardson Sod & Seed,sod install,"2,487.00"
01/15/2025,Bill Payment (Check),4106,Torres Landscape Design,,706.00
01/16/2025,Bill Payment (Check),4107,D. Howard,,392.00
01/21/2025,Bill Payment (ACH),,Richardson Sod & Seed,,"2,487.00"
01/22/2025,Bill Payment (ACH),,Valley Small Engine,,465.00
02/04/2025,Bill,5855,J. Morris,mowing crew,393.00
02/04/2025,Bill,5300,Richardson Sod & Seed,sod install,"1,696.00"
02/05/2025,Bill,1790,Summit Tree Care,tree removal,533.00
02/09/2025,Bill,3521,S. Foster,planting crew,415.00
02/13/2025,Bill Payment (Check),4108,Richardson Sod & Seed,,"1,696.00"
02/14/2025,Check,4109,S. Foster,planting crew,341.00
02/18/2025,Bill,7083,Garcia & Nguyen Snow,snow removal,"3,294.50"
02/19/2025,Bill,4978,Torres Landscape Design,design,"1,548.00"
02/20/2025,Bill,7468,Summit Tree Care,tree removal,449.00
02/25/2025,Bill Payment (ACH),,S. Foster,,415.00
02/28/2025,Bill Payment (Check),4110,Summit Tree Care,,533.00
03/03/2025,Check,4111,Richardson Sod & Seed,sod install,"2,352.00"
03/05/2025,Bill Payment (Check),4112,J. Morris,,393.00
03/06/2025,Bill Payment (Check),4113,Torres Landscape Design,,"1,548.00"
