Name,Email,Created at,Customer ID,Financial Status,Total,Refunded Amount,Tags,Lineitem name,Lineitem quantity,Lineitem price
#1001,margaret.cook@aol.com,2024-01-08 12:30:49 -0700,SQ-00747,paid,79.00,0.00,,Pour-over kit,1,42.00
#1001,margaret.cook@aol.com,2024-01-08 12:30:49 -0700,SQ-00747,,,,,Nightjar mug,1,16.00
#1001,margaret.cook@aol.com,2024-01-08 12:30:49 -0700,SQ-00747,,,,,Ethiopia Guji 12oz,1,21.00
#1002,watson.chloe@gmail.com,2024-01-09 07:35:25 -0700,7381891021,paid,42.00,0.00,,Ethiopia Guji 12oz,2,21.00
#1003,matthewwhite81@yahoo.com,2024-01-09 13:01:28 -0700,7324826513,paid,84.00,0.00,,Pour-over kit,1,42.00
#1003,matthewwhite81@yahoo.com,2024-01-09 13:01:28 -0700,7324826513,,,,,Colombia Huila 12oz,1,19.00
#1003,matthewwhite81@yahoo.com,2024-01-09 13:01:28 -0700,7324826513,,,,,Kenya AA 12oz,1,23.00
#1004,wilson.gary@hotmail.com,2024-01-11 10:16:30 -0700,7370033481,paid,35.00,0.00,,House Espresso 12oz,2,17.50
#1005,krogers@icloud.com,2024-01-11 14:09:14 -0700,SQ-00724,paid,27.95,0.00,,Ethiopia Guji 12oz,1,21.00
#1006,kimberly.davis@outlook.com,2024-01-11 14:14:27 -0700,7326117555,paid,20.00,0.00,,Guatemala Antigua 12oz,1,20.00
#1007,calvarez@me.com,2024-01-12 14:18:23 -0700,7377303096,paid,40.00,0.00,,Guatemala Antigua 12oz,2,20.00
#1008,jward@outlook.com,2024-01-14 14:38:59 -0700,7344999241,paid,117.00,0.00,,House Espresso 12oz,2,17.50
#1008,jward@outlook.com,2024-01-14 14:38:59 -0700,7344999241,,,,,Pour-over kit,1,42.00
#1008,jward@outlook.com,2024-01-14 14:38:59 -0700,7344999241,,,,,Guatemala Antigua 12oz,2,20.00
#1009,luis.mensah@me.com,2024-01-17 09:53:33 -0700,7365289435,paid,137.00,0.00,,Espresso 5lb,1,78.00
#1009,luis.mensah@me.com,2024-01-17 09:53:33 -0700,7365289435,,,,,Colombia Huila 12oz,2,19.00
#1009,luis.mensah@me.com,2024-01-17 09:53:33 -0700,7365289435,,,,,Ethiopia Guji 12oz,1,21.00
#1010,ops@nightjar.coffee,2024-02-04 12:40:00 -0700,7393861560,paid,42.00,0.00,,Pour-over kit,1,42.00
#1011,barbara_hernandez@icloud.com,2024-02-05 08:12:19 -0700,7322739785,paid,74.00,0.00,,Colombia Huila 12oz,1,19.00
#1011,barbara_hernandez@icloud.com,2024-02-05 08:12:19 -0700,7322739785,,,,,Guatemala Antigua 12oz,1,20.00
#1011,barbara_hernandez@icloud.com,2024-02-05 08:12:19 -0700,7322739785,,,,,House Espresso 12oz,2,17.50
#1012,ward.john@aol.com,2024-02-06 15:40:43 -0700,7361465572,paid,94.00,0.00,,Espresso 5lb,1,78.00
#1012,ward.john@aol.com,2024-02-06 15:40:43 -0700,7361465572,,,,,Nightjar mug,1,16.00
#1013,jessica_peterson@gmail.com,2024-02-08 08:03:09 -0700,7380058851,paid,62.50,0.00,,Nightjar mug,1,16.00
#1013,jessica_peterson@gmail.com,2024-02-08 08:03:09 -0700,7380058851,,,,,Colombia Huila 12oz,2,19.00
#1014,steven_morgan@icloud.com,2024-02-11 12:02:21 -0700,7364669736,paid,17.50,0.00,,House Espresso 12oz,1,17.50
#1015,wilson.gary@hotmail.com,2024-02-16 16:51:10 -0700,7370033481,paid,120.00,0.00,,Pour-over kit,1,42.00
#1015,wilson.gary@hotmail.com,2024-02-16 16:51:10 -0700,7370033481,,,,,Espresso 5lb,1,78.00
#1016,amara_torres@yahoo.com,2024-02-17 14:24:43 -0700,7331608507,paid,77.50,0.00,,Nightjar mug,1,16.00
#1016,amara_torres@yahoo.com,2024-02-17 14:24:43 -0700,7331608507,,,,,Pour-over kit,1,42.00
#1016,amara_torres@yahoo.com,2024-02-17 14:24:43 -0700,7331608507,,,,,Decaf Swiss Water 12oz,1,19.50
#1017,harris.david@protonmail.com,2024-02-24 10:26:31 -0700,7385060196,paid,82.00,0.00,,Ethiopia Guji 12oz,1,21.00
#1017,harris.david@protonmail.com,2024-02-24 10:26:31 -0700,7385060196,,,,,Pour-over kit,1,42.00
#1017,harris.david@protonmail.com,2024-02-24 10:26:31 -0700,7385060196,,,,,Colombia Huila 12oz,1,19.00
#1018,wilson.gary@hotmail.com,2024-02-25 10:10:25 -0700,7370033481,paid,59.50,0.00,,Guatemala Antigua 12oz,2,20.00
#1018,wilson.gary@hotmail.com,2024-02-25 10:10:25 -0700,7370033481,,,,,Decaf Swiss Water 12oz,1,19.50
#1019,edwards.anna@protonmail.com,2024-03-13 07:50:51 -0700,7305186383,paid,39.00,0.00,,Colombia Huila 12oz,1,19.00
#1019,edwards.anna@protonmail.com,2024-03-13 07:50:51 -0700,7305186383,,,,,Guatemala Antigua 12oz,1,20.00
#1020,calvarez@me.com,2024-03-19 12:56:48 -0700,7377303096,paid,120.00,0.00,,Ethiopia Guji 12oz,2,21.00
#1020,calvarez@me.com,2024-03-19 12:56:48 -0700,7377303096,,,,,Espresso 5lb,1,78.00
#1021,johnson.priya@outlook.com,2024-03-28 15:12:46 -0700,7388263752,paid,65.00,0.00,,Nightjar mug,1,16.00
#1021,johnson.priya@outlook.com,2024-03-28 15:12:46 -0700,7388263752,,,,,House Espresso 12oz,1,17.50
#1021,johnson.priya@outlook.com,2024-03-28 15:12:46 -0700,7388263752,,,,,Kenya AA 12oz,1,23.00
#1022,myers.richard@outlook.com,2024-03-31 12:11:33 -0700,7334914494,paid,48.95,0.00,,Pour-over kit,1,42.00
#1023,rebecca.garcia@yahoo.com,2024-04-03 15:45:54 -0700,SQ-00161,paid,42.00,0.00,,Pour-over kit,1,42.00
#1024,myers.richard@outlook.com,2024-04-04 16:37:27 -0700,7334914494,paid,103.00,0.00,,Colombia Huila 12oz,2,19.00
#1024,myers.richard@outlook.com,2024-04-04 16:37:27 -0700,7334914494,,,,,Pour-over kit,1,42.00
#1024,myers.richard@outlook.com,2024-04-04 16:37:27 -0700,7334914494,,,,,Kenya AA 12oz,1,23.00
#1025,myers.richard@outlook.com,2024-04-18 09:40:44 -0700,7334914494,paid,16.00,0.00,,Nightjar mug,1,16.00
#1026,amara_torres@yahoo.com,2024-04-21 16:31:57 -0700,7331608507,paid,129.00,0.00,,Espresso 5lb,1,78.00
#1026,amara_torres@yahoo.com,2024-04-21 16:31:57 -0700,7331608507,,,,,House Espresso 12oz,2,17.50
