Final mile - stop scans
08/01/2026 - 08/31/2026
Stop ID,Shipment,Hub,Customer,Item,Pieces,Promised date,Promised window,Scanned at,Stop status,Late reason
ST-900269,SHP-60254,Austin,Amara Torres,Chest freezer,3,2026-08-03,08:00-10:00,2026-08-03T13:17:00Z,Delivered,
ST-900375,SHP-60351,Austin,Luis Gonzalez,Refrigerator,1,2026-08-03,08:00-10:00,2026-08-03T13:33:00Z,Delivered,
ST-900209,SHP-60198,Denver,Kenneth Rogers,Sectional sofa,3,2026-08-03,08:00-10:00,2026-08-03T14:01:00Z,Attempted - customer absent,
ST-900348,SHP-60328,Austin,Donna White,Bedroom set,2,2026-08-03,08:00-10:00,2026-08-03T14:42:00Z,Attempted - no access,
ST-900271,SHP-60256,Austin,Donald Ramirez,Sectional sofa,2,08/03/2026,08:00-10:00,2026-08-03T14:45:00Z,Delivered,
ST-900392,SHP-60366,Austin,Kimberly Davis,Recliner,1,08/03/2026,08:00-10:00,2026-08-03T14:52:00Z,Delivered,
ST-900032,SHP-60029,Portland,Dorothy Howard,Sectional sofa,2,2026-08-03,08:00-10:00,2026-08-03T16:05:00Z,Delivered,
ST-900222,SHP-60211,Denver,Leila Cooper,Bedroom set,3,08/03/2026,AM,2026-08-03T16:14:00Z,Delivered,
ST-900022,SHP-60021,Portland,James Ward,Sectional sofa,1,08/03/2026,08:00-10:00,2026-08-03T16:44:00Z,Delivered,
ST-900009,SHP-60009,Portland,Melissa Osei,Dining set,3,2026-08-03,AM,2026-08-03T18:44:00Z,Delivered,
ST-900028,SHP-60026,Portland,Anna Edwards,Bedroom set,3,08/03/2026,AM,2026-08-03T18:53:00Z,Delivered,
ST-900278,SHP-60263,Austin,John Ward,Mattress set,3,2026-08-03,13:00-15:00,2026-08-03T18:53:00Z,Delivered,
ST-900296,SHP-60279,Austin,Joshua Peterson,Chest freezer,2,2026-08-03,13:00-15:00,2026-08-03T19:55:00Z,Delivered,
ST-900123,SHP-60118,Portland,Chloe Watson,Refrigerator,1,08/03/2026,PM,2026-08-03T20:02:00Z,Delivered,
ST-900021,SHP-60020,Portland,Matthew White,Recliner,3,2026-08-03,PM,2026-08-03T20:56:00Z,Delivered,
ST-900099,SHP-60094,Portland,Joshua Morris,Washer/dryer pair,2,08/03/2026,PM,2026-08-03T20:56:00Z,Delivered,
ST-900056,SHP-60052,Portland,Charles Flores,Recliner,1,2026-08-03,13:00-15:00,2026-08-03T21:01:00Z,Delivered,
