Gift ID,Donor ID,Donor Name,Gift Date,Amount,Gift Type,Campaign,Status,Notes
G-50001,D-10210,Luis Green,01/02/2024,206.00,Credit card,Spring Appeal,Posted,
G-50002,D-10198,Nadia Walker,01/05/2024,218.00,ACH,Gala,Posted,
G-50003,D-10248,Tamarack Brewing,01/08/2024,"11,917.00",Credit card,Gala,Posted,
G-50004,D-10221,Nancy Cooper,01/10/2024,178.00,Check,Gala,Posted,
G-50005,D-10087,Rahul Martinez,01/11/2024,673.00,Credit card,Year-End Appeal,Posted,
G-50006,D-10134,Amara Ramirez,01/11/2024,250.00,ACH,Kitten Season,Posted,
G-50007,D-10060,Stephanie Rogers,01/15/2024,152.00,Credit card,Gala,Posted,
G-50008,D-10202,Donna Peterson,01/15/2024,25.00,Credit card,Monthly Guardians,Posted,
G-50009,D-10224,George Hernandez,01/15/2024,126.00,Credit card,General,Posted,
G-50010,D-10088,William Williams,01/19/2024,203.00,Check,Gala,Posted,
G-50011,D-10156,Richard Carter,01/19/2024,50.00,Credit card,Monthly Guardians,Posted,
G-50012,D-10136,Lisa Lindqvist,01/26/2024,132.00,PayPal,Gala,Posted,
G-50013,D-10234,Ashley Nelson,01/29/2024,45.00,Check,Monthly Guardians,Posted,
G-50014,D-10098,Mateo Castillo,01/30/2024,"5,061.00",Credit card,Kitten Season,Posted,
G-50015,D-10136,Lisa Lindqvist,01/30/2024,214.00,Credit card,General,Posted,
G-50016,D-10102,Joseph Brown,02/03/2024,131.00,Check,Monthly Guardians,Posted,
G-50017,D-10230,MICHELLE GARCIA,02/03/2024,138.00,PayPal,General,Posted,
G-50018,D-10137,Marcus Richardson,02/05/2024,73.00,PayPal,Kitten Season,Posted,
G-50019,D-10168,Melissa Baker,02/05/2024,791.00,Check,Monthly Guardians,Posted,
G-50020,D-10189,Mary Ward,02/06/2024,162.00,Credit card,Gala,Posted,
G-50021,D-10188,Jennifer Nguyen,02/10/2024,129.00,PayPal,Spring Appeal,Posted,
G-50022,D-10073,Edward Morales,02/12/2024,82.00,Credit card,Gala,Posted,
G-50023,D-10202,Donna Peterson,02/15/2024,25.00,Credit card,Monthly Guardians,Posted,
G-50024,D-10125,J. Taylor,02/16/2024,519.00,PayPal,General,Posted,
G-50025,D-10224,George Hernandez,02/17/2024,49.00,Check,Monthly Guardians,Posted,
G-50026,D-10004,Laura Stewart,02/18/2024,"1,218.00",Credit card,Spring Appeal,Posted,
G-50027,D-10168,"Baker, Melissa",02/18/2024,195.00,Credit card,Spring Appeal,Posted,
G-50028,D-10234,Ashley Nelson,02/26/2024,"1,084.00",Credit card,Year-End Appeal,Posted,
G-50029,D-10060,STEPHANIE ROGERS,02/28/2024,51.00,Check,General,Posted,
G-50030,D-10158,"Morgan, Nadia",02/29/2024,85.00,Credit card,Year-End Appeal,Posted,
G-50031,D-10221,Nancy Cooper,02/29/2024,174.00,Credit card,Gala,Posted,
G-50032,D-10188,Jennifer Nguyen,03/03/2024,"3,146.00",Credit card,Kitten Season,Posted,
G-50033,D-10075,Brian Smith,03/04/2024,670.00,PayPal,Monthly Guardians,Posted,
G-50034,D-10162,J. Hernandez,03/04/2024,33.00,Check,Kitten Season,Posted,
G-50035,D-10182,M. Reed,03/04/2024,125.00,Credit card,Gala,Posted,
G-50036,D-10236,Omar Howard,03/05/2024,74.00,PayPal,Spring Appeal,Posted,
G-50037,D-10182,Mark Reed,03/07/2024,131.00,Credit card,Monthly Guardians,Posted,
G-50038,D-10116,Kwame Mensah,03/10/2024,32.00,Credit card,Monthly Guardians,Posted,
G-50039,D-10054,A. Howard,03/11/2024,"5,686.00",Credit card,Spring Appeal,Posted,
G-50040,D-10156,RICHARD CARTER,03/11/2024,149.00,Credit card,Kitten Season,Posted,
G-50041,D-10158,Nadia Morgan,03/11/2024,33.00,ACH,Spring Appeal,Posted,
G-50042,D-10087,Rahul Martinez,03/12/2024,"1,034.00",Credit card,Gala,Posted,
G-50043,D-10198,Nadia Walker,03/13/2024,47.00,ACH,Gala,Posted,
G-50044,D-10211,Laura Gomez,03/13/2024,128.00,Credit card,Kitten Season,Posted,
G-50045,D-10202,Donna Peterson,03/15/2024,25.00,Credit card,Monthly Guardians,Posted,
G-50046,D-10044,Rahul Long,03/16/2024,130.00,ACH,Monthly Guardians,Posted,
G-50047,D-10182,Mark Reed,03/19/2024,"3,930.00",Credit card,Monthly Guardians,Posted,
G-50048,D-10093,"Nguyen, Brian",03/20/2024,40.00,Credit card,Kitten Season,Posted,
G-50049,D-10211,Laura Gomez,03/22/2024,60.00,Credit card,Spring Appeal,Posted,
G-50050,D-10221,Nancy Cooper,03/22/2024,236.00,Credit card,Monthly Guardians,Posted,
G-50051,D-10238,Ashley Lewis,03/25/2024,40.00,Credit card,General,Posted,
G-50052,D-10028,Richard White,03/28/2024,53.00,Credit card,Gala,Posted,
G-50053,D-10200,Susan Parker,03/31/2024,168.00,Check,Gala,Posted,
G-50054,D-10059,B. Cooper,04/03/2024,88.00,Credit card,Year-End Appeal,Posted,
G-50055,D-10134,Amara Ramirez,04/03/2024,150.00,Check,Monthly Guardians,Posted,
