Donor ID,Household Name,Primary First,Primary Last,Secondary First,Secondary Last,Informal Salutation,Primary Email,Secondary Email,Street
D-10400,Deborah Okafor,Deborah,Okafor,,,Deb,deborahokafor6@me.com,,3590 School St Ste 387
D-10413,Richard Richardson,Richard,Richardson,,,Rick,richardson.richard@outlook.com,,7747 Willow Way
D-10426,Kenneth Ward,Kenneth,Ward,,,Ken,ward.kenneth@me.com,,242 Birch Ct
D-10439,Stephanie Alvarez,Stephanie,Alvarez,,,Stephanie,stephanie.alvarez@me.com,,3142 Magnolia Dr
D-10452,Charles Mensah,Charles,Mensah,,,Charles,charles.mensah@aol.com,,4781 Spruce Blvd
D-10465,Anna Clark,Anna,Clark,,,Anna,clark.anna@hotmail.com,,9443 Laurel Ct
D-10478,Matthew and Dmitri White,Matthew,White,Dmitri,White,Matt and Dmitri,matthew_white@yahoo.com,dmitri.white@yahoo.com,8606 Hawthorn Blvd
D-10491,Donald Ramirez,Donald,Ramirez,,,Donald,donald_ramirez@hotmail.com,,5325 Spruce Blvd
D-10504,Kwame Nelson,Kwame,Nelson,,,Kwame,kwame.nelson@hotmail.com,,5460 Hill St
D-10517,Richard and Leila Haddad,Richard,Haddad,Leila,Haddad,Rick and Leila,richard.haddad@yahoo.com,haddad.leila@yahoo.com,1913 Cedar Ln
D-10530,Dana Thomas,Dana,Thomas,,,Dana,dana.thomas@gmail.com,,1158 Magnolia Dr Unit 180
D-10543,Linda Cook,Linda,Cook,,,Linda,linda.cook@protonmail.com,,2787 Sycamore Ln
D-10556,Rahul Lee,Rahul,Lee,,,Rahul,lee.rahul@hotmail.com,,7739 River St
D-10569,Angela Flores,Angela,Flores,,,Angela,angelaflores50@outlook.com,,5515 Cedar Ln
D-10582,Sarah Walker,Sarah,Walker,,,Sarah,sarahwalker62@hotmail.com,,5095 Lake Dr
D-10595,Aisha and Matthew Hernandez,Aisha,Hernandez,Matthew,Hernandez,Aisha and Matt,aishahernandez90@outlook.com,hernandez.matthew@protonmail.com,6864 Cedar Ln Suite 133
D-10608,Laura Ortiz,Laura,Ortiz,,,Laura,ortiz.laura@gmail.com,,828 River St Suite 429
D-10621,Thomas Johnson,Thomas,Johnson,,,Tom,thomas_johnson@aol.com,,1614 Poplar Rd Ste 448
D-10634,Joshua Scott,Joshua,Scott,,,Joshua,joshua.scott@me.com,,7433 Spruce Blvd
D-10647,Sarah Wood,Sarah,Wood,,,Sarah,sarahwood84@yahoo.com,,3382 Juniper Way
D-10660,George Reed,George,Reed,,,George,reed.george@me.com,,8825 Walnut St
D-10673,Amara and Karen Nguyen,Amara,Nguyen,Karen,Nguyen,Amara and Karen,amaranguyen35@aol.com,karen.nguyen@gmail.com,9571 Alder St
D-10686,Priya and Kathleen Taylor,Priya,Taylor,Kathleen,Taylor,Priya and Kathleen,ptaylor@gmail.com,kathleen_taylor@aol.com,1640 Water St
D-10699,Kathleen Anderson,Kathleen,Anderson,,,Kathleen,kathleen.anderson@hotmail.com,,9260 Lake Dr
D-10712,Yuki and William Lopez,Yuki,Lopez,William,Lopez,Yuki and Bill,ylopez@gmail.com,lopez.william@hotmail.com,3571 Hill St Ste 134
D-10725,Hiroshi and Matthew Lindqvist,Hiroshi,Lindqvist,Matthew,Lindqvist,Hiroshi and Matt,hiroshi.lindqvist@yahoo.com,mlindqvist@yahoo.com,3407 Cedar Ln
D-10738,Charles and Timothy Wilson,Charles,Wilson,Timothy,Wilson,Charles and Tim,wilson.charles@outlook.com,timothy_wilson@protonmail.com,8178 Bridge St
D-10751,Betty Cooper,Betty,Cooper,,,Betty,betty.cooper@aol.com,,8615 Hickory Pl
D-10764,Karen Carter,Karen,Carter,,,Karen,karen_carter@yahoo.com,,2150 Cedar Ln
D-10777,Ryan Mitchell,Ryan,Mitchell,,,Ryan,mitchell.ryan@gmail.com,,1263 Hill St
D-10790,Jonathan Kim,Jonathan,Kim,,,Jon,jonathan_kim@icloud.com,,8316 Juniper Way
D-10803,Amy King,Amy,King,,,Amy,amy_king@protonmail.com,,4715 Church St Suite 247
D-10816,Rebecca Jackson,Rebecca,Jackson,,,Becky,rebecca.jackson@outlook.com,,6347 Market St # 399
D-10829,Karen and Sofia Williams,Karen,Williams,Sofia,Williams,Karen and Sofia,karenwilliams17@yahoo.com,sofia_williams@me.com,7666 Church St
