Event,Date,Guest,Email,Gift Type,Amount,Payment Status
Spring Luncheon 2024,04/18/2024,Priya Taylor,,Fund-a-Need,$250.00,Paid
Spring Luncheon 2024,04/18/2024,Hiroshi Lindqvist,,Fund-a-Need,$100.00,Paid
Spring Luncheon 2024,04/18/2024,Sarah Wood,,Fund-a-Need,$250.00,Paid
Spring Luncheon 2024,04/18/2024,Timothy Wilson,timothy_wilson@protonmail.com,Fund-a-Need,$100.00,Paid
Spring Luncheon 2024,04/18/2024,Angela Flores,angelaflores50@outlook.com,Fund-a-Need,$250.00,Paid
Spring Luncheon 2024,04/18/2024,Stephanie Alvarez,,Fund-a-Need,$250.00,Paid
Spring Luncheon 2024,04/18/2024,Sarah Walker,sarahwalker62@hotmail.com,Fund-a-Need,$250.00,Paid
Spring Luncheon 2024,04/18/2024,Ryan Mitchell,mitchell.ryan@gmail.com,Fund-a-Need,$250.00,Paid
Harvest Gala 2025,10/11/2025,Kenneth Ward,,Paddle Raise,$250.00,Paid
Harvest Gala 2025,10/11/2025,Kwame Nelson,kwame.nelson@hotmail.com,Paddle Raise,"$1,000.00",Paid
Harvest Gala 2025,10/11/2025,Rahul Lee,lee.rahul@hotmail.com,Paddle Raise,$250.00,Paid
Harvest Gala 2025,10/11/2025,Karen Nguyen,karen.nguyen@gmail.com,Paddle Raise,$500.00,Paid
Harvest Gala 2025,10/11/2025,Rebecca Jackson,rebecca.jackson@outlook.com,Paddle Raise,"$2,500.00",Pledged
Harvest Gala 2025,10/11/2025,Dmitri White,dmitri.white@yahoo.com,Paddle Raise,"$2,500.00",Pledged
Harvest Gala 2025,10/11/2025,Angela Flores,angelaflores50@outlook.com,Paddle Raise,"$1,000.00",Paid
Harvest Gala 2025,10/11/2025,Linda Cook,,Paddle Raise,"$2,500.00",Pledged
Harvest Gala 2025,10/11/2025,Kathleen Anderson,,Paddle Raise,"$5,000.00",Pledged
Harvest Gala 2025,10/11/2025,Charles Mensah,charles.mensah@aol.com,Paddle Raise,"$2,500.00",Pledged
