Transaction ID,Created,First Name,Last Name,Email,Amount,Refunded Amount,Status,Frequency,Type,Fundraising Page,Memo
GV-880032,2024-01-04 15:08:11,Priya,Taylor,ptaylor@gmail.com,500.00,50.00,Partially Refunded,One-time,Donation,,
GV-880035,2024-01-04 21:57:38,Linda,Cook,linda.cook@protonmail.com,100.00,0.00,Succeeded,One-time,Donation,,
GV-880043,2024-01-06 08:46:24,Linda,Cook,linda.cook@protonmail.com,100.00,0.00,Succeeded,One-time,Donation,,
GV-880056,2024-01-16 21:46:27,Kathleen,Anderson,kathleen.anderson@hotmail.com,25.00,0.00,Succeeded,One-time,Donation,,
GV-880069,2024-01-23 08:07:08,Aisha,Hernandez,aisha_hernandez@gmail.com,50.00,0.00,Succeeded,One-time,Donation,,
GV-880104,2024-02-15 09:49:44,Kenneth,Ward,ward.kenneth@me.com,50.00,0.00,Succeeded,One-time,Donation,,
GV-880131,2024-02-18 16:13:43,Matthew,White,matthew_white@yahoo.com,50.00,0.00,Succeeded,One-time,Donation,,
GV-880164,2024-03-08 08:12:45,Deborah,Okafor,deborahokafor6@me.com,150.00,0.00,Succeeded,One-time,Donation,,
GV-880148,2024-03-08 09:49:17,Matthew,Hernandez,hernandez.matthew@protonmail.com,100.00,0.00,Succeeded,One-time,Donation,,
GV-880167,2024-03-10 19:54:31,Thomas,Johnson,thomas.johnson@gmail.com,250.00,0.00,Succeeded,One-time,Donation,,
GV-880178,2024-03-14 20:47:54,Dana,Thomas,dana.thomas@mossbank.cpa,500.00,0.00,Succeeded,One-time,Donation,,
GV-880188,2024-04-06 07:07:48,Dmitri,White,dmitri.white@yahoo.com,150.00,0.00,Succeeded,One-time,Donation,,
GV-880228,2024-04-08 13:21:00,Sarah,Walker,walker.sarah@valleyforgestorage.com,75.00,0.00,Succeeded,One-time,Donation,,
GV-880236,2024-04-15 07:32:05,Karen,Carter,karen.carter@outlook.com,150.00,0.00,Succeeded,One-time,Donation,,
GV-880275,2024-04-16 13:26:04,Rahul,Lee,lee.rahul@hotmail.com,25.00,0.00,Succeeded,One-time,Donation,,
GV-880303,2024-04-25 09:44:37,Laura,Ortiz,lauraortiz42@cedarpine.co,75.00,0.00,Succeeded,One-time,Donation,,
GV-880315,2024-04-28 08:03:17,Linda,Cook,linda_cook@meridiantitle.com,50.00,0.00,Succeeded,One-time,Donation,,
GV-880353,2024-05-01 15:47:36,Thomas,Johnson,thomas_johnson@aol.com,150.00,150.00,Refunded,One-time,Donation,,
GV-880358,2024-05-16 19:57:15,Kwame,Nelson,kwamenelson29@outlook.com,100.00,0.00,Succeeded,One-time,Donation,,
GV-880371,2024-05-31 08:47:23,Kathleen,Anderson,kathleen.anderson@hotmail.com,50.00,0.00,Succeeded,One-time,Donation,,
GV-880407,2024-06-05 09:55:22,Sarah,Walker,sarahwalker62@hotmail.com,100.00,0.00,Succeeded,One-time,Donation,,
GV-880417,2024-06-13 18:28:13,Joshua,Scott,joshua.scott@me.com,100.00,0.00,Succeeded,One-time,Donation,,
GV-880445,2024-06-26 07:24:51,Sarah,Wood,sarah.wood@juniperstreet.cafe,250.00,0.00,Succeeded,One-time,Donation,,
GV-880469,2024-07-03 10:13:14,Kathleen,Anderson,kanderson@outlook.com,50.00,0.00,Succeeded,One-time,Donation,,
GV-880500,2024-07-06 16:40:18,Matt,Lindqvist,mlindqvist@yahoo.com,100.00,0.00,Succeeded,One-time,Donation,,
GV-880509,2024-07-27 08:01:24,Hiroshi,Lindqvist,hiroshi.lindqvist@yahoo.com,150.00,0.00,Succeeded,One-time,Donation,,
GV-880547,2024-08-02 14:36:47,Kenneth,Ward,ward.kenneth@me.com,50.00,0.00,Succeeded,One-time,Donation,,
GV-880554,2024-08-09 14:06:48,Angela,Flores,angelaflores50@outlook.com,75.00,0.00,Succeeded,One-time,Donation,,
GV-880582,2024-08-10 18:08:42,Kenneth,Ward,ward.kenneth@me.com,150.00,0.00,Succeeded,One-time,Donation,,
GV-880603,2024-08-12 15:01:03,Matt,Hernandez,hernandez.matthew@protonmail.com,50.00,0.00,Succeeded,One-time,Donation,,
GV-880617,2024-08-17 12:07:38,Kwame,Nelson,kwamenelson29@outlook.com,50.00,0.00,Succeeded,One-time,Donation,,
GV-880629,2024-09-01 08:28:13,Dana,Thomas,dana.thomas@mossbank.cpa,150.00,0.00,Succeeded,One-time,Donation,,
GV-880656,2024-10-01 07:51:22,Leila,Haddad,leila.haddad@gmail.com,50.00,0.00,Succeeded,One-time,Donation,,
GV-880677,2024-10-14 15:08:05,Dmitri,White,white.dmitri@gmail.com,50.00,0.00,Succeeded,One-time,Donation,,
GV-880715,2024-10-20 20:28:09,Tom,Johnson,thomas.johnson@gmail.com,75.00,0.00,Succeeded,One-time,Donation,,
GV-880753,2024-10-25 12:42:45,Timothy,Wilson,timothy_wilson@protonmail.com,50.00,0.00,Succeeded,One-time,Donation,,
GV-880773,2024-11-22 22:22:06,Rahul,Lee,lee.rahul@hotmail.com,50.00,0.00,Succeeded,One-time,Donation,,
GV-880779,2024-11-23 11:11:51,Karen,Carter,karen.carter@outlook.com,150.00,0.00,Succeeded,One-time,Donation,,
GV-880787,2024-11-24 14:54:00,Rahul,Lee,rlee@outlook.com,50.00,0.00,Succeeded,One-time,Donation,,
GV-880802,2024-11-26 21:37:35,Amy,King,aking@gmail.com,500.00,0.00,Succeeded,One-time,Donation,,
GV-880839,2024-11-30 12:35:30,Karen,Nguyen,karen.nguyen@gmail.com,100.00,0.00,Succeeded,One-time,Donation,,
GV-880879,2024-12-03 09:41:01,Angela,Flores,angelaflores50@outlook.com,25.00,0.00,Succeeded,One-time,Donation,,
GV-880919,2024-12-05 20:34:19,Stephanie,Alvarez,stephanie.alvarez@me.com,50.00,0.00,Succeeded,One-time,Donation,,
GV-880955,2024-12-12 09:56:41,Kwame,Nelson,kwame.nelson@hotmail.com,75.00,0.00,Succeeded,One-time,Donation,,
GV-880994,2024-12-13 16:04:46,Laura,Ortiz,ortiz.laura@gmail.com,100.00,100.00,Refunded,One-time,Donation,,
GV-881045,2024-12-16 08:43:38,Betty,Cooper,betty.cooper@aol.com,75.00,0.00,Succeeded,One-time,Donation,,
GV-881011,2024-12-16 22:29:03,Deborah,Okafor,deborahokafor62@copperfieldlaw.com,50.00,0.00,Succeeded,One-time,Donation,,
GV-881049,2024-12-23 21:14:23,Dana,Thomas,dana.thomas@gmail.com,500.00,0.00,Succeeded,One-time,Donation,,
GV-881088,2025-01-04 14:02:39,Kathleen,Anderson,kathleen.anderson@hotmail.com,40.00,0.00,Succeeded,Recurring,Donation,,
GV-881096,2025-01-04 20:26:37,Yuki,Lopez,ylopez@gmail.com,25.00,0.00,Succeeded,Recurring,Donation,,
GV-881103,2025-01-11 08:38:48,Aisha,Hernandez,aisha_hernandez@gmail.com,50.00,0.00,Succeeded,One-time,Donation,,
GV-881117,2025-01-24 07:22:39,Karen,Carter,karen.carter@outlook.com,50.00,0.00,Succeeded,One-time,Donation,,
