Order #,Order Date,Attendee #,First Name,Last Name,Email,Ticket Type,Total Paid,Order Type,Attendee Status
1461200017,2026-08-02 22:06:00,1461200017001,Matthew,Peterson,matthew.peterson@outlook.com,General Admission,25.00,Eventbrite Completed,Refunded
1461200040,2026-08-03 17:29:00,1461200040001,Donna,Morgan,donna_morgan@me.com,General Admission,25.00,Eventbrite Completed,Attending
1461200087,2026-08-04 08:36:00,1461200087001,Aisha,Hernandez,hernandez.aisha@icloud.com,General Admission,25.00,Eventbrite Completed,Attending
1461200087,2026-08-04 08:36:00,1461200087002,Aisha,Hernandez,hernandez.aisha@icloud.com,General Admission,25.00,Eventbrite Completed,Attending
1461200141,2026-08-05 05:17:00,1461200141001,Kevin,Lee,kevin_lee@aol.com,General Admission,25.00,Eventbrite Completed,Attending
1461200141,2026-08-05 05:17:00,1461200141002,Kevin,Lee,kevin_lee@aol.com,General Admission,25.00,Eventbrite Completed,Attending
1461200168,2026-08-06 22:06:00,1461200168001,Matthew,Peterson,matthew.peterson@outlook.com,General Admission,25.00,Eventbrite Completed,Attending
1461200168,2026-08-06 22:06:00,1461200168002,Matthew,Peterson,matthew.peterson@outlook.com,General Admission,25.00,Eventbrite Completed,Attending
1461200202,2026-08-07 05:21:00,1461200202001,Emily,Williams,emily.williams@icloud.com,General Admission,25.00,Eventbrite Completed,Attending
1461200234,2026-08-07 07:28:00,1461200234001,Richard,Haddad,rhaddad@gmail.com,General Admission,25.00,Eventbrite Completed,Attending
1461200282,2026-08-08 14:01:00,1461200282001,Deborah,Roberts,droberts@outlook.com,General Admission,25.00,Eventbrite Completed,Attending
1461200282,2026-08-08 14:01:00,1461200282002,Deborah,Roberts,droberts@outlook.com,General Admission,25.00,Eventbrite Completed,Attending
1461200320,2026-08-08 18:05:00,1461200320001,Anna,Martin,martin.anna@me.com,General Admission,25.00,Eventbrite Completed,Refunded
1461200361,2026-08-09 09:12:00,1461200361001,Amanda,Ortiz,amanda.ortiz@me.com,General Admission,25.00,Eventbrite Completed,Attending
1461200395,2026-08-09 20:24:00,1461200395001,Karen,Bailey,karen.bailey@me.com,General Admission,25.00,Eventbrite Completed,Attending
1461200415,2026-08-10 19:38:00,1461200415001,Ingrid,Ruiz,ingrid.ruiz@yahoo.com,General Admission,25.00,Eventbrite Completed,Cancelled
1461200415,2026-08-10 19:38:00,1461200415002,Ingrid,Ruiz,ingrid.ruiz@yahoo.com,General Admission,25.00,Eventbrite Completed,Cancelled
1461200453,2026-08-11 19:29:00,1461200453001,Charles,Flores,charles.flores@aol.com,General Admission,25.00,Eventbrite Completed,Attending
1461200495,2026-08-11 19:34:00,1461200495001,Anna,Scott,ascott@me.com,General Admission,25.00,Eventbrite Completed,Attending
1461200495,2026-08-11 19:34:00,1461200495002,Anna,Scott,ascott@me.com,General Admission,25.00,Eventbrite Completed,Attending
1461200529,2026-08-12 07:07:00,1461200529001,Wei,Gutierrez,wei_gutierrez@me.com,General Admission,25.00,Eventbrite Completed,Attending
1461200573,2026-08-12 15:25:00,1461200573001,Jacob,Reed,jreed@gmail.com,General Admission,25.00,Eventbrite Completed,Attending
1461200612,2026-08-13 22:48:00,1461200612001,Joseph,Alvarez,josephalvarez29@outlook.com,General Admission,25.00,Eventbrite Completed,Attending
1461200633,2026-08-14 20:54:00,1461200633001,Leila,Reyes,leilareyes79@yahoo.com,General Admission,25.00,Eventbrite Completed,Attending
1461200633,2026-08-14 20:54:00,1461200633002,Leila,Reyes,leilareyes79@yahoo.com,General Admission,25.00,Eventbrite Completed,Attending
1461200671,2026-08-15 07:42:00,1461200671001,David,Lewis,david.lewis@hotmail.com,General Admission,25.00,Eventbrite Completed,Cancelled
1461200706,2026-08-15 23:31:00,1461200706001,Linda,Jones,linda_jones@outlook.com,General Admission,25.00,Eventbrite Completed,Attending
1461200762,2026-08-16 13:25:00,1461200762001,Jessica,Morris,jessica_morris@protonmail.com,General Admission,25.00,Eventbrite Completed,Refunded
1461200780,2026-08-16 22:31:00,1461200780001,Joshua,Turner,joshua.turner@me.com,General Admission,25.00,Eventbrite Completed,Attending
1461200826,2026-08-17 23:15:00,1461200826001,Mark,Brooks,mark_brooks@protonmail.com,General Admission,25.00,Eventbrite Completed,Attending
1461200826,2026-08-17 23:15:00,1461200826002,Mark,Brooks,mark_brooks@protonmail.com,General Admission,25.00,Eventbrite Completed,Attending
1461200863,2026-08-20 06:52:00,1461200863001,Charles,Diaz,charles_diaz@yahoo.com,General Admission,25.00,Eventbrite Completed,Attending
1461200906,2026-08-21 12:11:00,1461200906001,Rahul,Rivera,rivera.rahul@outlook.com,General Admission,25.00,Eventbrite Completed,Attending
1461200906,2026-08-21 12:11:00,1461200906002,Rahul,Rivera,rivera.rahul@outlook.com,General Admission,25.00,Eventbrite Completed,Attending
1461200939,2026-08-21 19:42:00,1461200939001,Carol,Jones,cjones@hotmail.com,General Admission,25.00,Eventbrite Completed,Attending
1461200966,2026-08-21 23:19:00,1461200966001,Jennifer,Garcia,jennifergarcia63@gmail.com,General Admission,25.00,Eventbrite Completed,Attending
1461200966,2026-08-21 23:19:00,1461200966002,Jennifer,Garcia,jennifergarcia63@gmail.com,General Admission,25.00,Eventbrite Completed,Attending
1461201016,2026-08-23 00:32:00,1461201016001,Donald,Miller,dmiller@yahoo.com,General Admission,25.00,Eventbrite Completed,Attending
1461201057,2026-08-23 14:36:00,1461201057001,Betty,Ross,betty.ross@protonmail.com,General Admission,25.00,Eventbrite Completed,Attending
1461201082,2026-08-23 16:19:00,1461201082001,Robert,Jones,jones.robert@outlook.com,General Admission,25.00,Eventbrite Completed,Attending
1461201121,2026-08-23 19:31:00,1461201121001,Matthew,Thomas,mthomas@hotmail.com,General Admission,25.00,Eventbrite Completed,Attending
1461201121,2026-08-23 19:31:00,1461201121002,Matthew,Thomas,mthomas@hotmail.com,General Admission,25.00,Eventbrite Completed,Attending
1461201167,2026-08-24 00:17:00,1461201167001,Marcus,Haddad,marcus.haddad@me.com,General Admission,25.00,Eventbrite Completed,Attending
1461201167,2026-08-24 00:17:00,1461201167002,Marcus,Haddad,marcus.haddad@me.com,General Admission,25.00,Eventbrite Completed,Attending
1461201199,2026-08-24 10:06:00,1461201199001,Matthew,White,matthew.white@me.com,General Admission,25.00,Eventbrite Completed,Attending
1461201199,2026-08-24 10:06:00,1461201199002,Matthew,White,matthew.white@me.com,General Admission,25.00,Eventbrite Completed,Attending
1461201244,2026-08-24 19:20:00,1461201244001,Steven,Moore,moore.steven@aol.com,General Admission,25.00,Eventbrite Completed,Attending
1461201244,2026-08-24 19:20:00,1461201244002,Steven,Moore,moore.steven@aol.com,General Admission,25.00,Eventbrite Completed,Attending
1461201271,2026-08-24 19:55:00,1461201271001,Cynthia,Roberts,cynthia.roberts@yahoo.com,General Admission,25.00,Eventbrite Completed,Attending
