Timestamp,Full name,Email address,How many in your party?
08/28/2026 09:45,Cynthia Garcia,cynthia.garcia@protonmail.com,1
08/29/2026 12:35,Amy Bennett,amybennett83@yahoo.com,1
08/30/2026 20:45,Deborah Okafor,deborah.okafor@hotmail.com,1
09/01/2026 02:20,Jason Hernandez,jhernandez@hotmail.com,2
09/01/2026 20:21,Aisha Hall,aisha_hall@me.com,1
09/03/2026 05:20,Joshua Morris,morris.joshua@icloud.com,1
09/03/2026 11:43,John Ward,johnward85@me.com,1
09/03/2026 16:59,Timothy Howard,timothy_howard@yahoo.com,1
09/04/2026 01:45,Elizabeth Chavez,elizabethchavez39@protonmail.com,1
09/05/2026 05:34,Sarah Foster,foster.sarah@hotmail.com,1
