Ticket ID,Created,Requester,Requester email,Subject,Description,Tags,Status,Assignee,Latest public reply
20417,2026-07-01 22:36,Donna Cruz,donnacruz10@yahoo.com,Question,"Hi,

How late in the week can I update my shipping address for the next order?

Thanks,
Donna",subscription,Closed,Maya,Changes need to be in by Wednesday 5 pm Pacific to make that week's roast.
20418,2026-07-02 06:07,Mark Lewis,marklewis26@gmail.com,cutoff,"Hi,

By when do I have to switch coffees for next week's box?

Thanks,
Mark",subscription,Closed,Maya,Changes need to be in by Wednesday 5 pm Pacific to make that week's roast.
20419,2026-07-02 15:27,Brian Tanaka,tanaka.brian@icloud.com,hold deliveries,"Hi,

How long can I pause my coffee subscription? We have a new baby and are drowning in beans.

Thanks,
Brian",account,Pending,Tyler,You can pause for up to 8 weeks - just reply with your dates and we'll set it up for you.
20420,2026-07-03 03:03,Deborah Hall,deborah_hall@me.com,Gifts,"Hi,

Do you have gift subscriptions? Want to send 3 months to my dad.

Thanks,
Deborah",gift,Closed,Maya,"Gift subscriptions come in 3, 6 and 12 months."
20421,2026-07-03 07:34,Ingrid Thompson,ithompson@me.com,Pause subscription,"Hi,

I want a break from deliveries over the summer, not cancel. Possible?

Thanks,
Ingrid",account,Closed,Tyler,You can pause for up to 8 weeks - just reply with your dates and we'll set it up for you.
20422,2026-07-04 20:11,Andrew Roberts,aroberts@outlook.com,decaf?,"Hi,

Do you have a decaf option for subscriptions?

Thanks,
Andrew",product,Closed,Tyler,"Yes, our decaf is a Swiss Water process Colombian."
20423,2026-07-05 21:56,Luis Kelly,lkelly@gmail.com,Gifts,"Hi,

Gift card or gift subscription options?

Thanks,
Luis",product,Closed,Luis,"Gift subscriptions come in 3, 6 and 12 months."
20424,2026-07-06 04:51,Wei Phillips,phillips.wei@aol.com,Canada,"Hi,

Do you deliver internationally? Specifically Canada.

Thanks,
Wei",international,Closed,Tyler,We ship to Canada for a flat $12.
20425,2026-07-07 04:15,Luis Scott,luis.scott@me.com,Question about shipping,"Hi,

Do you ship to Canada? I'm in Calgary.

Thanks,
Luis",international,Closed,Maya,We ship to Canada for a flat $12.
20426,2026-07-07 09:12,Matthew Bailey,matthew.bailey@hotmail.com,Damaged bag,"Hi,

How long do I have to report a damaged delivery? Mine came 6 days ago and I was away.

Thanks,
Matthew",quality,Closed,Maya,So sorry! If you let us know within 14 days of delivery we'll send a replacement or add store credit to your account.
