Donation ID,Date,Donor first name,Donor last name,Email,Campaign,Amount,Status,Refunded amount,Hide my name
DN-58000,06/01/2026,Amara,Davis,amara.davis@me.com,New eight for the juniors,$250.00,Succeeded,,
DN-58003,06/01/2026,Richard,Jones,rjones@hotmail.com,New eight for the juniors,$180.00,Succeeded,,
DN-58006,06/01/2026,Kevin,Reyes,kevinreyes31@me.com,New eight for the juniors,$75.00,Succeeded,,
DN-58009,06/01/2026,Yuki,Watson,ywatson@aol.com,New eight for the juniors,$50.00,Succeeded,,
DN-58012,06/04/2026,Paul,Walker,paul_walker@yahoo.com,New eight for the juniors,$72.50,Succeeded,,
DN-58015,06/05/2026,Rebecca,Thomas,thomas.rebecca@hotmail.com,New eight for the juniors,$25.00,Succeeded,,
DN-58018,06/06/2026,Melissa,Cox,melissacox36@yahoo.com,New eight for the juniors,$36.00,Succeeded,,
DN-58021,06/06/2026,Carlos,Edwards,edwards.carlos@outlook.com,New eight for the juniors,$250.00,Succeeded,,
DN-58024,06/06/2026,Patricia,Scott,patriciascott10@protonmail.com,New eight for the juniors,$118.00,Succeeded,,Yes
DN-58027,06/07/2026,Daniel,Campbell,dcampbell@protonmail.com,New eight for the juniors,$150.00,Succeeded,,
DN-58030,06/07/2026,Karen,Hughes,hughes.karen@yahoo.com,New eight for the juniors,$500.00,Succeeded,,
DN-58033,06/07/2026,Dana,Ramos,ramos.dana@yahoo.com,New eight for the juniors,$36.00,Succeeded,,
DN-58036,06/08/2026,Jacob,Cooper,cooper.jacob@protonmail.com,New eight for the juniors,$200.00,Succeeded,,
DN-58039,06/08/2026,Ingrid,Gray,ingrid_gray@hotmail.com,New eight for the juniors,$150.00,Succeeded,,
DN-58042,06/08/2026,Omar,Okafor,okafor.omar@protonmail.com,New eight for the juniors,$100.00,Refunded,,
DN-58045,06/10/2026,Michelle,Smith,michelle.smith@protonmail.com,New eight for the juniors,$50.00,Succeeded,,
DN-58048,06/11/2026,Brian,Morgan,brian.morgan@gmail.com,New eight for the juniors,"$5,100.00",Succeeded,,
DN-58051,06/12/2026,Carlos,Wilson,carlos_wilson@yahoo.com,New eight for the juniors,$25.00,Succeeded,,
DN-58054,06/13/2026,Joshua,Parker,joshua.parker@me.com,New eight for the juniors,$25.00,Succeeded,,
DN-58057,06/14/2026,Richard,Jones,rjones@hotmail.com,New eight for the juniors,$250.00,Succeeded,,
DN-58060,06/14/2026,Rahul,Williams,rwilliams@yahoo.com,New eight for the juniors,"$3,100.00",Refunded,,
DN-58063,06/15/2026,Paul,Lewis,lewis.paul@protonmail.com,New eight for the juniors,$36.00,Succeeded,,
DN-58066,06/16/2026,Nadia,Bailey,bailey.nadia@protonmail.com,New eight for the juniors,$50.00,Succeeded,,
DN-58069,06/16/2026,Mark,Cruz,mark_cruz@aol.com,General fund,$40.00,Succeeded,,
DN-58072,06/16/2026,Andrew,Thomas,andrewthomas7@me.com,General fund,$120.00,Succeeded,,
DN-58075,06/17/2026,David,Lee,lee.david@gmail.com,New eight for the juniors,$26.25,Succeeded,,
DN-58078,06/17/2026,Susan,Richardson,susan_richardson@icloud.com,Spring regatta entry fees,$120.00,Succeeded,,
DN-58081,06/17/2026,Anna,Taylor,taylor.anna@outlook.com,New eight for the juniors,$72.50,Succeeded,,Yes
DN-58084,06/19/2026,Daniel,Campbell,dcampbell@protonmail.com,New eight for the juniors,$60.00,Succeeded,,
DN-58087,06/19/2026,Jacob,King,jacob_king@protonmail.com,Spring regatta entry fees,$180.00,Succeeded,,
DN-58090,06/22/2026,Carlos,Edwards,edwards.carlos@outlook.com,New eight for the juniors,$60.00,Succeeded,,
DN-58093,06/22/2026,Nancy,Green,nancy.green@yahoo.com,Spring regatta entry fees,$50.00,Succeeded,,
DN-58096,06/22/2026,Paul,Walker,paul_walker@yahoo.com,New eight for the juniors,$75.00,Succeeded,,
DN-58099,06/24/2026,Dorothy,Cox,cox.dorothy@icloud.com,New eight for the juniors,$54.00,Succeeded,,
DN-58102,06/24/2026,Donald,Jones,jones.donald@yahoo.com,New eight for the juniors,$75.00,Succeeded,,
DN-58105,06/24/2026,Eric,Roberts,eroberts@gmail.com,New eight for the juniors,$50.00,Succeeded,,
DN-58108,06/25/2026,Rebecca,Cook,rebecca_cook@aol.com,New eight for the juniors,$50.00,Succeeded,,
DN-58111,06/26/2026,Omar,King,king.omar@icloud.com,Spring regatta entry fees,$120.00,Succeeded,,
DN-58114,06/26/2026,Jacob,Watson,jacobwatson80@outlook.com,New eight for the juniors,$72.50,Succeeded,,
DN-58117,06/26/2026,Timothy,Wilson,timothywilson75@gmail.com,New eight for the juniors,$50.00,Succeeded,,
DN-58120,06/27/2026,Kwame,Collins,kwamecollins25@outlook.com,New eight for the juniors,"$2,200.00",Succeeded,,
DN-58123,06/28/2026,Fatima,Wright,fatima.wright@protonmail.com,New eight for the juniors,$50.00,Succeeded,,
DN-58126,06/29/2026,Melissa,Cox,melissacox36@yahoo.com,New eight for the juniors,$25.00,Succeeded,,
DN-58129,06/29/2026,Mary,Gray,gray.mary@icloud.com,New eight for the juniors,$400.00,Partially refunded,$150.00,
DN-58132,06/30/2026,Joshua,Lindqvist,lindqvist.joshua@hotmail.com,New eight for the juniors,$500.00,Succeeded,,
DN-58135,07/03/2026,Timothy,Wilson,timothywilson75@gmail.com,New eight for the juniors,$36.00,Succeeded,,
DN-58138,07/07/2026,Kwame,Hill,hill.kwame@protonmail.com,New eight for the juniors,$25.00,Succeeded,,
DN-58141,07/07/2026,Rahul,Parker,rahulparker7@icloud.com,New eight for the juniors,$26.25,Succeeded,,
DN-58144,07/08/2026,John,Sanchez,john_sanchez@hotmail.com,New eight for the juniors,$54.00,Succeeded,,
DN-58147,07/09/2026,Karen,Robinson,karenrobinson70@icloud.com,Spring regatta entry fees,$120.00,Succeeded,,
DN-58150,07/09/2026,Hiroshi,Rodriguez,hiroshirodriguez54@hotmail.com,New eight for the juniors,$35.00,Succeeded,,
DN-58153,07/11/2026,Nicholas,Lewis,nlewis@aol.com,New eight for the juniors,$36.00,Succeeded,,
DN-58156,07/11/2026,Patricia,Reed,patriciareed4@aol.com,New eight for the juniors,$60.00,Succeeded,,
DN-58159,07/13/2026,Richard,Wilson,richardwilson87@me.com,New eight for the juniors,$60.00,Succeeded,,
DN-58162,07/14/2026,Jacob,Cooper,cooper.jacob@protonmail.com,New eight for the juniors,$118.00,Succeeded,,Yes
DN-58165,07/16/2026,Rahul,Parker,rahulparker7@icloud.com,New eight for the juniors,$35.00,Succeeded,,
DN-58168,07/17/2026,Fatima,Wright,fatima.wright@protonmail.com,New eight for the juniors,$26.25,Succeeded,,
DN-58171,07/20/2026,Sarah,Campbell,campbell.sarah@yahoo.com,New eight for the juniors,$200.00,Succeeded,,
DN-58174,07/20/2026,Donna,Diaz,donna.diaz@aol.com,New eight for the juniors,$26.25,Succeeded,,
DN-58177,07/21/2026,Rebecca,Howard,howard.rebecca@aol.com,New eight for the juniors,$100.00,Succeeded,,Yes
DN-58180,07/23/2026,Anna,Kelly,kelly.anna@gmail.com,New eight for the juniors,$100.00,Succeeded,,
DN-58183,07/23/2026,Jacob,Kim,kim.jacob@yahoo.com,New eight for the juniors,$35.00,Succeeded,,
DN-58186,07/23/2026,Yuki,Morris,yuki_morris@me.com,New eight for the juniors,$150.00,Succeeded,,
DN-58189,07/23/2026,Michelle,Smith,michelle.smith@protonmail.com,General fund,"$3,300.00",Succeeded,,
DN-58192,07/24/2026,Margaret,King,king.margaret@protonmail.com,New eight for the juniors,$75.00,Succeeded,,
DN-58195,07/25/2026,Deborah,Castillo,dcastillo@hotmail.com,New eight for the juniors,$50.00,Succeeded,,
DN-58198,07/25/2026,Melissa,Cox,melissacox36@yahoo.com,New eight for the juniors,$100.00,Refunded,,
DN-58201,07/25/2026,Nicholas,Wright,nwright@protonmail.com,New eight for the juniors,$180.00,Succeeded,,Yes
DN-58204,07/26/2026,Melissa,Allen,melissaallen28@icloud.com,Spring regatta entry fees,$50.00,Succeeded,,
DN-58207,07/26/2026,Aisha,Mensah,aishamensah16@yahoo.com,New eight for the juniors,$36.00,Succeeded,,
DN-58210,07/26/2026,Priya,Robinson,priya_robinson@outlook.com,New eight for the juniors,"$2,000.00",Succeeded,,Yes
DN-58213,07/26/2026,Amanda,Ruiz,aruiz@aol.com,New eight for the juniors,$100.00,Succeeded,,
DN-58216,07/28/2026,Aisha,Ramirez,aisha_ramirez@yahoo.com,New eight for the juniors,$118.00,Succeeded,,
DN-58219,07/29/2026,David,Evans,davidevans69@yahoo.com,Spring regatta entry fees,$50.00,Succeeded,,
DN-58222,07/29/2026,Barbara,Hall,bhall@icloud.com,New eight for the juniors,$250.00,Succeeded,,
DN-58225,07/29/2026,Priya,Stewart,pstewart@gmail.com,New eight for the juniors,$36.00,Succeeded,,
DN-58228,07/30/2026,Deborah,Castillo,dcastillo@hotmail.com,New eight for the juniors,$60.00,Succeeded,,
DN-58231,07/30/2026,Sarah,Davis,sarah_davis@protonmail.com,New eight for the juniors,$26.25,Succeeded,,
DN-58234,07/30/2026,Amara,Garcia,amara_garcia@yahoo.com,General fund,$120.00,Succeeded,,
DN-58237,08/03/2026,Jennifer,Carter,jennifer.carter@aol.com,New eight for the juniors,$118.00,Succeeded,,
DN-58240,08/04/2026,Lisa,Hernandez,lisahernandez8@outlook.com,New eight for the juniors,$26.25,Succeeded,,
DN-58243,08/06/2026,Hiroshi,Evans,hiroshi_evans@gmail.com,New eight for the juniors,$72.50,Succeeded,,
DN-58246,08/07/2026,Ingrid,Johnson,ingridjohnson60@protonmail.com,Spring regatta entry fees,$180.00,Succeeded,,
DN-58249,08/08/2026,Sarah,Carter,scarter@icloud.com,Spring regatta entry fees,$180.00,Succeeded,,
DN-58252,08/08/2026,Yuki,Morris,yuki_morris@me.com,New eight for the juniors,$250.00,Succeeded,,
DN-58255,08/08/2026,Kevin,Peterson,kevin.peterson@me.com,New eight for the juniors,$500.00,Succeeded,,
DN-58258,08/09/2026,Amara,Watson,amarawatson28@gmail.com,New eight for the juniors,$250.00,Succeeded,,
DN-58261,08/10/2026,Margaret,King,king.margaret@protonmail.com,New eight for the juniors,$250.00,Succeeded,,
DN-58264,08/12/2026,Nicholas,Wright,nwright@protonmail.com,New eight for the juniors,$75.00,Succeeded,,
DN-58267,08/13/2026,Edward,Nguyen,edwardnguyen75@yahoo.com,General fund,$50.00,Succeeded,,
DN-58270,08/15/2026,Luis,Green,lgreen@gmail.com,Spring regatta entry fees,$120.00,Succeeded,,
DN-58273,08/15/2026,Anna,Kelly,kelly.anna@gmail.com,New eight for the juniors,$500.00,Succeeded,,
DN-58276,08/16/2026,Amara,Watson,amarawatson28@gmail.com,New eight for the juniors,$150.00,Succeeded,,
DN-58279,08/17/2026,Deborah,Kelly,deborah.kelly@outlook.com,General fund,$50.00,Succeeded,,
DN-58282,08/18/2026,Thomas,Flores,tflores@me.com,Spring regatta entry fees,$40.00,Succeeded,,
DN-58285,08/19/2026,Timothy,Collins,collins.timothy@protonmail.com,Spring regatta entry fees,$50.00,Succeeded,,
DN-58288,08/21/2026,Joshua,Peterson,jpeterson@outlook.com,New eight for the juniors,$250.00,Succeeded,,
DN-58291,08/22/2026,David,Morris,davidmorris98@protonmail.com,New eight for the juniors,$36.00,Succeeded,,
DN-58294,08/23/2026,Dorothy,Cox,cox.dorothy@icloud.com,New eight for the juniors,$75.00,Succeeded,,
DN-58297,08/23/2026,Kevin,Mendoza,kevinmendoza97@yahoo.com,New eight for the juniors,$50.00,Succeeded,,
DN-58300,08/24/2026,Timothy,Ward,timothy_ward@hotmail.com,New eight for the juniors,$200.00,Succeeded,,
DN-58303,08/25/2026,Luis,Adams,luisadams38@yahoo.com,New eight for the juniors,$118.00,Succeeded,,
DN-58306,08/27/2026,Hiroshi,Evans,hiroshi_evans@gmail.com,New eight for the juniors,$150.00,Succeeded,,
DN-58309,08/27/2026,Donald,Ramos,donald.ramos@icloud.com,New eight for the juniors,$250.00,Succeeded,,
DN-58312,08/28/2026,Hiroshi,Robinson,hiroshi.robinson@me.com,Spring regatta entry fees,$120.00,Succeeded,,
DN-58315,08/29/2026,Joshua,Peterson,jpeterson@outlook.com,New eight for the juniors,$54.00,Succeeded,,
DN-58318,09/02/2026,Omar,Okafor,okafor.omar@protonmail.com,New eight for the juniors,$50.00,Succeeded,,
DN-58321,09/02/2026,Karen,Williams,kwilliams@protonmail.com,Spring regatta entry fees,$50.00,Succeeded,,
DN-58324,09/04/2026,Dorothy,Mendoza,dorothy_mendoza@me.com,New eight for the juniors,$100.00,Succeeded,,
