Low Meadow Land Trust - Gift Detail Report
Gift dates 06/01/2026 to 09/10/2026; all funds; all statuses

Gift ID,Donor ID,Donor Name,Gift Date,Amount,Fund Code,Gift Type,Status,Notes
G-46535,D16635,Kevin Johnson,06/03/2026,$280.00,GEN,Check,Posted,
G-40549,D75746,Rebecca Allen,06/03/2026,"$2,487.00",HATCH,Credit Card,Posted,
G-47422,D73807,Donna Miller,06/03/2026,"$12,000.00",HATCH,Pledge,Posted,3 annual installments
G-45386,D33429,Marcus Peterson,06/04/2026,"$25,000.00",HATCH,Stock,Posted,Major gift
G-41629,D92981,Paul Stewart,06/04/2026,"$1,046.00",HATCH,Online,Posted,
G-45767,D46108,Paul Rodriguez,06/04/2026,"$1,443.78",HATCH,Credit Card,Posted,
G-43015,D66725,Amanda Williams,06/04/2026,"$20,000.00",HATCH,Stock,Posted,Major gift
G-44315,D79767,Donald Lewis,06/10/2026,$630.00,GEN,Online,Posted,
G-40659,D56598,Joshua Parker,06/10/2026,"$10,000.00",HATCH,Pledge,Posted,3 annual installments
G-47552,D31161,Kenneth Miller,06/13/2026,"$1,009.74",HATCH,Credit Card,Posted,
G-40296,D75746,Rebecca Allen,06/15/2026,$323.87,GEN,Online,Posted,
G-48261,D00417,Whitcomb Family Foundation,06/18/2026,"$100,000.00",HATCH,Check,Posted,Lead gift
G-43081,D24439,Dmitri Scott,06/18/2026,$193.00,HATCH,Credit Card,Posted,
G-43793,D65401,Carlos Gutierrez,06/19/2026,$352.00,GEN,Check,Posted,
G-49609,D24439,Dmitri Scott,06/20/2026,$251.00,GEN,Check,Posted,
G-44961,D81059,Kathleen Martinez,06/20/2026,$807.00,HATCH,Credit Card,Posted,
G-48080,D93725,Jessica Castillo,06/21/2026,"$1,360.24",HATCH,Credit Card,Posted,
G-40771,D50872,Rebecca Lopez,06/21/2026,"$1,392.00",HATCH,Online,Posted,
G-49417,D10676,Melissa Howard,06/22/2026,$805.00,HATCH,Credit Card,Posted,
G-43282,D38656,Elizabeth Collins,06/22/2026,"$1,430.00",GEN,Online,Posted,
G-44769,D19834,Michelle King,06/23/2026,$138.20,HATCH,Credit Card,Posted,
G-47388,D88402,Matthew Campbell,06/23/2026,"$10,000.00",HATCH,Pledge,Posted,3 annual installments
G-43256,D35990,Michael Myers,06/26/2026,$698.00,HATCH,Check,Posted,
G-43768,D96319,Thomas Allen,06/27/2026,$938.77,HATCH,Check,Posted,
G-47139,D51712,Sandra Morris,06/29/2026,$715.00,GEN,Check,Posted,
G-46151,D42580,Wei Ramirez,06/30/2026,"$2,175.66",HATCH,Online,Posted,
G-41614,D85836,Michael Nelson,06/30/2026,"$10,000.00",HATCH,Stock,Posted,Major gift
G-47327,D98645,Steven Martin,07/01/2026,"$1,057.00",GEN,Check,Posted,
G-45706,D16583,Joseph Ramirez,07/01/2026,"$2,029.37",HATCH,Credit Card,Posted,
G-43918,D16635,Kevin Johnson,07/02/2026,$977.00,HATCH,Credit Card,Posted,
G-45926,D35990,Michael Myers,07/04/2026,$100.42,GEN,Check,Posted,
G-40114,D76331,Nadia Evans,07/04/2026,"$1,281.00",HATCH,Credit Card,Posted,
G-43492,D51712,Sandra Morris,07/05/2026,"$6,000.00",HATCH,Pledge,Posted,2 installments
G-45174,D17616,Shirley Campbell,07/07/2026,$804.00,HATCH,Check,Posted,
G-43477,D87351,Gary Myers,07/08/2026,$911.18,HATCH,Online,Posted,
G-42433,D72552,Dorothy Miller,07/09/2026,"$1,921.00",HATCH,Credit Card,Posted,
G-43725,D75746,Rebecca Allen,07/09/2026,"$1,000.00",HATCH,Check,Returned,NSF - returned by bank 7/16
G-42762,D63696,David Flores,07/09/2026,"$1,048.00",HATCH,Check,Posted,
G-46243,D80774,Anthony Nelson,07/10/2026,"$1,197.00",GEN,Credit Card,Posted,
G-42522,D16583,Joseph Ramirez,07/11/2026,$206.00,GEN,Online,Posted,
G-40509,D78845,Sofia Reed,07/12/2026,"$1,318.00",HATCH,Credit Card,Posted,
G-48072,D71231,Brian Williams,07/14/2026,"$2,328.00",HATCH,Check,Posted,
G-45871,D81059,Kathleen Martinez,07/14/2026,"$1,007.00",GEN,Credit Card,Posted,
G-44641,D82244,Stephanie Moore,07/15/2026,"$2,100.79",HATCH,Online,Posted,
G-47237,D22335,Lisa Nelson,07/18/2026,"$1,966.00",HATCH,Online,Posted,
G-41996,D10676,Melissa Howard,07/19/2026,$936.00,GEN,Credit Card,Posted,
G-43437,D75746,Rebecca Allen,07/21/2026,"$1,000.00",HATCH,Credit Card,Posted,Replaces returned check
