student_id,student,final_pct,letter
4418612,"Anderson, Steven",61.30,D
4413509,"Collins, Thomas",58.25,F
4414034,"Cook, Omar",83.90,B
4413361,"Cox, Jennifer",86.10,B
4416602,"Foster, Jason",69.60,D
4410140,"Hall, Amara",80.80,B-
4410357,"Jackson, Gary",96.55,A
4414263,"Johnson, Ashley",89.55,B+
4410951,"Mitchell, Cynthia",71.00,C-
4411749,"Myers, Sofia",91.36,A-
4411913,"Nelson, Marcus",88.25,B+
4415108,"Ortiz, William",91.90,A-
4414825,"Perez, Chloe",90.50,A-
4413918,"Phillips, Hiroshi",62.35,D
4414943,"Price, George",66.70,D
4411301,"Rodriguez, Susan",75.60,C
4414231,"Ruiz, Jonathan",81.20,B-
4419857,"Stewart, Michelle",94.20,A
4417008,"Turner, Yuki",59.10,F
4418572,"Ward, Mark",89.10,B+
4414816,"Wilson, Jacob",84.85,B
4411439,"Wright, Carol",91.40,A-
