First Name,Last Name,Personal Email,SSN,Start Date,Work Address,Job Title,Department,Employee Type,Rate,Payment Unit
Carol,Alvarez,carol_alvarez@aol.com,,05/24/2019,"6400 Arapahoe Rd Unit 4, Boulder, CO 80303",Delivery Driver,Distribution,Paid by the hour,20.00,Hour
Stephanie,Alvarez,stephanie.alvarez@me.com,,04/24/2016,"6400 Arapahoe Rd Unit 4, Boulder, CO 80303",Delivery Driver,Distribution,Paid by the hour,25.75,Hour
Yuki,Clark,yuki.clark@hotmail.com,,08/22/2018,"6400 Arapahoe Rd Unit 4, Boulder, CO 80303",Canning Line Operator,Production,Paid by the hour,17.25,Hour
Margaret,Cook,margaret.cook@protonmail.com,,04/03/2019,"6400 Arapahoe Rd Unit 4, Boulder, CO 80303",Marketing Manager,Admin,Salary/No overtime,88500.00,Year
Marcus,Cox,marcuscox3@yahoo.com,,10/31/2025,"6400 Arapahoe Rd Unit 4, Boulder, CO 80303",Delivery Driver,Distribution,Paid by the hour,17.00,Hour
Kimberly,Davis,kimberly_davis@icloud.com,,03/08/2020,"6400 Arapahoe Rd Unit 4, Boulder, CO 80303",Cellar Operator,Production,Paid by the hour,24.25,Hour
Charles,Flores,charlesflores22@protonmail.com,,04/17/2017,"1850 Pearl St, Boulder, CO 80302",Line Cook,Kitchen,Paid by the hour,25.00,Hour
Sarah,Foster,foster.sarah@hotmail.com,,09/08/2021,"2231 Clarkson St, Denver, CO 80205",Sales Rep,Sales,Salary/No overtime,57798.00,Year
Rebecca,Garcia,garcia.rebecca@icloud.com,,04/20/2022,"455 Walnut St, Fort Collins, CO 80524",Taproom Manager,Taproom,Salary/No overtime,77000.00,Year
Wei,Gonzalez,wei.gonzalez@gmail.com,,05/28/2016,"1850 Pearl St, Boulder, CO 80302",Server,Taproom,Paid by the hour,19.75,Hour
Jeffrey,Gutierrez,gutierrez.jeffrey@me.com,,11/08/2022,"1850 Pearl St, Boulder, CO 80302",Bartender,Taproom,Paid by the hour,18.75,Hour
David,Harris,davidharris87@outlook.com,,07/07/2020,"1850 Pearl St, Boulder, CO 80302",Bartender,Taproom,Paid by the hour,17.75,Hour
Dorothy,Howard,dorothy.howard@outlook.com,,07/09/2026,"1850 Pearl St, Boulder, CO 80302",Events Coordinator,Taproom,Salary/Eligible for overtime,49803.00,Year
Priya,Johnson,priya_johnson@outlook.com,,10/08/2024,"6400 Arapahoe Rd Unit 4, Boulder, CO 80303",Canning Line Operator,Production,Paid by the hour,21.25,Hour
Steven,Morgan,steven_morgan@aol.com,,11/21/2018,"455 Walnut St, Fort Collins, CO 80524",Bartender,Taproom,Paid by the hour,23.75,Hour
Joshua,Morris,jmorris@gmail.com,,07/04/2021,"6400 Arapahoe Rd Unit 4, Boulder, CO 80303",Bookkeeper,Admin,Salary/No overtime,63986.00,Year
Priya,Morris,priyamorris10@aol.com,,03/09/2018,"1850 Pearl St, Boulder, CO 80302",Barback,Taproom,Paid by the hour,15.75,Hour
Ashley,Myers,myers.ashley@hotmail.com,,11/09/2018,"1850 Pearl St, Boulder, CO 80302",Barback,Taproom,Paid by the hour,21.50,Hour
Richard,Myers,rmyers@gmail.com,,06/22/2026,"1850 Pearl St, Boulder, CO 80302",Line Cook,Kitchen,Paid by the hour,19.75,Hour
Amy,Nelson,amy_nelson@yahoo.com,,06/14/2024,"6400 Arapahoe Rd Unit 4, Boulder, CO 80303",Canning Line Operator,Production,Paid by the hour,24.00,Hour
Deborah,Okafor,okafor.deborah@hotmail.com,,04/21/2022,"6400 Arapahoe Rd Unit 4, Boulder, CO 80303",Head Brewer,Production,Salary/No overtime,68000.00,Year
Dorothy,Parker,dparker@yahoo.com,,07/11/2018,"1850 Pearl St, Boulder, CO 80302",Dishwasher,Kitchen,Paid by the hour,19.50,Hour
Barbara,Patel,bpatel@outlook.com,,02/06/2022,"6400 Arapahoe Rd Unit 4, Boulder, CO 80303",Delivery Driver,Distribution,Paid by the hour,16.00,Hour
Gary,Phillips,garyphillips50@icloud.com,,03/24/2018,"6400 Arapahoe Rd Unit 4, Boulder, CO 80303",Quality Lab Lead,Production,Salary/No overtime,60000.00,Year
Richard,Richardson,richardrichardson85@yahoo.com,,01/13/2023,"1850 Pearl St, Boulder, CO 80302",Line Cook,Kitchen,Paid by the hour,26.75,Hour
Kimberly,Rogers,kimberlyrogers76@me.com,,11/07/2022,"1850 Pearl St, Boulder, CO 80302",Kitchen Manager,Kitchen,Salary/Eligible for overtime,74000.00,Year
Elizabeth,Ruiz,ruiz.elizabeth@yahoo.com,,07/23/2017,"1850 Pearl St, Boulder, CO 80302",Barback,Taproom,Paid by the hour,23.00,Hour
Kevin,Stewart,kstewart@yahoo.com,,03/10/2017,"6400 Arapahoe Rd Unit 4, Boulder, CO 80303",Packaging Tech,Production,Paid by the hour,25.50,Hour
Sarah,Torres,storres@icloud.com,,06/02/2025,"6400 Arapahoe Rd Unit 4, Boulder, CO 80303",Assistant Brewer,Production,Salary/No overtime,74000.00,Year
James,Ward,jamesward85@outlook.com,,11/29/2023,"455 Walnut St, Fort Collins, CO 80524",Dishwasher,Kitchen,Paid by the hour,22.25,Hour
Kenneth,Ward,kenneth.ward@gmail.com,,12/08/2020,"455 Walnut St, Fort Collins, CO 80524",Barback,Taproom,Paid by the hour,23.75,Hour
Chloe,Watson,chloe_watson@hotmail.com,,07/09/2020,"455 Walnut St, Fort Collins, CO 80524",Dishwasher,Kitchen,Paid by the hour,25.75,Hour
