Floor tablet export - near miss reports
01/01/2026 - 06/30/2026
Report ID,Date,Site,What happened,Logged by
NM-5253,01/01/2026,Fab East,Near miss - stacking plate on the rack,Anna Sanchez
NM-5258,01/07/2026,Warehouse 7,Near miss - pulling stock out of the rack,Matthew Turner
NM-5237,01/07/2026,Warehouse,Near miss - grinding a weld seam,Nancy Adams
NM-5219,01/11/2026,Plant 2,Near miss - loading the press brake,Kwame Gomez
NM-5256,01/13/2026,PLANT 2,Near miss - moving a pallet with the walkie,Ashley Gray
NM-5246,01/17/2026,East Fab Shop,Near miss - clearing offcut from the saw,Amanda Cook
NM-5225,01/20/2026,Plant 2,Near miss - changing the plasma consumables,Edward Diaz
NM-5240,01/22/2026,WAREHOUSE,Near miss - pulling stock out of the rack,Amanda Martinez
NM-5235,01/22/2026,Plant One,Near miss - loading the press brake,Ronald Price
NM-5232,01/24/2026,Fab East,Near miss - pulling stock out of the rack,Laura Richardson
NM-5222,01/25/2026,Plant Two,Near miss - pulling stock out of the rack,Ingrid Martin
NM-5215,01/27/2026,Warehouse,Near miss - grinding a weld seam,Nadia Morris
NM-5200,01/29/2026,Warehouse 7,Near miss - loading the press brake,Eric Morgan
NM-5212,01/30/2026,EAST FAB,Near miss - stacking plate on the rack,Dana Allen
NM-5202,01/30/2026,Plant 1,Near miss - changing the plasma consumables,Aisha Mensah
NM-5257,02/03/2026,Plant #1,Near miss - stacking plate on the rack,Richard Wright
NM-5214,02/04/2026,Fab East,Near miss - loading the press brake,Ashley Smith
NM-5247,02/04/2026,WAREHOUSE,Near miss - clearing offcut from the saw,Kathleen Collins
NM-5260,02/07/2026,WAREHOUSE,Near miss - clearing offcut from the saw,Dorothy Scott
NM-5262,02/08/2026,PLANT 2,Near miss - grinding a weld seam,Edward Alvarez
NM-5229,02/09/2026,WAREHOUSE,Near miss - clearing offcut from the saw,Angela Peterson
NM-5245,02/11/2026,WAREHOUSE,Near miss - grinding a weld seam,Aisha Sanchez
NM-5211,02/13/2026,Plant Two,Near miss - stacking plate on the rack,Rahul Ruiz
NM-5242,02/14/2026,WAREHOUSE,Near miss - grinding a weld seam,Kwame Murphy
NM-5213,02/16/2026,WAREHOUSE,Near miss - changing the plasma consumables,Marcus Parker
NM-5244,02/19/2026,Plant One,Near miss - stacking plate on the rack,William Gonzalez
NM-5234,02/20/2026,Warehouse,Near miss - stacking plate on the rack,Daniel Mendoza
NM-5201,02/25/2026,plant 1,Near miss - loading the press brake,Betty Long
NM-5206,02/28/2026,WAREHOUSE,Near miss - clearing offcut from the saw,Joseph Morales
NM-5228,03/02/2026,Warehouse,Near miss - decanting solvent in the paint room,Rahul Patel
NM-5265,03/02/2026,Plant Two,Near miss - clearing offcut from the saw,Deborah Okafor
NM-5248,03/10/2026,Warehouse,Near miss - clearing offcut from the saw,Jeffrey Brown
NM-5264,03/11/2026,Warehouse 7,Near miss - changing the plasma consumables,Karen Ortiz
NM-5224,03/11/2026,Plant One,Near miss - loading the press brake,Cynthia Myers
NM-5250,03/12/2026,Plant One,Near miss - stacking plate on the rack,Christopher Lindqvist
NM-5267,03/13/2026,Plant #1,Near miss - decanting solvent in the paint room,Luis Allen
NM-5230,03/19/2026,Plant #2,Near miss - clearing offcut from the saw,Sharon Roberts
NM-5263,03/22/2026,Plant 1,Near miss - pulling stock out of the rack,Nicholas Bennett
NM-5252,03/22/2026,PLANT 2,Near miss - loading the press brake,Hiroshi Cox
NM-5221,03/23/2026,WAREHOUSE,Near miss - stacking plate on the rack,Margaret Kim
NM-5233,04/01/2026,plant 1,Near miss - clearing offcut from the saw,Jonathan Campbell
NM-5223,04/03/2026,East Fab Shop,Near miss - moving a pallet with the walkie,Shirley Gutierrez
