Student Name,09/15/2026,09/17/2026,09/22/2026,09/24/2026,09/29/2026,10/01/2026,10/06/2026,10/08/2026,10/13/2026,10/15/2026,10/20/2026,10/22/2026,10/27/2026,10/29/2026
"Cook, Margaret",E,P,P,P,P,P,P,P,,T,P,P,U,P
"Cox, Marcus",T,T,P,,P,E,P,,,P,,U,,P
"Flores, Charles",,P,P,P,P,P,P,P,,P,T,P,P,P
"Foster, Sarah",T,U,U,,P,P,P,P,,T,P,P,T,P
"Haddad, Stephanie",P,T,P,P,P,T,P,U,,P,U,P,T,T
"Howard, Dorothy",P,E,P,P,P,,T,P,,T,P,P,P,P
"King, Jennifer",,P,P,P,P,P,P,T,,P,P,,P,P
"Morales, Angela",P,E,P,P,P,P,P,E,,P,P,P,P,T
"Morgan, Steven",P,E,U,P,E,P,,P,,P,P,P,E,P
"Morris, Joshua",P,P,T,P,U,U,P,P,,P,P,E,P,E
"Myers, Richard",,,,,,,,,,,,,,
"Okafor, Thanh",,,,,,P,E,T,,E,P,P,E,P
"Richardson, Richard",,P,P,,,E,P,P,,,P,P,P,T
"Roberts, Alejandro",P,P,P,P,,T,E,P,,P,P,E,P,P
"Ruiz, Elizabeth",U,P,T,P,T,E,P,P,,P,P,,P,P
"Stewart, Kevin",,E,P,P,P,E,P,P,,P,U,P,P,P
"Torres, Sarah",P,T,P,P,P,P,U,U,,P,P,T,E,P
"Turner, Katherine",P,E,P,,P,P,P,P,,P,P,P,T,E
