Email Address,First Name,Last Name,Phone Number,Birthday,Tags
ahughes@yahoo.com,Amy,Hughes,,,Farmers Market
angela.lee@me.com,Angela,Lee,(415) 555-9819,11/04,Workshop
angelareyes8@icloud.com,Angela,Reyes,,,Website
anthony_gray@outlook.com,Anthony,Gray,,,Farmers Market
awright@outlook.com,Ashley,Wright,,,Farmers Market
bennett.deborah@me.com,Deborah,Bennett,,,"Farmers Market,Website"
brian_mensah@icloud.com,Brian,Mensah,,09/18,Website
broberts@outlook.com,Brian,Roberts,,,Farmers Market
castillo.omar@outlook.com,Omar,Castillo,,,Farmers Market
christopher.patel@gmail.com,Christopher,Patel,(971) 555-5163,03/21,"Farmers Market,Workshop"
cmartin@gmail.com,Cynthia,Martin,,,Farmers Market
cox.dana@aol.com,Dana,Cox,,,Farmers Market
cox.ronald@icloud.com,Ronald,Cox,,08/04,"Website,Workshop"
cruz.matthew@aol.com,Matthew,Cruz,(512) 555-3146,,"Farmers Market,Website,Workshop"
dana.hughes@hotmail.com,Dana,Hughes,(415) 555-4314,,Workshop
dana_myers@outlook.com,Dana,Myers,,12/08,Website
daniel_lindqvist@icloud.com,Daniel,Lindqvist,,08/09,Website
dbrown@aol.com,Donald,Brown,,,Farmers Market
donald_green@me.com,Donald,Green,,04/02,Workshop
donaldwhite12@icloud.com,Donald,White,,,Farmers Market
dosei@yahoo.com,Dorothy,Osei,,10/27,Workshop
dwilliams@protonmail.com,Deborah,Williams,,,Farmers Market
ehaddad@yahoo.com,Edward,Haddad,,,Farmers Market
fatimaphillips92@gmail.com,Fatima,Phillips,,,Farmers Market
georgeedwards84@outlook.com,George,Edwards,,08/25,Website
gutierrez.anthony@yahoo.com,Anthony,Gutierrez,,,Farmers Market
howard.yuki@icloud.com,Yuki,Howard,,,Website
ingrid.smith@aol.com,Ingrid,Smith,,09/08,Website
james.brooks@outlook.com,James,Brooks,,,Farmers Market
jcruz@gmail.com,Jennifer,Cruz,,,Website
jennifer_peterson@gmail.com,Jennifer,Peterson,,,Farmers Market
jessica_tanaka@aol.com,Jessica,Tanaka,,,"Farmers Market,Website"
jlindqvist@gmail.com,Joseph,Lindqvist,,,Farmers Market
john_rodriguez@hotmail.com,John,Rodriguez,,,Farmers Market
jonathangomez84@outlook.com,Jonathan,Gomez,,03/03,Workshop
josephruiz94@gmail.com,Joseph,Ruiz,,12/11,"Farmers Market,Website"
joshua.williams@yahoo.com,Joshua,Williams,,,"Farmers Market,Website"
karenking86@hotmail.com,Karen,King,,,Farmers Market
kathleen.gutierrez@gmail.com,Kathleen,Gutierrez,(720) 555-2154,07/26,"Farmers Market,Workshop"
kenneth.ramirez@gmail.com,Kenneth,Ramirez,(802) 555-8052,02/20,"Farmers Market,Workshop"
kevin.roberts@aol.com,Kevin,Roberts,,11/24,Website
kturner@protonmail.com,Karen,Turner,,,Farmers Market
kwame_nguyen@hotmail.com,Kwame,Nguyen,,,Farmers Market
lee.elizabeth@yahoo.com,Elizabeth,Lee,,05/12,"Farmers Market,Website,Workshop"
lramirez@hotmail.com,Leila,Ramirez,,,Farmers Market
margaret_turner@outlook.com,Margaret,Turner,(415) 555-4491,03/22,Workshop
mark.cook@me.com,Mark,Cook,,10/19,Website
martin.tomasz@me.com,Tomasz,Martin,,05/22,"Farmers Market,Workshop"
mary_allen@me.com,Mary,Allen,,,Farmers Market
mateo.rivera@yahoo.com,Mateo,Rivera,,09/27,"Farmers Market,Website"
melissa.wilson@protonmail.com,Melissa,Wilson,,,Website
melissawilliams35@outlook.com,Melissa,Williams,,,Farmers Market
michelle.allen@outlook.com,Michelle,Allen,,,Farmers Market
michelleyoung89@gmail.com,Michelle,Young,(802) 555-9050,10/24,Workshop
morales.jeffrey@me.com,Jeffrey,Morales,,03/01,Workshop
murphy.george@me.com,George,Murphy,,,Farmers Market
nadia.wright@me.com,Nadia,Wright,,05/02,Website
nelson.luis@protonmail.com,Luis,Nelson,,06/21,Website
nguyen.amara@hotmail.com,Amara,Nguyen,(720) 555-9845,,Workshop
patricia.ward@me.com,Patricia,Ward,,,Farmers Market
patriciabaker9@protonmail.com,Patricia,Baker,,01/08,"Farmers Market,Workshop"
paulreed45@outlook.com,Paul,Reed,,11/08,Website
peterson.tomasz@icloud.com,Tomasz,Peterson,,,Farmers Market
phillips.timothy@me.com,Timothy,Phillips,,,Website
rbrooks@outlook.com,Ryan,Brooks,(919) 555-3983,,Workshop
reyes.sarah@yahoo.com,Sarah,Reyes,,,Farmers Market
sandra_martin@yahoo.com,Sandra,Martin,,03/17,"Farmers Market,Website"
sharonrichardson38@gmail.com,Sharon,Richardson,,06/25,"Website,Workshop"
sofia.turner@gmail.com,Sofia,Turner,,,Farmers Market
sofiagray26@gmail.com,Sofia,Gray,,,Farmers Market
stephanieramirez82@hotmail.com,Stephanie,Ramirez,,,Farmers Market
susanbailey25@me.com,Susan,Bailey,,,Farmers Market
tanaka.karen@hotmail.com,Karen,Tanaka,,,Farmers Market
tanaka.patricia@icloud.com,Patricia,Tanaka,,,Farmers Market
thompson.william@icloud.com,William,Thompson,,,Farmers Market
watson.steven@outlook.com,Steven,Watson,,,Website
wdiaz@aol.com,Wei,Diaz,,,Farmers Market
wood.kimberly@me.com,Kimberly,Wood,,,Farmers Market
wood.sharon@gmail.com,Sharon,Wood,(206) 555-8008,11/13,Workshop
