Date,Name,Email,OK to email? (Y/N),Notes
08/01/2026,Sandra Martin,sandra_martin@yahoo.com ,Y,
08/01/2026,Fatima Morris,fatima_morrisoutlook.com,Y,loves the blue glaze
08/01/2026,Omar Phillips,omarphillips16@yahoo.com,N,loves the blue glaze
08/01/2026,Leila Ramirez,lramirez@hotmail.com,Y,loves the blue glaze
08/01/2026,"WARD, Joseph",Joseph.ward@gmail.com,Y,asked about kids class
08/01/2026,Anthony Robinson,arobinson@yahoo.com,N,
08/01/2026,Robert Wright,WRIGHT.ROBERT@OUTLOOK.COM,Y,
08/01/2026,Sofia Gray,sofiagray26@gmail.com,Y,
08/01/2026,Karen King,karenking86@hotmail.com,Y,loves the blue glaze
08/01/2026,"BROOKS, James",james.brooks@outlook.com,Y,
08/01/2026,Melissa Williams,melissawilliams35@outlook.com,Y,
08/01/2026,Matthew Cruz,CRUZ.MATTHEW@AOL.COM,N,
08/08/2026,Anthony Gutierrez,gutierrez.anthony@yahoo.com,Y,asked about kids class
08/08/2026,wei diaz,wdiaz@aol.com,Y,
08/08/2026,Deborah Bennett,BENNETT.DEBORAH@ME.COM,Y,
08/08/2026,Michelle Allen,michelle.allen@outlook.com,Y,asked about kids class
08/08/2026,Shirley Murphy,murphy.shirley@me.com,N,asked about kids class
08/08/2026,george murphy,murphy.george@me.com,Y,
08/08/2026,Cynthia Martin,cmartin@gmail.com,Y,asked about kids class
08/08/2026,Mateo Rivera,Mateo.rivera@yahoo.com,Y,asked about kids class
08/08/2026,Tomasz Peterson,peterson.tomasz@icloud.com,Y,
08/08/2026,Sarah Reyes,reyes.sarah@yahoo.com,Y,
08/08/2026,jennifer peterson,jennifer_peterson@gmail.com,Y,loves the blue glaze
08/08/2026,Patricia Tanaka,tanaka.patricia@icloud.com,Y,
08/08/2026,Susan Bailey,susanbailey25@me.com,Y,loves the blue glaze
08/15/2026,Brian Roberts,broberts@outlook.com,Y,
08/15/2026,Omar Castillo,castillo.omar@outlook.com,Y,
08/15/2026,Kathleen Young,kyoung@protonmail,Y,
08/15/2026,Kenneth Ramirez,Kenneth.ramirez@gmail.com,Y,
08/15/2026,Sandra Torres,sandratorres73 at aol.com,Y,
08/15/2026,Joshua,JOSHUA.WILLIAMS@YAHOO.COM,Y,
08/15/2026,William Thompson,thompson.william@icloud.com,Y,
08/15/2026,Joseph Lindqvist,jlindqvist@gmail.com,Y,
08/15/2026,"RODRIGUEZ, John",john_rodriguez@hotmail.com,Y,
08/15/2026,Karen Turner,kturner@protonmail.com,Y,
08/15/2026,Ashley Wright,awright@outlook.com,Y,asked about kids class
08/15/2026,fatima phillips,fatimaphillips92@gmail.com,Y,
08/15/2026,Dana Cox,cox.dana@aol.com,Y,asked about kids class
08/15/2026,Jessica,Jessica_tanaka@aol.com,N,
08/15/2026,"HALL, Mark",hall.mark@hotmail.com ,Y,
08/15/2026,Kevin Flores,KEVIN.FLORES@AOL.COM,Y,
08/15/2026,Tomasz Martin,Martin.tomasz@me.com,Y,
08/22/2026,Donald Cook,"dcook@icloud,com",Y,
08/22/2026,Kimberly Wood,wood.kimberly@me.com,Y,
08/22/2026,Deborah Williams,dwilliams@protonmail.com,Y,
08/22/2026,Kathleen Gutierrez,KATHLEEN.GUTIERREZ@GMAIL.COM,N,asked about kids class
08/22/2026,amy hughes,ahughes@yahoo.com,Y,
08/22/2026,Joseph Ruiz,JOSEPHRUIZ94@GMAIL.COM,N,asked about kids class
08/22/2026,Elizabeth,LEE.ELIZABETH@YAHOO.COM,Y,
08/22/2026,Donald Brown,dbrown@aol.com,Y,
08/22/2026,Mary Allen,mary_allen@me.com,Y,asked about kids class
08/22/2026,Kwame Nguyen,kwame_nguyen@hotmail.com,Y,
08/29/2026,"HADDAD, Edward",ehaddad@yahoo.com,Y,asked about kids class
08/29/2026,Patricia Ward,patricia.ward@me.com,Y,
08/29/2026,Karen Tanaka,tanaka.karen@hotmail.com,Y,
08/29/2026,Donald White,donaldwhite12@icloud.com,Y,
08/29/2026,Sofia Turner,sofia.turner@gmail.com,Y,loves the blue glaze
08/29/2026,Anthony Gray,anthony_gray@outlook.com,Y,
08/29/2026,Patricia Baker,PATRICIABAKER9@PROTONMAIL.COM,Y,
08/29/2026,Christopher Patel,CHRISTOPHER.PATEL@GMAIL.COM,Y,
08/29/2026,Linda Mensah,lmensah@outlook.com,N,
08/29/2026,Stephanie Ramirez,stephanieramirez82@hotmail.com,Y,loves the blue glaze
08/29/2026,Shirley Collins,shirley.collins@aol.com,N,
08/29/2026,Dorothy Peterson,dorothypeterson32@yahoo.com,N,asked about kids class
