Email Address,First Name,Last Name,UNSUB_TIME,UNSUB_CAMPAIGN_TITLE
hall.mark@hotmail.com,Mark,Hall,2026-03-26 14:22:10,Spring kiln sale
hiroshistewart19@hotmail.com,Hiroshi,Stewart,2026-05-26 09:47:00,Holiday market
christopher.white@outlook.com,Christopher,White,2026-03-14 09:57:00,
andrew.reyes@hotmail.com,Andrew,Reyes,2026-06-02 09:04:00,Holiday market
wright.robert@outlook.com,Robert,Wright,2026-04-04 14:22:10,Spring kiln sale
jessica.rogers@protonmail.com,Jessica,Rogers,2026-03-20 09:28:00,Spring kiln sale
rodriguez.steven@aol.com,Steven,Rodriguez,2026-04-25 09:28:00,Spring kiln sale
kbrown@me.com,Kathleen,Brown,2026-03-26 09:44:00,Holiday market
luis.jackson@icloud.com,Luis,Jackson,2026-04-01 14:22:10,Spring kiln sale
kevin.flores@aol.com,Kevin,Flores,2026-05-25 14:22:10,Spring kiln sale
jennifer.anderson@yahoo.com,Jennifer,Anderson,2026-05-28 09:53:00,Holiday market
joseph.ward@gmail.com,Joseph,Ward,2026-03-13 14:22:10,Spring kiln sale
yukicook69@icloud.com,Yuki,Cook,2026-06-14 09:10:00,Spring kiln sale
mlopez@me.com,Marcus,Lopez,2026-03-17 09:28:00,Spring kiln sale
jparker@yahoo.com,Joseph,Parker,2026-02-06 09:26:00,Holiday market
lcooper@aol.com,Leila,Cooper,2026-08-25 09:33:00,Spring kiln sale
amanda_mendoza@gmail.com,Amanda,Mendoza,2026-03-07 09:09:00,Holiday market
thomas_patel@aol.com,Thomas,Patel,2026-07-21 09:26:00,Spring kiln sale
fatima.cook@aol.com,Fatima,Cook,2026-04-14 09:01:00,
anthonyrichardson1@icloud.com,Anthony,Richardson,2026-05-04 09:58:00,
thomaswalker57@protonmail.com,Thomas,Walker,2026-02-19 09:01:00,Holiday market
morales.cynthia@aol.com,Cynthia,Morales,2026-03-14 09:59:00,Spring kiln sale
