Hollis Creek Heritage Museum - Membership Export
Members with a payment on or after 07/01/2025 | run 09/15/2026 07:02
Member #,First Name,Last Name,Email,Level,Term,Last Payment,Amount,Payment Method,Expiration,Status,Member Since,Notes
HC-4562,Angela,Adams,aadams@icloud.com,Dual,Annual,01/07/2026,0.00,Comp,01/07/2027,Active,10/15/2015,Volunteer
HC-4457,Daniel,Adams,danieladams52@outlook.com,Student,Annual,09/27/2025,25.00,Check,09/27/2026,Active,03/16/2012,
HC-4188,George,Allen,georgeallen82@yahoo.com,Dual,Annual,07/27/2026,80.00,Check,07/27/2027,Active,09/27/2013,
HC-4516,Linda,Allen,lindaallen91@hotmail.com,Individual,Annual,08/18/2026,55.00,Cash,08/18/2027,Active,09/18/2012,
HC-4555,Angela,Alvarez,angela.alvarez@gmail.com,Student,Annual,10/09/2025,25.00,Card,10/09/2026,Active,11/05/2017,
HC-4338,Sofia,Alvarez,sofia.alvarez@outlook.com,Sustainer,Monthly,09/01/2026,0.00,Comp,,Active,07/05/2022,Volunteer
HC-4550,William,Anderson,williamanderson29@gmail.com,Individual,Annual,02/21/2026,55.00,Check,02/21/2027,Active,08/02/2012,
HC-4460,Leila,Bailey,leila.bailey@yahoo.com,Dual,Annual,04/19/2026,80.00,Card,04/19/2027,Active,03/05/2019,
HC-4164,Lisa,Bailey,bailey.lisa@outlook.com,Individual,Annual,06/13/2026,55.00,Card,06/13/2027,Active,12/07/2019,
HC-4143,Rahul,Bailey,rahul_bailey@yahoo.com,Dual,Annual,08/12/2026,80.00,Card,08/12/2027,Active,11/07/2020,
HC-4574,Charles,Baker,cbaker@gmail.com,Individual,Annual,11/14/2025,55.00,Card,11/14/2026,Active,08/24/2018,
HC-4219,Barbara,Bennett,barbarabennett34@gmail.com,Sustainer,Monthly,08/25/2026,10.00,Card,,Active,10/02/2018,
HC-4341,Dorothy,Bennett,bennett.dorothy@gmail.com,Patron,Annual,07/24/2025,250.00,Card,07/24/2026,Expired,03/06/2025,
HC-4425,Edward,Brooks,edwardbrooks76@me.com,Dual,Annual,02/09/2026,80.00,Card,02/09/2027,Active,06/01/2024,
HC-4512,Sharon,Brooks,sharon_brooks@gmail.com,Family,Annual,10/07/2025,0.00,Comp,10/07/2026,Active,10/13/2024,Board of trustees
HC-4254,David,Brown,brown.david@gmail.com,Individual,Annual,09/11/2025,55.00,Card,09/11/2026,Expired,03/21/2021,
HC-4455,John,Brown,brown.john@me.com,Dual,Annual,10/27/2025,80.00,Card,10/27/2026,Active,03/27/2022,
HC-4568,John,Brown,BROWN.JOHN@ME.COM,Patron,Annual,05/04/2026,250.00,Card,05/04/2027,Active,03/27/2022,Upgraded from Dual
HC-4382,Margaret,Brown,mbrown@icloud.com,Individual,Annual,10/20/2025,55.00,Card,10/20/2026,Active,03/17/2018,
HC-4156,Rahul,Brown,rahulbrown13@aol.com,Dual,Annual,10/27/2025,80.00,Card,10/27/2026,Active,08/19/2020,
HC-4159,Sandra,Brown,brown.sandra@me.com,Sustainer,Monthly,09/14/2026,10.00,Card,,Active,02/20/2012,
HC-4434,Susan,Brown,brown.susan@me.com,Student,Annual,12/14/2025,25.00,Check,12/14/2026,Active,10/08/2018,
HC-4471,Angela,Campbell,campbell.angela@aol.com,Student,Annual,08/26/2026,25.00,Card,08/26/2027,Active,12/07/2012,
HC-4527,George,Campbell,georgecampbell49@icloud.com,Sustainer,Monthly,08/28/2026,10.00,Card,,Active,04/02/2015,
HC-4409,Kathleen,Campbell,kathleencampbell45@yahoo.com,Individual,Annual,04/27/2026,55.00,Card,04/27/2027,Active,11/22/2018,
HC-4113,William,Campbell,campbell.william@yahoo.com,Individual,Annual,08/15/2025,55.00,Card,08/15/2026,Expired,06/06/2013,
HC-4597,Kenneth,Carter,kcarter@yahoo.com,Sustainer,Monthly,09/08/2026,10.00,Card,,Active,09/25/2018,
HC-4525,Mateo,Carter,carter.mateo@icloud.com,Sustainer,Monthly,09/13/2026,10.00,Check,,Active,05/18/2020,
HC-4560,Jason,Castillo,jason_castillo@protonmail.com,Family,Annual,12/19/2025,100.00,Card,12/19/2026,Active,11/07/2015,
HC-4592,Sandra,Castillo,scastillo@yahoo.com,Family,Annual,11/30/2025,100.00,Card,11/30/2026,Active,02/05/2012,
HC-4520,Stephanie,Castillo,stephaniecastillo97@yahoo.com,Patron,Annual,06/26/2026,250.00,Cash,06/26/2027,Active,05/13/2017,
HC-4565,Cynthia,Collins,ccollins@icloud.com,Student,Annual,08/17/2025,25.00,Check,08/17/2026,Expired,09/02/2024,
HC-4264,Richard,Collins,rcollins@outlook.com,Family,Annual,08/16/2026,100.00,Card,08/16/2027,Active,04/01/2025,
HC-4449,Amy,Cook,amy_cook@yahoo.com,Family,Annual,09/16/2025,100.00,Card,09/16/2026,Active,04/11/2014,
HC-4161,Marcus,Cook,marcuscook49@protonmail.com,Sustainer,Monthly,09/04/2026,10.00,Card,,Active,09/17/2023,
HC-4107,Margaret,Cox,mcox@protonmail.com,Sustainer,Monthly,08/04/2026,10.00,Card,,Active,06/17/2013,
HC-4390,Steven,Cox,stevencox88@me.com,Sustainer,Monthly,08/05/2026,10.00,Card,,Active,09/10/2014,
HC-4505,Anna,Cruz,acruz@icloud.com,Individual,Annual,07/28/2025,55.00,Card,07/28/2026,Expired,11/13/2018,
HC-4361,Anna,Cruz,acruz@icloud.com,Family,Annual,03/25/2026,100.00,Card,03/25/2027,Active,11/13/2018,Upgraded from Individual
HC-4406,Anthony,Davis,davis.anthony@hotmail.com,Family,Annual,08/08/2026,100.00,Cash,08/08/2027,Active,04/07/2025,
HC-4332,John,Davis,davis.john@protonmail.com,Family,Annual,11/11/2025,100.00,Card,11/11/2026,Active,07/04/2025,
HC-4299,Laura,Davis,ldavis@protonmail.com,Dual,Annual,03/03/2026,80.00,Card,03/03/2027,Active,02/11/2015,
