MileTrack - Trips export
Account: Brightside Home Health | Range: 07/27/2026 - 09/04/2026
Trip date,Start time,Driver,From,To,Purpose,Miles,Round trip
07/27/2026,7:41 AM,Deborah Okafor,Home,Pt 9969,Patient visit,19.1,
07/27/2026,9:15 AM,Deborah Okafor,Pt 9969,Pt 9086,Patient visit,10.3,
07/27/2026,10:37 AM,Deborah Okafor,Pt 9086,Pt 2471,Patient visit,6.6,
07/27/2026,11:28 AM,Deborah Okafor,Pt 2471,Pt 6194,Patient visit,8.0,
07/27/2026,12:25 PM,Deborah Okafor,Pt 6194,Home,Drive home,3.4,
07/27/2026,1:15 PM,Deborah Okafor,Home,Kroger,Personal,6.2,
07/27/2026,2:16 PM,Deborah Okafor,Kroger,Home,Personal,6.2,
07/27/2026,8:03 AM,Gary Phillips,Home,Pt 6194,Patient visit,15.1,
07/27/2026,9:16 AM,Gary Phillips,Pt 6194,Pt 2131,Patient visit,4.9,
07/27/2026,10:26 AM,Gary Phillips,Pt 2131,Pt 5267,Patient visit,14.8,
07/27/2026,11:46 AM,Gary Phillips,Pt 5267,Pt 4329,Patient visit,13.2,
07/27/2026,1:11 PM,Gary Phillips,Pt 4329,Pt 9086,Patient visit,13.8,
07/27/2026,2:18 PM,Gary Phillips,Pt 9086,Home,Drive home,7.5,
07/27/2026,7:34 AM,Joshua Morris,Home,Pt 3334,Patient visit,20.1,
07/27/2026,8:56 AM,Joshua Morris,Pt 3334,Pt 8253,Patient visit,5.8,
07/27/2026,9:53 AM,Joshua Morris,Pt 8253,Pt 5938,Patient visit,12.5,
07/27/2026,11:23 AM,Joshua Morris,Pt 5938,Pt 1633,Patient visit,5.0,
07/27/2026,12:26 PM,Joshua Morris,Pt 1633,Home,Drive home,20.5,
07/27/2026,7:34 AM,Kimberly Rogers,Home,Pt 4966,Patient visit,6.4,
07/27/2026,8:55 AM,Kimberly Rogers,Pt 4966,Medline supply depot,Supply pickup,4.9,Yes
07/27/2026,10:28 AM,Kimberly Rogers,Pt 4966,Pt 2494,Patient visit,2.8,
07/27/2026,11:10 AM,Kimberly Rogers,Pt 2494,Pt 9594,Patient visit,3.8,
07/27/2026,12:12 PM,KIMBERLY ROGERS,Pt 9594,Pt 5756,Patient visit,10.6,
07/27/2026,1:09 PM,Kimberly Rogers,Pt 5756,Office,Charting / drop paperwork,7.1,
07/27/2026,2:18 PM,Kimberly Rogers,Office,Home,Drive home,13.5,
07/27/2026,7:35 AM,Rebecca Garcia,Home,Pt 2318,Patient visit,8.0,
07/27/2026,8:59 AM,Rebecca Garcia,Pt 2318,Pt 7410,Patient visit,3.9,
07/27/2026,9:56 AM,Rebecca Garcia,Pt 7410,Pt 6180,Patient visit,2.7,
07/27/2026,10:46 AM,Rebecca Garcia,Pt 6180,Pt 2020,Patient visit,3.6,
07/27/2026,11:32 AM,Rebecca Garcia,Pt 2020,Pt 9969,Patient visit,8.5,
07/27/2026,12:50 PM,Rebecca Garcia,Pt 9969,Office,Charting / drop paperwork,6.4,
07/27/2026,1:55 PM,Rebecca Garcia,Office,Home,Drive home,18.2,
07/27/2026,8:11 AM,Sarah Foster,Home,Pt 2494,Patient visit,7.5,
07/27/2026,9:36 AM,Sarah Foster,Pt 2494,Pt 1633,Patient visit,13.7,
07/27/2026,10:41 AM,Sarah Foster,Pt 1633,Home,Drive home,5.6,
07/27/2026,7:47 AM,Sarah Torres,Home,Pt 4909,Patient visit,7.0,
07/27/2026,9:10 AM,Sarah Torres,Pt 4909,Pt 2494,Patient visit,3.0,
07/27/2026,9:54 AM,Sarah Torres,Pt 2494,Home,Drive home,14.2,
07/28/2026,8:21 AM,Deborah Okafor,Home,Pt 2031,Patient visit,18.5,
07/28/2026,9:46 AM,Deborah Okafor,Pt 2031,Medline supply depot,Supply pickup,10.2,Yes
07/28/2026,11:14 AM,Deborah Okafor,Pt 2031,Pt 9969,Patient visit,4.8,
07/28/2026,11:59 AM,DEBORAH OKAFOR,Pt 9969,Home,Drive home,13.0,
07/28/2026,1:34 PM,Deborah Okafor,Home,Kroger,Personal,3.0,
07/28/2026,2:42 PM,Deborah Okafor,Kroger,Home,Personal,3.0,
07/28/2026,8:30 AM,Gary Phillips,Home,Pt 5260,Patient visit,13.5,
07/28/2026,9:57 AM,Gary Phillips,Pt 5260,Pt 6180,Patient visit,2.4,
07/28/2026,11:04 AM,Gary Phillips,Pt 6180,Pt 1230,Patient visit,13.2,
07/28/2026,12:19 PM,Gary Phillips,Pt 1230,Home,Drive home,21.5,
07/28/2026,8:12 AM,Joshua Morris,Home,Pt 2031,Patient visit,16.7,
07/28/2026,9:44 AM,Joshua Morris,Pt 2031,Pt 2528,Patient visit,3.7,
07/28/2026,10:56 AM,Joshua Morris,Pt 2528,Pt 4909,Patient visit,2.0,
07/28/2026,11:36 AM,Joshua Morris,Pt 4909,Pt 7306,Patient visit,2.8,
07/28/2026,12:36 PM,JOSHUA MORRIS,Pt 7306,Pt 5769,Patient visit,2.1,
07/28/2026,1:23 PM,Joshua Morris,Pt 5769,Home,Drive home,6.5,
07/28/2026,7:25 AM,Kimberly Rogers,Home,Office,Team meeting,13.5,
07/28/2026,9:00 AM,Kimberly Rogers,Office,Pt 9594,Patient visit,13.5,
07/28/2026,10:04 AM,Kimberly Rogers,Pt 9594,Quest lab - Elm Dr,Supply pickup,8.6,Yes
07/28/2026,11:58 AM,Kimberly Rogers,Pt 9594,Pt 2786,Patient visit,9.6,
07/28/2026,1:16 PM,Kimberly Rogers,Pt 2786,Pt 5260,Patient visit,14.8,
07/28/2026,2:31 PM,KIMBERLY ROGERS,Pt 5260,Pt 9965,Patient visit,3.3,
07/28/2026,3:34 PM,Kimberly Rogers,Pt 9965,Home,Drive home,7.1,
07/28/2026,8:26 AM,Margaret Cook,Home,Office,Team meeting,13.2,
07/28/2026,9:53 AM,Margaret Cook,Office,Pt 4966,Patient visit,4.4,
07/28/2026,10:56 AM,Margaret Cook,Pt 4966,Pt 2131,Patient visit,8.2,
07/28/2026,12:21 PM,Margaret Cook,Pt 2131,Home,Drive home,7.5,
07/28/2026,7:37 AM,Rebecca Garcia,Home,Pt 4350,Patient visit,9.1,
07/28/2026,8:40 AM,Rebecca Garcia,Pt 4350,Pt 2318,Patient visit,9.2,
07/28/2026,9:40 AM,Rebecca Garcia,Pt 2318,Pt 9857,Patient visit,13.1,
07/28/2026,10:48 AM,Rebecca Garcia,Pt 9857,Office,Charting / drop paperwork,7.2,
07/28/2026,12:01 PM,Rebecca Garcia,Office,Home,Drive home,18.2,
07/29/2026,7:53 AM,Deborah Okafor,Home,Pt 4996,Patient visit,11.9,
07/29/2026,9:13 AM,Deborah Okafor,Pt 4996,Pt 9969,Patient visit,12.9,
07/29/2026,10:43 AM,Deborah Okafor,Pt 9969,Medline supply depot,Supply pickup,10.1,Yes
07/29/2026,12:18 PM,Deborah Okafor,Pt 9969,Home,Drive home,7.6,
07/29/2026,1:21 PM,DEBORAH OKAFOR,Home,Kids' school,Personal,4.0,
07/29/2026,2:07 PM,Deborah Okafor,Kids' school,Home,Personal,4.0,
07/29/2026,7:35 AM,Gary Phillips,Home,Pt 5260,Patient visit,15.4,
07/29/2026,8:43 AM,Gary Phillips,Pt 5260,Pt 2031,Patient visit,5.6,
07/29/2026,9:38 AM,Gary Phillips,Pt 2031,Pt 6180,Patient visit,15.1,
07/29/2026,11:04 AM,Gary Phillips,Pt 6180,Pt 2131,Patient visit,4.0,
07/29/2026,11:49 AM,GARY PHILLIPS,Pt 2131,Pt 5756,Patient visit,6.6,
07/29/2026,12:58 PM,Gary Phillips,Pt 5756,Home,Drive home,10.6,
07/29/2026,7:58 AM,Joshua Morris,Home,Pt 9989,Patient visit,3.7,
07/29/2026,9:06 AM,Joshua Morris,Pt 9989,Pt 4059,Patient visit,3.0,
07/29/2026,10:12 AM,Joshua Morris,Pt 4059,Pt 5938,Patient visit,12.0,
07/29/2026,11:45 AM,Joshua Morris,Pt 5938,Office,Charting / drop paperwork,4.1,
07/29/2026,12:31 PM,Joshua Morris,Office,Home,Drive home,8.4,
07/29/2026,7:22 AM,Margaret Cook,Home,Pt 4966,Patient visit,9.4,
07/29/2026,8:46 AM,Margaret Cook,Pt 4966,Pt 4102,Patient visit,9.0,
07/29/2026,10:11 AM,Margaret Cook,Pt 4102,Home,Drive home,12.6,
07/29/2026,7:27 AM,Rebecca Garcia,Home,Pt 4350,Patient visit,12.6,
07/29/2026,8:55 AM,Rebecca Garcia,Pt 4350,Pt 6328,Patient visit,7.3,
07/29/2026,10:03 AM,Rebecca Garcia,Pt 6328,Pt 6180,Patient visit,14.0,
07/29/2026,11:15 AM,Rebecca Garcia,Pt 6180,Home,Drive home,14.8,
07/29/2026,7:20 AM,SARAH TORRES,Home,Office,Team meeting,10.5,
07/29/2026,8:37 AM,Sarah Torres,Office,Pt 2494,Patient visit,6.2,
07/29/2026,9:43 AM,Sarah Torres,Pt 2494,Pt 4329,Patient visit,4.0,
07/29/2026,11:00 AM,Sarah Torres,Pt 4329,Pt 3450,Patient visit,5.6,
07/29/2026,12:00 PM,Sarah Torres,Pt 3450,Home,Drive home,12.5,
07/30/2026,8:25 AM,Deborah Okafor,Home,Pt 6243,Patient visit,20.0,
07/30/2026,9:59 AM,Deborah Okafor,Pt 6243,Pt 3450,Patient visit,6.2,
07/30/2026,11:08 AM,Deborah Okafor,Pt 3450,Pt 9969,Patient visit,2.1,
07/30/2026,12:11 PM,Deborah Okafor,Pt 9969,Pt 2471,Patient visit,13.8,
07/30/2026,1:29 PM,Deborah Okafor,Pt 2471,Office,Charting / drop paperwork,11.2,
07/30/2026,2:35 PM,Deborah Okafor,Office,Home,Drive home,12.4,
07/30/2026,8:26 AM,Gary Phillips,Home,Office,Team meeting,12.2,
07/30/2026,9:59 AM,Gary Phillips,Office,Pt 8290,Patient visit,7.5,
07/30/2026,11:16 AM,Gary Phillips,Pt 8290,Pt 2494,Patient visit,3.0,
07/30/2026,12:06 PM,Gary Phillips,Pt 2494,Pt 6180,Patient visit,10.4,
07/30/2026,1:32 PM,Gary Phillips,Pt 6180,Pt 2131,Patient visit,15.1,
07/30/2026,2:50 PM,Gary Phillips,Pt 2131,Pt 5260,Patient visit,6.6,
07/30/2026,4:06 PM,Gary Phillips,Pt 5260,Home,Drive home,21.5,
07/30/2026,7:47 AM,Joshua Morris,Home,Pt 3334,Patient visit,7.3,
07/30/2026,9:01 AM,Joshua Morris,Pt 3334,Pt 6194,Patient visit,4.0,
07/30/2026,9:44 AM,Joshua Morris,Pt 6194,Pt 7306,Patient visit,13.8,
