Order,Created at,Customer,Fulfillment status,Tags,Lineitem name,Lineitem quantity,Lineitem price,Shipping
GR-4661,2026-09-07 06:01,Dorothy Parker,DELIVERED,,Pothos Marble Queen 4in,2,14.00,0.00
GR-4661,2026-09-07 06:01,Dorothy Parker,DELIVERED,,Hoya carnosa 4in,2,19.00,0.00
GR-4661,2026-09-07 06:01,Dorothy Parker,DELIVERED,,Moisture meter,3,11.00,0.00
GR-4662,2026-09-07 11:04,Chloe Watson,DELIVERED,,Houseplant potting mix 8qt,1,13.00,12.95
GR-4663,2026-09-07 11:54,Deborah Okafor,IN_TRANSIT,,Houseplant potting mix 8qt,1,13.00,8.95
GR-4664,2026-09-07 17:28,Amy Nelson,CANCELLED,,Calathea orbifolia 6in,3,36.00,0.00
GR-4665,2026-09-08 03:35,Richard Richardson,FULFILLED,,Hoya carnosa 4in,1,19.00,12.95
GR-4666,2026-09-08 09:08,Barbara Hernandez,VOIDED,,Houseplant potting mix 8qt,1,13.00,8.95
GR-4666,2026-09-08 09:08,Barbara Hernandez,VOIDED,,ZZ plant 6in,2,29.00,8.95
GR-4667,2026-09-08 09:33,Joshua Morris,DELIVERED,,Pothos Marble Queen 4in,1,14.00,8.95
GR-4667,2026-09-08 09:33,Joshua Morris,DELIVERED,,Hoya carnosa 4in,2,19.00,8.95
GR-4668,2026-09-08 15:56,Kenneth Rogers,IN_TRANSIT,,Moisture meter,2,11.00,12.95
GR-4668,2026-09-08 15:56,Kenneth Rogers,IN_TRANSIT,,Rubber plant Burgundy 8in,1,44.00,12.95
GR-4669,2026-09-08 18:49,Steven Morgan,DELIVERED,,Terracotta pot 6in,1,9.00,12.95
GR-4670,2026-09-09 01:42,Richard Myers,CANCELLED,,String of pearls 4in hanging,1,22.00,0.00
GR-4670,2026-09-09 01:42,Richard Myers,CANCELLED,repeat customer,Monstera deliciosa 6in,3,34.00,0.00
GR-4670,2026-09-09 01:42,Richard Myers,CANCELLED,,Fiddle leaf fig 10in,1,68.00,0.00
GR-4671,2026-09-09 11:49,Hana Okafor,PAID_UNFULFILLED,test,Peace lily 6in,1,26.00,8.95
GR-4672,2026-09-09 13:32,Dorothy Howard,IN_TRANSIT,,String of pearls 4in hanging,1,22.00,8.95
GR-4672,2026-09-09 13:32,Dorothy Howard,IN_TRANSIT,,ZZ plant 6in,1,29.00,8.95
GR-4672,2026-09-09 13:32,Dorothy Howard,IN_TRANSIT,,Moisture meter,2,11.00,8.95
GR-4673,2026-09-09 15:30,Rebecca Garcia,FULFILLED,gift,Pothos Marble Queen 4in,1,14.00,12.95
