Payroll Register - Ellington Bakeries - 01/01/2025 to 12/31/2025

Check Date,Pay Period Start,Pay Period End,Run Type,Employee ID,Employee,Gross Pay,Federal W/H,State W/H,Social Security EE,Medicare EE,Social Security ER,Medicare ER,401(k) EE,Health Ins,Net Pay
01/10/2025,12/22/2024,01/04/2025,Regular,E101,Deborah Okafor,"$3,025.66",$363.08,$166.41,$187.59,$43.87,$187.59,$43.87,$151.28,$0.00,"$2,113.43"
01/10/2025,12/22/2024,01/04/2025,Regular,E102,Rebecca Garcia,"$2,265.27",$317.14,$113.26,$140.45,$32.85,$140.45,$32.85,$113.26,$85.00,"$1,463.31"
01/10/2025,12/22/2024,01/04/2025,Regular,E103,Kimberly Rogers,"$2,190.74",$306.70,$120.49,$135.83,$31.77,$135.83,$31.77,$109.54,$85.00,"$1,401.41"
01/10/2025,12/22/2024,01/04/2025,Regular,E104,Gary Phillips,"$1,795.57",$287.29,$71.82,$111.33,$26.04,$111.33,$26.04,$0.00,$140.00,"$1,159.09"
01/10/2025,12/22/2024,01/04/2025,Regular,E105,Joshua Morris,"$1,410.84",$225.73,$77.60,$87.47,$20.46,$87.47,$20.46,$42.33,$85.00,$872.25
01/10/2025,12/22/2024,01/04/2025,Regular,E106,Dorothy Howard,"$1,825.10",$146.01,$82.13,$113.16,$26.46,$113.16,$26.46,$91.25,$85.00,"$1,281.09"
01/10/2025,12/22/2024,01/04/2025,Regular,E107,Margaret Cook,"$2,595.78",$259.58,$142.77,$160.94,$37.64,$160.94,$37.64,$0.00,$0.00,"$1,994.85"
01/10/2025,12/22/2024,01/04/2025,Regular,E108,Sarah Torres,"$1,250.62",$200.10,$68.78,$77.54,$18.13,$77.54,$18.13,$0.00,$85.00,$801.07
01/10/2025,12/22/2024,01/04/2025,Regular,E109,Sarah Foster,"$3,370.24",$404.43,$134.81,$208.95,$48.87,$208.95,$48.87,$168.51,$85.00,"$2,319.67"
01/10/2025,12/22/2024,01/04/2025,Regular,E110,Richard Richardson,"$2,385.02",$238.50,$119.25,$147.87,$34.58,$147.87,$34.58,$95.40,$0.00,"$1,749.42"
01/10/2025,12/22/2024,01/04/2025,Regular,E111,Steven Morgan,"$2,360.14",$330.42,$118.01,$146.33,$34.22,$146.33,$34.22,$118.01,$85.00,"$1,528.15"
01/10/2025,12/22/2024,01/04/2025,Regular,E112,Marcus Cox,"$1,830.47",$183.05,$82.37,$113.49,$26.54,$113.49,$26.54,$0.00,$0.00,"$1,425.02"
01/10/2025,12/22/2024,01/04/2025,Regular,E113,Charles Flores,"$1,640.42",$196.85,$90.22,$101.71,$23.79,$101.71,$23.79,$0.00,$0.00,"$1,227.85"
01/10/2025,12/22/2024,01/04/2025,Regular,E114,Richard Myers,"$1,520.07",$152.01,$60.80,$94.24,$22.04,$94.24,$22.04,$0.00,$140.00,"$1,050.98"
01/24/2025,01/05/2025,01/18/2025,Regular,E101,Deborah Okafor,"$2,945.18",$353.42,$161.98,$182.60,$42.71,$182.60,$42.71,$147.26,$0.00,"$2,057.21"
01/24/2025,01/05/2025,01/18/2025,Regular,E102,Rebecca Garcia,"$2,265.05",$317.11,$113.25,$140.43,$32.84,$140.43,$32.84,$113.25,$85.00,"$1,463.17"
01/24/2025,01/05/2025,01/18/2025,Regular,E103,Kimberly Rogers,"$2,250.03",$315.00,$123.75,$139.50,$32.63,$139.50,$32.63,$112.50,$85.00,"$1,441.65"
01/24/2025,01/05/2025,01/18/2025,Regular,E104,Gary Phillips,"$1,715.81",$274.53,$68.63,$106.38,$24.88,$106.38,$24.88,$0.00,$140.00,"$1,101.39"
01/24/2025,01/05/2025,01/18/2025,Regular,E105,Joshua Morris,"$1,290.77",$206.52,$70.99,$80.03,$18.72,$80.03,$18.72,$38.72,$85.00,$790.79
01/24/2025,01/05/2025,01/18/2025,Regular,E106,Dorothy Howard,"$1,705.50",$136.44,$76.75,$105.74,$24.73,$105.74,$24.73,$85.28,$85.00,"$1,191.56"
01/24/2025,01/05/2025,01/18/2025,Regular,E107,Margaret Cook,"$2,475.47",$247.55,$136.15,$153.48,$35.89,$153.48,$35.89,$0.00,$0.00,"$1,902.40"
01/24/2025,01/05/2025,01/18/2025,Regular,E108,Sarah Torres,"$1,250.04",$200.01,$68.75,$77.50,$18.13,$77.50,$18.13,$0.00,$85.00,$800.65
01/24/2025,01/05/2025,01/18/2025,Regular,E109,Sarah Foster,"$3,250.24",$390.03,$130.01,$201.51,$47.13,$201.51,$47.13,$162.51,$85.00,"$2,234.05"
01/24/2025,01/05/2025,01/18/2025,Regular,E110,Richard Richardson,"$2,345.91",$234.59,$117.30,$145.45,$34.02,$145.45,$34.02,$93.84,$0.00,"$1,720.71"
01/24/2025,01/05/2025,01/18/2025,Regular,E111,Steven Morgan,"$2,280.61",$319.29,$114.03,$141.40,$33.07,$141.40,$33.07,$114.03,$85.00,"$1,473.79"
01/24/2025,01/05/2025,01/18/2025,Regular,E112,Marcus Cox,"$1,830.93",$183.09,$82.39,$113.52,$26.55,$113.52,$26.55,$0.00,$0.00,"$1,425.38"
01/24/2025,01/05/2025,01/18/2025,Regular,E113,Charles Flores,"$1,640.86",$196.90,$90.25,$101.73,$23.79,$101.73,$23.79,$0.00,$0.00,"$1,228.19"
01/24/2025,01/05/2025,01/18/2025,Regular,E114,Richard Myers,"$1,580.69",$158.07,$63.23,$98.00,$22.92,$98.00,$22.92,$0.00,$140.00,"$1,098.47"
02/07/2025,01/19/2025,02/01/2025,Regular,E101,Deborah Okafor,"$2,885.79",$346.29,$158.72,$178.92,$41.84,$178.92,$41.84,$144.29,$0.00,"$2,015.73"
02/07/2025,01/19/2025,02/01/2025,Regular,E102,Rebecca Garcia,"$2,225.33",$311.55,$111.27,$137.97,$32.27,$137.97,$32.27,$111.27,$85.00,"$1,436.00"
02/07/2025,01/19/2025,02/01/2025,Regular,E103,Kimberly Rogers,"$2,250.28",$315.04,$123.77,$139.52,$32.63,$139.52,$32.63,$112.51,$85.00,"$1,441.81"
02/07/2025,01/19/2025,02/01/2025,Regular,E104,Gary Phillips,"$1,715.82",$274.53,$68.63,$106.38,$24.88,$106.38,$24.88,$0.00,$140.00,"$1,101.40"
