Tallyrun Payroll Register - Sable Creek Commercial Cleaning LLC
Regular payrolls, check dates 12/01/2025 - 03/31/2026
Check Date,Period Start,Period End,Employee,Emp ID,Gross Pay,Federal Income Tax,Social Security,Medicare,State Income Tax,Net Pay,ER Social Security,ER Medicare,ER FUTA,ER SUI
12/05/2025,11/17/2025,11/30/2025,Yuki Clark,E243,$857.56,$59.18,$53.17,$12.43,$37.73,$695.06,$53.17,$12.43,$0.00,$14.58
12/05/2025,11/17/2025,11/30/2025,Marcus Cox,E187,"$1,705.20",$213.09,$105.72,$24.73,$75.03,"$1,286.63",$105.72,$24.73,$0.00,$28.99
12/05/2025,11/17/2025,11/30/2025,Charles Flores,E194,"$1,512.86",$145.76,$93.80,$21.94,$66.57,"$1,184.79",$93.80,$21.94,$0.00,$25.72
12/05/2025,11/17/2025,11/30/2025,Sarah Foster,E166,"$1,020.46",$130.18,$63.27,$14.80,$44.90,$767.31,$63.27,$14.80,$0.00,$17.35
12/05/2025,11/17/2025,11/30/2025,Rebecca Garcia,E117,"$3,561.60",$199.64,$220.82,$51.64,$156.71,"$2,932.79",$220.82,$51.64,$0.00,$60.55
12/05/2025,11/17/2025,11/30/2025,Jeffrey Gutierrez,E257,"$1,465.71",$90.49,$90.87,$21.25,$64.49,"$1,198.61",$90.87,$21.25,$0.00,$24.92
12/05/2025,11/17/2025,11/30/2025,Dorothy Howard,E145,"$2,446.34",$179.30,$151.67,$35.47,$107.64,"$1,972.26",$151.67,$35.47,$7.96,$41.59
12/05/2025,11/17/2025,11/30/2025,Steven Morgan,E180,"$1,403.55",$110.89,$87.02,$20.35,$61.76,"$1,123.53",$87.02,$20.35,$0.00,$23.86
12/05/2025,11/17/2025,11/30/2025,Joshua Morris,E138,"$1,134.42",$104.39,$70.33,$16.45,$49.91,$893.34,$70.33,$16.45,$0.00,$19.29
12/05/2025,11/17/2025,11/30/2025,Priya Morris,E250,"$1,745.92",$182.01,$108.25,$25.32,$76.82,"$1,353.52",$108.25,$25.32,$0.00,$29.68
12/05/2025,11/17/2025,11/30/2025,Richard Myers,E201,"$1,061.32",$101.95,$65.80,$15.39,$46.70,$831.48,$65.80,$15.39,$0.00,$18.04
12/05/2025,11/17/2025,11/30/2025,Deborah Okafor,E110,"$3,447.20",$397.73,$213.73,$49.98,$151.68,"$2,634.08",$213.73,$49.98,$4.85,$58.60
12/05/2025,11/17/2025,11/30/2025,Dorothy Parker,E229,"$1,188.08",$99.64,$73.66,$17.23,$52.28,$945.26,$73.66,$17.23,$0.00,$20.20
12/05/2025,11/17/2025,11/30/2025,Gary Phillips,E131,"$2,205.28",$231.80,$136.73,$31.98,$97.03,"$1,707.74",$136.73,$31.98,$12.84,$37.49
12/05/2025,11/17/2025,11/30/2025,Richard Richardson,E173,"$1,367.40",$121.15,$84.78,$19.83,$60.17,"$1,081.47",$84.78,$19.83,$0.00,$23.25
12/05/2025,11/17/2025,11/30/2025,Kimberly Rogers,E124,"$3,606.40",$306.23,$223.60,$52.29,$158.68,"$2,865.60",$223.60,$52.29,$0.00,$61.31
12/05/2025,11/17/2025,11/30/2025,Elizabeth Ruiz,E208,"$1,838.25",$175.59,$113.97,$26.65,$80.88,"$1,441.16",$113.97,$26.65,$0.00,$31.25
12/05/2025,11/17/2025,11/30/2025,Kevin Stewart,E215,"$2,532.33",$253.84,$157.00,$36.72,$111.42,"$1,973.35",$157.00,$36.72,$0.00,$43.05
12/05/2025,11/17/2025,11/30/2025,Sarah Torres,E159,"$1,214.84",$118.52,$75.32,$17.62,$53.45,$949.93,$75.32,$17.62,$0.00,$20.65
12/05/2025,11/17/2025,11/30/2025,Kenneth Ward,E236,"$1,888.93",$145.02,$117.11,$27.39,$83.11,"$1,516.30",$117.11,$27.39,$11.33,$32.11
12/05/2025,,,TOTAL FOR CHECK DATE,,"$37,203.65","$3,366.40","$2,306.62",$539.46,"$1,636.96","$29,354.21","$2,306.62",$539.46,$36.98,$632.48
12/19/2025,12/01/2025,12/14/2025,Yuki Clark,E243,"$1,093.27",$75.44,$67.78,$15.85,$48.10,$886.10,$67.78,$15.85,$0.00,$18.59
12/19/2025,12/01/2025,12/14/2025,Margaret Cook,E152,$892.02,$107.30,$55.31,$12.93,$39.25,$677.23,$55.31,$12.93,$0.00,$15.16
12/19/2025,12/01/2025,12/14/2025,Marcus Cox,E187,"$1,498.14",$187.21,$92.88,$21.72,$65.92,"$1,130.41",$92.88,$21.72,$0.00,$25.47
12/19/2025,12/01/2025,12/14/2025,Charles Flores,E194,"$1,033.87",$99.61,$64.10,$14.99,$45.49,$809.67,$64.10,$14.99,$0.00,$17.58
12/19/2025,12/01/2025,12/14/2025,Sarah Foster,E166,"$1,357.16",$173.13,$84.14,$19.68,$59.72,"$1,020.49",$84.14,$19.68,$0.00,$23.07
12/19/2025,12/01/2025,12/14/2025,Rebecca Garcia,E117,"$3,561.60",$199.64,$220.82,$51.64,$156.71,"$2,932.79",$220.82,$51.64,$0.00,$60.55
12/19/2025,12/01/2025,12/14/2025,Jeffrey Gutierrez,E257,"$1,699.03",$104.89,$105.34,$24.64,$74.76,"$1,389.40",$105.34,$24.64,$0.00,$28.88
12/19/2025,12/01/2025,12/14/2025,Dorothy Howard,E145,"$2,015.49",$147.72,$124.96,$29.22,$88.68,"$1,624.91",$124.96,$29.22,$0.00,$34.26
12/19/2025,12/01/2025,12/14/2025,Steven Morgan,E180,"$1,054.98",$83.35,$65.41,$15.30,$46.42,$844.50,$65.41,$15.30,$0.00,$17.93
12/19/2025,12/01/2025,12/14/2025,Joshua Morris,E138,"$1,405.98",$129.38,$87.17,$20.39,$61.86,"$1,107.18",$87.17,$20.39,$0.00,$23.90
12/19/2025,12/01/2025,12/14/2025,Priya Morris,E250,"$1,733.03",$180.67,$107.45,$25.13,$76.25,"$1,343.53",$107.45,$25.13,$0.00,$29.46
12/19/2025,12/01/2025,12/14/2025,Richard Myers,E201,"$1,338.48",$128.57,$82.99,$19.41,$58.89,"$1,048.62",$82.99,$19.41,$0.00,$22.75
12/19/2025,12/01/2025,12/14/2025,Deborah Okafor,E110,"$3,447.20",$397.73,$213.73,$49.98,$151.68,"$2,634.08",$213.73,$49.98,$0.00,$58.60
12/19/2025,12/01/2025,12/14/2025,Dorothy Parker,E229,"$1,251.95",$105.00,$77.62,$18.15,$55.09,$996.09,$77.62,$18.15,$0.00,$21.28
12/19/2025,12/01/2025,12/14/2025,Gary Phillips,E131,"$2,054.92",$216.00,$127.41,$29.80,$90.42,"$1,591.29",$127.41,$29.80,$0.00,$34.93
12/19/2025,12/01/2025,12/14/2025,Richard Richardson,E173,"$1,303.64",$115.50,$80.83,$18.90,$57.36,"$1,031.05",$80.83,$18.90,$0.00,$22.16
12/19/2025,12/01/2025,12/14/2025,Kimberly Rogers,E124,"$3,606.40",$306.23,$223.60,$52.29,$158.68,"$2,865.60",$223.60,$52.29,$0.00,$61.31
12/19/2025,12/01/2025,12/14/2025,Elizabeth Ruiz,E208,"$1,097.25",$104.81,$68.03,$15.91,$48.28,$860.22,$68.03,$15.91,$0.00,$18.65
12/19/2025,12/01/2025,12/14/2025,Kevin Stewart,E215,"$1,632.29",$163.62,$101.20,$23.67,$71.82,"$1,271.97",$101.20,$23.67,$0.00,$27.75
12/19/2025,12/01/2025,12/14/2025,Sarah Torres,E159,"$1,079.30",$105.30,$66.92,$15.65,$47.49,$843.94,$66.92,$15.65,$0.00,$18.35
12/19/2025,12/01/2025,12/14/2025,Kenneth Ward,E236,"$1,370.90",$105.25,$85.00,$19.88,$60.32,"$1,100.45",$85.00,$19.88,$8.23,$23.31
12/19/2025,,,TOTAL FOR CHECK DATE,,"$35,526.90","$3,236.35","$2,202.69",$515.13,"$1,563.19","$28,009.52","$2,202.69",$515.13,$8.23,$603.94
01/02/2026,12/15/2025,12/28/2025,Yuki Clark,E243,"$1,389.15",$95.86,$86.13,$20.14,$61.12,"$1,125.90",$86.13,$20.14,$8.33,$23.62
01/02/2026,12/15/2025,12/28/2025,Margaret Cook,E152,"$1,537.77",$184.97,$95.34,$22.30,$67.66,"$1,167.50",$95.34,$22.30,$9.23,$26.14
01/02/2026,12/15/2025,12/28/2025,Marcus Cox,E187,"$1,552.95",$194.06,$96.28,$22.52,$68.33,"$1,171.76",$96.28,$22.52,$9.32,$26.40
01/02/2026,12/15/2025,12/28/2025,Charles Flores,E194,"$1,493.89",$143.93,$92.62,$21.66,$65.73,"$1,169.95",$92.62,$21.66,$8.96,$25.40
