contact_id,display_name,e164_number,extension,country,import_status
C-1001,Cynthia Garcia,+16085553898,89,US,ok
C-1002,Lisa Nelson,+15125554927,,US,ok
C-1003,Joseph Jones,+19195553483,,US,ok
C-1004,Barbara Mendoza,+14155554001,,US,ok
C-1005,Linda Cook,+14035554128,,CA,ok
C-1006,Thomas Martin,+16085555125,763,US,ok
C-1007,Patricia Thomas,+447700900336,,GB,ok
C-1008,Richard King,+49309108226,,DE,ok
C-1009,Charles Price,+49301748950,,DE,ok
C-1010,Fatima Walker,+13035555876,,US,ok
C-1011,Jeffrey Lopez,+61255507801,,AU,ok
C-1012,Emily Edwards,+49409362450,,DE,ok
C-1013,Jacob Reed,,,US,invalid
C-1014,Luis Mensah,+15145557946,,CA,ok
C-1015,Ashley Williams,+61855502020,,AU,ok
C-1016,Ingrid Peterson,+14165552697,,CA,ok
C-1017,Rebecca Howard,+13035557107,8,US,ok
C-1018,Joshua Hall,+16085557840,34,US,ok
C-1019,Melissa Osei,+61491570712,,AU,ok
C-1020,Amara Torres,+61855501001,,AU,ok
C-1021,Nadia Gomez,+13035553023,,US,ok
C-1022,Paul Anderson,+442079460762,,GB,ok
C-1023,Marcus Thomas,+442920180924,,GB,ok
C-1024,Sharon White,+49305238060,,DE,ok
C-1025,Joseph Morales,+61255504376,,AU,ok
C-1026,Marcus Lewis,+15145551369,,CA,ok
C-1027,Barbara Mitchell,+13035556469,,US,ok
C-1028,Rahul Ramos,+49304622106,,DE,ok
C-1029,David Lewis,+61491570217,,AU,ok
C-1030,John Ward,+18025557556,,US,ok
C-1031,Ingrid Williams,+16045557150,168,CA,ok
C-1032,Carol Ward,+441314960868,,GB,ok
C-1033,Elizabeth Chavez,+61491570609,,AU,ok
C-1034,Angela Morales,+13035557117,,US,ok
C-1035,Priya Nelson,+15125558155,,US,ok
C-1036,Jonathan Cox,+14165555252,,CA,ok
C-1037,Kathleen Clark,+15145557475,,CA,ok
C-1038,Dmitri King,+12065552412,,US,ok
C-1039,Ingrid Kelly,+442079460271,,GB,ok
C-1040,Dorothy Hernandez,+16085551157,,US,ok
C-1041,Nadia Martinez,+16085551805,859,US,ok
C-1042,Betty King,,,US,invalid
C-1043,Rahul Clark,,,GB,invalid
C-1044,Fatima Brooks,+14035552162,,CA,ok
C-1045,John Hernandez,+16175559615,,US,ok
C-1046,Leila Gomez,+442920180211,,GB,ok
C-1047,Dorothy Myers,,,US,invalid
C-1048,Yuki Harris,+13035558650,,US,ok
C-1049,Rahul Lee,,,DE,invalid
C-1050,Marcus Ortiz,+16085555597,7,US,ok
C-1051,Linda Mendoza,+16175555513,,US,ok
C-1052,Luis Gonzalez,+61855509905,,AU,ok
C-1053,Anna Clark,+441134960606,,GB,ok
C-1054,Emily Gutierrez,+19715558952,,US,ok
C-1055,Donna White,+19195559365,,US,ok
C-1056,Priya Nguyen,+491715712437,,DE,ok
C-1057,Amara Watson,+19715557003,,US,ok
C-1058,Susan Hill,+441614960428,,GB,ok
C-1059,Jacob Rodriguez,+12065551424,,US,ok
C-1060,Leila Cooper,+49406621741,,DE,ok
C-1061,Robert Cooper,+14165553831,,CA,ok
C-1062,Mateo Price,+442920180711,,GB,ok
C-1063,Kevin Harris,+16085554401,8,US,ok
C-1064,Richard Haddad,+49891640628,,DE,ok
C-1065,Jason Davis,+19715554032,55,US,ok
C-1066,Deborah Green,+441134960131,,GB,ok
C-1067,Matthew White,+49895356529,,DE,ok
C-1068,Mark Garcia,+19715559963,,US,ok
C-1069,Donald Ramirez,+19195555623,558,US,ok
C-1070,Jason Richardson,+17205552783,1,US,ok
C-1071,Linda Haddad,,,AU,invalid
C-1072,Lisa Price,,,CA,invalid
C-1073,Jessica Gomez,+61355508755,,AU,ok
C-1074,Amy Bennett,+441614960550,,GB,ok
C-1075,Dana Thomas,+19195555262,244,US,ok
