Display Name,Company Name,First Name,Last Name,Email,Phone,Billing Street 1,Billing Street 2,Billing City,Billing State,Billing ZIP,Billing Country,Terms,Taxable
Westbrook Plumbing (Customer),Westbrook Plumbing,Nicholas,Ortiz,nicholas.ortiz@westbrookplumbing.com,(720) 555-1999,7669 Cedar Ln,Ste 157,Omaha,NE,68102,US,Net 15,Yes
Riverbend Physio,Riverbend Physio,Aisha,Collins,collins.aisha@riverbendphysio.com,(802) 555-5541,9068 Ridge Rd,,Richmond,VA,23219,US,Net 15,No
Orchard Hill Dental,Orchard Hill Dental,Kathleen,Roberts,kathleenroberts81@orchardhilldental.com,(971) 555-3960,160 Market St,,Burlington,VT,05401,US,Net 15,Yes
Uptown Fitness,Uptown Fitness,Stephanie,Davis,davis.stephanie@uptownfit.com,(919) 555-5457,5208 Highland Ave,Ste 164,Tucson,AZ,85701,US,Net 30,Yes
Valley Forge Storage,Valley Forge Storage,James,Garcia,jgarcia@valleyforgestorage.com,(617) 555-7091,4641 Cedar Ln,,Sacramento,CA,95814,US,Net 30,Yes
Larkspur Yoga,Larkspur Yoga,George,White,gwhite@larkspuryoga.com,(608) 555-4398,5233 Bridge St,,Savannah,GA,31401,US,Net 30,No
Fernbrook Montessori,Fernbrook Montessori,Elizabeth,Lindqvist,elizabeth.lindqvist@fernbrookmontessori.org,(415) 555-9456,1060 Maple St,Suite 415,Austin,TX,78701,US,Net 30,Yes
Mossbank Accounting,Mossbank Accounting,Kevin,Nguyen,kevin.nguyen@mossbank.cpa,(608) 555-4363,5004 Birch Ct,,Portland,OR,97209,US,Net 60,Yes
Copperfield Law,Copperfield Law,Ingrid,Torres,ingrid_torres@copperfieldlaw.com,(608) 555-6523,4809 Cedar Ln,,Columbus,OH,43215,US,Net 30,Yes
Daniel Smith,,Daniel,Smith,smith.daniel@gmail.com,(802) 555-8784,3297 Oak Ave,Unit 10B,Portland,OR,97209,US,Due on receipt,Yes
Brian Cooper,,Brian,Cooper,brian.cooper@outlook.com,(919) 555-4747,9823 Park Ave,,Tucson,AZ,85701,US,Net 60,Yes
Patricia Howard,,Patricia,Howard,patriciahoward62@outlook.com,(303) 555-5238,1530 Elm Dr,,Eugene,OR,97401,US,Net 30,Yes
Barbara Chavez,,Barbara,Chavez,barbara_chavez@me.com,(206) 555-5770,7365 Hill St,,Omaha,NE,68102,US,Net 30,Yes
Susan Mendoza,,Susan,Mendoza,susan.mendoza@outlook.com,(802) 555-6836,8638 Park Ave,,Tacoma,WA,98402,US,Due on receipt,Yes
Michael Cook,,Michael,Cook,michaelcook66@icloud.com,(802) 555-1629,506 Ridge Rd,Apt 14,Providence,RI,02903,US,Net 15,Yes
John Morales,,John,Morales,johnmorales65@yahoo.com,(617) 555-6998,7190 Chestnut Ave,,Columbus,OH,43215,US,Net 30,Yes
Jonathan Rodriguez,,Jonathan,Rodriguez,rodriguez.jonathan@outlook.com,(802) 555-7179,6280 Lake Dr,,Ann Arbor,MI,48104,US,Net 30,Yes
Gary Peterson,,Gary,Peterson,gary.peterson@icloud.com,(608) 555-9215,5848 River St,,Savannah,GA,31401,US,Due on receipt,Yes
William Perez,,William,Perez,william.perez@hotmail.com,(720) 555-4054,4432 Cedar Ln,,Savannah,GA,31401,US,Net 60,Yes
Yuki Morgan,,Yuki,Morgan,ymorgan@me.com,(512) 555-3238,7448 Church St,Apt 21,Sacramento,CA,95814,US,Net 30,Yes
Susan Turner,,Susan,Turner,susan.turner@outlook.com,(206) 555-6211,8506 Prospect Ave,,Denver,CO,80202,US,Net 15,Yes
Edward Lee,,Edward,Lee,lee.edward@aol.com,(971) 555-4761,8091 Hill St,,Ann Arbor,MI,48104,US,Net 30,Yes
Margaret Allen,,Margaret,Allen,margaret_allen@protonmail.com,(919) 555-6977,7601 Willow Way,,Denver,CO,80202,US,Due on receipt,Yes
Kevin Young,,Kevin,Young,kyoung@icloud.com,(720) 555-8212,2915 Main St,,Boulder,CO,80302,US,Due on receipt,Yes
Karen Mensah,,Karen,Mensah,karen.mensah@me.com,(971) 555-8387,463 Lake Dr,Apt 18B,Ann Arbor,MI,48104,US,Net 30,Yes
William Turner (Austin),,William,Turner,williamturner92@aol.com,(206) 555-2938,6745 Ash St,,Austin,TX,78701,US,Net 30,Yes
William Turner (Tacoma),,William,Turner,turner.william@icloud.com,(919) 555-1969,6137 Walnut St,,Tacoma,WA,98402,US,Net 60,Yes
Chloe Hernandez,,Chloe,Hernandez,chloe_hernandez@me.com,(802) 555-4659,3570 Union St,,Richmond,VA,23219,US,Net 30,Yes
