id,type,status,created,amount,fee,net,currency,description,card_last4
ch_mBM9LtHeNuzD7rBibnG1QEOE,charge,succeeded,2026-07-03 13:53,600.00,17.70,582.30,usd,Booking LH-24391 Garcia,2961
ch_xaYzYDKp7IPSu1VD8CeaJf43,charge,succeeded,2026-07-06 21:16,580.00,17.12,562.88,usd,Booking LH-24492 Richardson,5169
ch_pHrtnSy2I96YzS6v39rzHh3y,charge,succeeded,2026-07-09 17:40,445.00,13.20,431.80,usd,Booking LH-24507 Morgan,9033
ch_cTJvfD4nNBWeZ4A2hEr3Fr8v,charge,succeeded,2026-07-19 15:41,1120.00,32.78,1087.22,usd,Booking LH-24548 Stewart,9217
ch_cfqps6yWFUnHfloV2MPBuRHt,charge,succeeded,2026-07-19 21:26,980.00,28.72,951.28,usd,Booking LH-24379 Okafor,4858
ch_T8HJb5kb7F7GaEGaxJu9Bycb,charge,succeeded,2026-07-25 16:26,1240.00,36.26,1203.74,usd,Booking LH-24523 Cox,9231
ch_JkZorb4hfr64U1ffoq3Min7O,charge,succeeded,2026-07-26 09:38,1195.00,34.96,1160.04,usd,Booking LH-24474 Torres,7193
ch_ch4f6jmwA4CfUT1dDz04zaMj,charge,succeeded,2026-07-26 12:44,700.00,20.60,679.40,usd,Booking LH-24422 Phillips,1766
ch_VvCiRIPw9eWnSrWl85o2nItT,charge,succeeded,2026-07-27 15:47,885.00,25.96,859.04,usd,Booking LH-24407 Rogers,5111
ch_vODYAGZjhSc6fyltrNbFXOQl,charge,succeeded,2026-07-28 20:05,775.00,22.78,752.22,usd,Booking LH-24464 Cook,7153
ch_JlSXZjISHeuP7DTL2huETZ1V,charge,succeeded,2026-07-30 08:17,1130.00,33.07,1096.93,usd,Booking LH-24452 Howard,2535
ch_zyH3QIph0ppWH3JR2BCCNrQj,charge,succeeded,2026-07-31 12:58,795.00,23.36,771.64,usd,Booking LH-24438 Morris,7499
ch_S749joULlFGilTKY5J8IzOUg,charge,succeeded,2026-07-31 13:30,1180.00,34.52,1145.48,usd,Booking LH-24526 Flores,4409
po_EIakqW9Gb5bPeYO6ZPpeZ6lE,payout,paid,2026-08-01 06:00,-4146.27,0.00,-4146.27,usd,Payout to Harbor Trust ****4410,
re_0DGyJ2sOC0ko67imrEBHoMm1,refund,succeeded,2026-08-01 13:27,-240.00,0.00,-240.00,usd,Refund LH-24379 Okafor,4858
ch_cIV7A8ue68q0qxQvnMEj7bR8,charge,succeeded,2026-08-01 20:09,1150.00,33.65,1116.35,usd,Booking LH-24733 Mensah,8061
re_gdCmGsZMQW5ue156kKsrN9xD,refund,succeeded,2026-08-02 10:03,-300.00,0.00,-300.00,usd,Refund LH-24391 Garcia,2961
re_FAmMsVKPOocYt4rk3aCZ3ska,refund,succeeded,2026-08-02 21:41,-885.00,-25.96,-859.04,usd,Refund LH-24407 Rogers,5111
ch_nJxJryYyBabk6rVtP7IXgNiZ,charge,succeeded,2026-08-03 08:49,225.00,6.82,218.18,usd,Booking LH-24904 Green,9357
ch_IktRU0BZe6hICFk3WXAEMtHq,charge,succeeded,2026-08-03 17:29,1245.00,36.40,1208.60,usd,Booking LH-24797 Wilson,7377
po_R4hXiBmnxe4PRCnU3zZ9oGi4,payout,paid,2026-08-04 06:00,-2010.84,0.00,-2010.84,usd,Payout to Harbor Trust ****4410,
ch_LxabLP9dV7hJWdooFewNSA1s,charge,succeeded,2026-08-04 15:59,830.00,24.37,805.63,usd,Booking LH-24530 Myers,3521
