The Larkin House Inn - Refunds issued
Report period: 08/01/2026 to 08/31/2026
Refund #,Issued,Booking,Guest,Reason,Method,Amount,Issued by
RF-10445,08/02/2026,LH-24407,Kimberly Rogers,Cancellation within policy - full refund,Card,$885.00,Evelyn (manager)
RF-10448,08/05/2026,LH-24422,Gary Phillips,Partial cancellation - one room,Card,$230.00,Maya (front desk)
RF-10449,08/07/2026,LH-24438,Joshua Morris,Service recovery - AC outage,Card,$380.00,Maya (front desk)
RF-10451,08/07/2026,LH-24452,Dorothy Howard,Cancellation within policy - full refund,Card,"$1,130.00",Jonah (front desk)
RF-10454,08/07/2026,LH-24464,Margaret Cook,Service recovery - AC outage,Card,$380.00,Jonah (front desk)
RF-10456,08/10/2026,LH-24474,Sarah Torres,Service recovery - AC outage,Card,$290.00,Evelyn (manager)
RF-10459,08/11/2026,LH-24480,Sarah Foster,Cancellation within policy - full refund,Card,$605.00,Evelyn (manager)
RF-10462,08/12/2026,LH-24492,Richard Richardson,Partial cancellation - one room,Card,$280.00,Maya (front desk)
RF-10464,08/13/2026,LH-24507,Steven Morgan,Early departure - unused night,Card,$210.00,Jonah (front desk)
RF-10466,08/14/2026,LH-24523,Marcus Cox,Group cancellation - paid on two cards,Card,"$1,200.00",Jonah (front desk)
RF-10468,08/15/2026,LH-24526,Charles Flores,Service recovery - noisy room,Card,$55.00,Maya (front desk)
RF-10469,08/16/2026,LH-24530,Richard Myers,Early departure - unused night,Card,$400.00,Evelyn (manager)
RF-10470,08/17/2026,LH-24526,Charles Flores,Early departure - unused night,Card,$290.00,Jonah (front desk)
RF-10473,08/17/2026,LH-24534,Elizabeth Ruiz,Service recovery - late check-in,Card,$235.00,Jonah (front desk)
RF-10475,08/18/2026,LH-24548,Kevin Stewart,Partial cancellation - two nights,Card,"$1,686.00",Maya (front desk)
RF-10476,08/20/2026,LH-24566,Dorothy Parker,Damage deposit returned,Check,$280.00,Evelyn (manager)
RF-10478,08/21/2026,LH-24579,Kenneth Ward,Damage deposit returned,Check,$210.00,Jonah (front desk)
RF-10481,08/31/2026,LH-24589,Yuki Clark,Early departure - unused nights,Card,$400.00,Maya (front desk)
RF-10482,08/31/2026,LH-24605,Priya Morris,Early departure - unused nights,Card,$260.00,Maya (front desk)
