Order,Placed,Buyer E-mail,Buyer,Amount,State
10400,07/01/2025,rwright@outlook.com,Rahul Wright,61.00,complete
10401,07/03/2025,marcus.gomez@aol.com,Marcus Gomez,42.50,complete
10402,07/04/2025, reed.david@aol.com,David Reed,98.00,complete
10403,07/05/2025,mary_ortiz@me.com,Mary Ortiz,91.50,complete
10404,07/06/2025,wright.james@aol.com ,James Wright,39.00,complete
10405,07/06/2025,rclark@protonmail.com,Robert Clark,22.00,complete
10406,07/13/2025,lindqvist.betty@me.com,Betty Lindqvist,22.50,complete
10407,07/15/2025,Ingrid_chavez@outlook.com,Ingrid Chavez,18.00,complete
10408,07/15/2025, jonathan.hughes@protonmail.com,Jonathan Hughes,41.00,complete
10409,07/23/2025,lopez.charles@yahoo.com,Charles Lopez,22.50,complete
10410,07/25/2025,michellenelson21@yahoo.com,Michelle Nelson,64.00,complete
10411,07/26/2025,Bettygutierrez2@aol.com,Betty Gutierrez,75.50,complete
10412,07/28/2025,alopez@outlook.com,Amanda Lopez,41.50,complete
10413,07/30/2025,JESSICA_MOORE@YAHOO.COM,Jessica Moore,98.00,complete
10414,08/02/2025,ngonzalez@hotmail.com,Nancy Gonzalez,95.00,complete
10415,08/04/2025,RCLARK@PROTONMAIL.COM,Robert Clark,84.00,complete
10416,08/09/2025,harris.john@aol.com,John Harris,47.00,complete
10417,08/16/2025,richard_johnson@protonmail.com,Richard Johnson,50.00,complete
10418,08/18/2025,DEBORAH.RODRIGUEZ@HOTMAIL.COM,Deborah Rodriguez,61.00,complete
10419,08/19/2025,stewart.angela@hotmail.com,Angela Stewart,91.50,complete
10420,08/20/2025,LAURA.WOOD@OUTLOOK.COM,Laura Wood,24.00,complete
10421,08/25/2025,sphillips@icloud.com,Susan Phillips,42.00,complete
10422,08/26/2025,jonathan.hughes@protonmail.com,Jonathan Hughes,17.50,complete
10423,08/28/2025,joseph.gomez@protonmail.com,Joseph Gomez,55.00,complete
10424,08/29/2025,ROBERTS.MATEO@GMAIL.COM,Mateo Roberts,50.00,complete
10425,08/30/2025,lindqvist.betty@me.com,Betty Lindqvist,59.50,complete
10426,09/03/2025,andrewbrown30@outlook.com,Andrew Brown,47.00,complete
10427,09/04/2025,matthew_edwards@me.com,Matthew Edwards,47.00,complete
10428,09/08/2025,edward_peterson@protonmail.com,Edward Peterson,61.00,complete
10429,09/08/2025,Ascott@protonmail.com,Aisha Scott,81.00,complete
10430,09/08/2025,mary_ortiz@me.com,Mary Ortiz,66.50,complete
10431,09/10/2025,fgonzalez@outlook.com,Fatima Gonzalez,124.00,complete
10432,09/10/2025,Carlos.watson@gmail.com,Carlos Watson,25.00,complete
