Order #,Order Date,Customer Email,Customer Name,Status,Total,Refunded
#10523,2026-01-01 07:55,johnrogers68@me.com,John Rogers,Delivered,$63.00,
#10524,2026-01-02 10:50,susanwilson77@aol.com,Susan Wilson,Delivered,$18.00,
#10525,2026-01-02 22:32,emendoza@outlook.com,Eric Mendoza,Delivered,$81.50,
#10526,2026-01-05 20:07,brian.cook@aol.com,Brian Cook,Delivered,$24.00,
#10527,2026-01-07 17:53,aisha.cook@aol.com,Aisha Cook,Fulfilled,$24.00,
#10528,2026-01-07 22:17,rebeccaosei60@yahoo.com,Rebecca Osei,Fulfilled,$90.50,
#10529,2026-01-08 15:42,joseph.edwards@me.com ,Joseph Edwards,Paid,$35.50,
#10530,2026-01-08 17:19,morales.emily@yahoo.com,Emily Morales,Partially refunded,$79.00,$39.50
#10531,2026-01-08 21:24,RUIZ.ELIZABETH@HOTMAIL.COM,Elizabeth Ruiz,Refunded,$17.50,$17.50
#10532,2026-01-09 12:04,Aisha.cook@aol.com,Aisha Cook,Fulfilled,$63.50,
#10533,2026-01-09 20:25,Patricia.lindqvist@hotmail.com,Patricia Lindqvist,Fulfilled,$29.00,
#10534,2026-01-09 20:30,ramirez.rebecca@icloud.com,Rebecca Ramirez,Fulfilled,$56.00,
#10535,2026-01-10 16:59,MARY_ORTIZ@ME.COM,Mary Ortiz,Delivered,$35.50,
#10536,2026-01-10 22:03,lindqvist.betty@me.com,Betty Lindqvist,Delivered,$29.00,
#10537,2026-01-11 06:02,Gutierrez.karen@outlook.com,Karen Gutierrez,Fulfilled,$25.00,
#10538,2026-01-11 11:26,jessicaramirez31@yahoo.com,Jessica Ramirez,Delivered,$18.00,
#10539,2026-01-12 19:17,ROBERT.RUIZ@PROTONMAIL.COM,Robert Ruiz,Fulfilled,$59.00,
#10540,2026-01-12 22:54,ruiz.elizabeth@hotmail.com,Elizabeth Ruiz,Delivered,$51.50,
#10541,2026-01-13 13:56,kwame_ward@icloud.com,Kwame Ward,Paid,$63.50,
#10542,2026-01-13 22:54,anthony.gonzalez@me.com,Anthony Gonzalez,Fulfilled,$34.00,
#10543,2026-01-14 07:43,CAROL_KING@YAHOO.COM,Carol King,Cancelled,$17.50,
#10544,2026-01-14 09:37,david_diaz@gmail.com,David Diaz,Fulfilled,$72.00,
#10545,2026-01-14 12:31,sphillips@icloud.com,Susan Phillips,Fulfilled,$17.50,
#10546,2026-01-14 19:01,jessicaramirez31@yahoo.com,Jessica Ramirez,Fulfilled,$35.00,
#10547,2026-01-14 19:58, mbrown@hotmail.com,Matthew Brown,Fulfilled,$57.50,
#10548,2026-01-14 21:36,ASHLEY_JOHNSON@GMAIL.COM,Ashley Johnson,Fulfilled,$66.50,
#10549,2026-01-14 22:20,Morales.emily@yahoo.com,Emily Morales,Paid,$92.00,
#10550,2026-01-15 10:00,LEWIS.DEBORAH@AOL.COM,Deborah Lewis,Delivered,$129.00,
#10551,2026-01-15 12:05,JACOB.SCOTT@AOL.COM,Jacob Scott,Refunded,$40.50,$40.50
#10552,2026-01-15 17:16,priya.reed@hotmail.com,Priya Reed,Paid,$59.00,
#10553,2026-01-16 07:14,jones.dana@hotmail.com,Dana Jones,Fulfilled,$42.00,
#10554,2026-01-16 15:32,JACOBALLEN61@ME.COM,Jacob Allen,Fulfilled,$48.50,
#10555,2026-01-16 19:42,pwalker@hotmail.com,Paul Walker,Partially refunded,$89.00,$44.50
#10556,2026-01-19 10:06,anthony.gonzalez@me.com,Anthony Gonzalez,Fulfilled,$25.50,
#10557,2026-01-19 10:15,ashley_johnson@gmail.com,Ashley Johnson,Fulfilled,$57.50,
