rep,month,net_sales
Dana Cruz,2026-01,6130.34
Dana Cruz,2026-02,6925.11
Dana Cruz,2026-03,9175.70
Dana Cruz,2026-04,4941.45
Dana Cruz,2026-05,4596.90
Dana Cruz,2026-06,6079.83
Christopher Walker,2026-01,8513.69
Christopher Walker,2026-02,8346.94
Christopher Walker,2026-03,5557.15
Christopher Walker,2026-04,6415.56
Christopher Walker,2026-05,7938.19
Christopher Walker,2026-06,9602.97
Priya Patel,2026-01,6001.36
Priya Patel,2026-02,6492.55
Priya Patel,2026-03,9696.73
Priya Patel,2026-04,0.00
Priya Patel,2026-05,9396.27
Priya Patel,2026-06,7323.79
Gary Phillips,2026-01,4680.99
Gary Phillips,2026-02,6316.57
Gary Phillips,2026-03,6119.81
Gary Phillips,2026-04,7109.49
Gary Phillips,2026-05,5065.16
Gary Phillips,2026-06,6136.09
Joshua Morris,2026-01,7376.47
Joshua Morris,2026-02,8570.93
Joshua Morris,2026-03,6447.06
Joshua Morris,2026-04,5298.20
Joshua Morris,2026-05,7710.42
Joshua Morris,2026-06,7794.73
Margaret Cook,2026-01,10705.45
Margaret Cook,2026-02,6176.20
Margaret Cook,2026-03,6272.15
Margaret Cook,2026-04,7539.40
Margaret Cook,2026-05,6910.04
Margaret Cook,2026-06,6128.32
