Order,Order Date,Customer,Account,Ship To,Subtotal,Shipping,Payment
LLK-30412,09/01/2026,Aspen Ridge Elementary,C-1004,"1230 Hawthorn Blvd, Boulder, CO 80303",487.64,12.50,Card
LLK-30413,09/01/2026,Sofia Ruiz,C-2063,"1180 Dogwood Ave Apt 236, Austin, TX 78704",444.28,0.00,PO / Net 30
LLK-30414,09/01/2026,Fatima Johnson,C-2070,"5481 Hill St, Tacoma, Washington 98499",427.65,24.50,Card
LLK-30415,09/02/2026,Puget Sound Science Center,C-1019,"3376 Dogwood Ave, Seattle, Washington 98109-3763",494.99,18.75,Card
LLK-30416,09/02/2026,Books & Beakers,C-1023,8889 Maple St Austin TX 78704,42.34,14.95,ACH
LLK-30417,09/02/2026,Kimberly Ramirez,C-2011,6229 Church St Sacramento CA 95814,540.09,0.00,Card
LLK-30418,09/02/2026,Lisa Flores,C-2015,"5067 Spruce Blvd, Fort Collins, Colorado 80521",573.14,8.95,PO / Net 30
LLK-30419,09/02/2026,Kwame Scott,C-2035,"4728 River St Unit 272, Austin, Texas 78704",401.66,14.95,Card
LLK-30420,09/02/2026,Richard Davis,C-2048,7366 Lake Dr Boulder CO 80310-5170,490.49,0.00,Card
LLK-30421,09/02/2026,Rahul Adams,C-2058,"4128 Juniper Way Unit 364, Colorado Springs, CO 80918",73.03,18.75,ACH
LLK-30422,09/03/2026,Books & Beakers,C-1023,"8889 Maple St, Austin, Texas 78704",548.39,0.00,Card
LLK-30423,09/03/2026,Mesa Verde Homeschool Co-op,C-1037,8596 Birch Ct Durango CO 81301,524.16,12.50,PO / Net 30
LLK-30424,09/03/2026,George Scott,C-2009,4207 School St Sacramento CA 95814,448.97,14.95,Card
LLK-30425,09/03/2026,Barbara Peterson,C-2023,"9738 Main St, Tucson, AZ 85719-7033",481.31,14.95,Card
LLK-30426,09/03/2026,Donna Kelly,C-2025,"8869 Main St, San Antonio, TX 78205-8435",485.97,8.95,ACH
LLK-30427,09/03/2026,Luis Torres,C-2029,"1894 Church St, Taos, New Mexico 87571",374.53,18.75,Card
