Quarry Road Nursery - Sales detail with tax
04/01/2026 - 06/30/2026

Invoice,Date,Customer ID,Customer,Fulfillment,Ship-to town,Ship-to ZIP,Items,Net sales,Tax exempt,Tax collected,Status
QR-24001,04/01/2026,L-2226,Oak County Parks Dept,Pickup - Millbrook yard,,,Topsoil blend (yd); Perennial flat,390.60,Y,0.00,Posted
QR-24002,04/01/2026,,Walk-in,Pickup - Cedar Falls yard,,,Arborvitae 6ft,298.00,N,21.61,Posted
QR-24003,04/01/2026,,Walk-in,Pickup - Cedar Falls yard,,,Bark mulch (yd),42.00,N,3.05,Posted
QR-24004,04/02/2026,L-2226,Oak County Parks Dept,Pickup - Cedar Falls yard,,,Arborvitae 6ft,$298.00,Y,0.00,Posted
QR-24005,04/02/2026,H-3022,Kimberly Davis,Delivery,Cedar Falls,98012,Arborvitae 6ft; Topsoil blend (yd),538.00,N,39.01,Posted
QR-24006,04/02/2026,L-2207,Greenway Grounds LLC,Pickup - Millbrook yard,,,River rock (ton),$330.00,Y,0.00,Posted
QR-24007,04/02/2026,,Walk-in,Pickup - Cedar Falls yard,,,Flagstone (ton),$346.50,N,25.12,Posted
QR-24008,04/03/2026,,Walk-in,Pickup - Cedar Falls yard,,,Arborvitae 6ft; Topsoil blend (yd); Perennial flat,$315.90,N,22.90,VOID
QR-24009,04/04/2026,,Walk-in,Pickup - Cedar Falls yard,,,Topsoil blend (yd); Drip irrigation kit; River rock (ton),542.00,N,39.30,Posted
QR-24010,04/06/2026,L-2201,Cedar & Pine Landscaping,Pickup - Millbrook yard,,,Perennial flat; Flagstone (ton),$745.20,Y,0.00,Posted
QR-24011,04/07/2026,H-3025,Stephanie Alvarez,Delivery,Millbrook,98031,Boxwood 3gal; Drip irrigation kit,348.00,N,26.97,VOID
QR-24012,04/08/2026,L-2201,Cedar & Pine Landscaping,Delivery,Cedar Falls,98013,Boxwood 3gal,153.00,Y,0.00,Posted
QR-24013,04/08/2026,H-3028,Amy Nelson,Delivery,Cedar Falls,98013,Drip irrigation kit,$534.00,N,34.71,Posted
QR-24014,04/09/2026,H-3024,Barbara Patel,Delivery,Millbrook,98033,Compost (yd),210.60,N,13.69,Posted
QR-24015,04/09/2026,H-3021,Jeffrey Gutierrez,Delivery,Cedar Falls,98011,Japanese maple 5gal; Flagstone (ton); River rock (ton),"$1,358.00",N,98.46,Posted
QR-24016,04/09/2026,H-3039,Joshua Peterson,Delivery,Cedar Falls,98013,Japanese maple 5gal; Perennial flat; Compost (yd),$343.80,N,22.35,Posted
QR-24017,04/10/2026,,Walk-in,Pickup - Cedar Falls yard,,,Drip irrigation kit; Perennial flat; Compost (yd),555.00,N,40.24,Posted
QR-24018,04/10/2026,L-2201,Cedar & Pine Landscaping,Pickup - Cedar Falls yard,,,Flagstone (ton); Drip irrigation kit,"1,215.00",Y,0.00,Posted
QR-24019,04/10/2026,,Walk-in,Pickup - Cedar Falls yard,,,Boxwood 3gal; Japanese maple 5gal,265.00,N,19.21,Posted
QR-24020,04/11/2026,,Walk-in,Pickup - Cedar Falls yard,,,Flagstone (ton); Bark mulch (yd); Perennial flat,$858.60,N,62.25,Posted
QR-24021,04/11/2026,H-3000,Deborah Okafor,Delivery,Pine Ridge,98060,Topsoil blend (yd); River rock (ton); Arborvitae 6ft,$632.70,N,41.13,Posted
QR-24022,04/11/2026,L-2201,Cedar & Pine Landscaping,Pickup - Millbrook yard,,,Topsoil blend (yd); Bark mulch (yd); Japanese maple 5gal,442.80,Y,0.00,Posted
