First Name,Last Name,Company,Title,Email,Phone,Lead Source,Lead Status,City,State/Province Code,Country Code,Lead Owner
Donna,Alvarez,Everline Insurance,Shipping Coordinator,alvarez.donna@everline.com,+44 121 496 0811,Trade Show,Open - Not Contacted,Birmingham,,GB,tomasz.lindqvist@silverlinelogistics.com
Anna,Edwards,Mossbank Accounting,COO,anna_edwards@mossbank.cpa,5125553968,Web,Open - Not Contacted,Phoenix,AZ,US,dana.okafor@silverlinelogistics.com
Ashley,Myers,Kingfisher Charters,Purchasing Manager,ashley_myers@kingfishercharters.com,512.555.6559,Phone Inquiry,Open - Not Contacted,Joliet,IL,US,dana.okafor@silverlinelogistics.com
Amara,Torres,Harbor Light Marine,COO,atorres@harborlightmarine.com,1-720-555-9184,Advertisement,Working - Contacted,Calgary,AB,CA,dana.okafor@silverlinelogistics.com
Barbara,Hernandez,[not provided],Transportation Analyst,barbara.hernandez@protonmail.com,1-971-555-3390,Advertisement,Closed - Not Converted,Joliet,IL,US,tomasz.lindqvist@silverlinelogistics.com
Barbara,Patel,Oakhurst Pediatrics,Owner,bpatel@oakhurstpeds.org,(720) 555-2965,Web,Closed - Not Converted,Phoenix,AZ,US,mkim@silverlinelogistics.com.sales
Carlos,Lewis,Foxglove Interiors,Office Manager,carlos.lewis@foxgloveinteriors.com,+52 81 5550 2396,Web,Working - Contacted,Querétaro,,MX,mkim@silverlinelogistics.com.sales
Carol,Alvarez,Acme Industrial,Purchasing Manager,carolalvarez91@acmeindustrial.com,617.555.1368,Web,Open - Not Contacted,Nashville,TN,US,priya.natarajan@silverlinelogistics.com
Chloe,Watson,Quarry Road Nursery,VP Operations,chloe.watson@quarryroad.com,(512) 555-7382,Trade Show,Working - Contacted,Greensboro,NC,US,sreyes@silverlinelogistics.com.sales
David,Harris,Quarry Road Nursery,COO,david_harris@quarryroad.com,(971) 555-4017,Advertisement,Working - Contacted,Calgary,AB,CA,sreyes@silverlinelogistics.com.sales
Deborah,Okafor,Copperfield Law,Warehouse Manager,deborah.okafor@copperfieldlaw.com,1-206-555-7083,Web,Closed - Not Converted,Ontario,CA,US,mkim@silverlinelogistics.com.sales
Donald,Mensah,[not provided],Transportation Analyst,donaldmensah65@yahoo.com,+1 415 555 9897,Web,Open - Not Contacted,Nashville,TN,US,dana.okafor@silverlinelogistics.com
Dorothy,Howard,Everline Insurance,VP Operations,dorothy.howard@everline.com,+49 40 55503347,Partner Referral,Closed - Not Converted,Hamburg,,DE,tomasz.lindqvist@silverlinelogistics.com
Dorothy,Parker,Ivy Lane Florist,VP Operations,dorothyparker7@ivylaneflorist.com,1-415-555-9778,Partner Referral,Working - Contacted,Greensboro,NC,US,sreyes@silverlinelogistics.com.sales
Elizabeth,Ruiz,Acme Industrial,Shipping Coordinator,elizabethruiz20@acmeindustrial.com,+49 40 55501757,Web,Open - Not Contacted,Hamburg,,DE,sreyes@silverlinelogistics.com.sales
Charles,Flores,Pemberton HVAC,Logistics Manager,flores.charles@pembertonhvac.com,1-802-555-8297,Purchased List,Open - Not Contacted,Joliet,IL,US,priya.natarajan@silverlinelogistics.com
Rebecca,Garcia,[not provided],Shipping Coordinator,garcia.rebecca@protonmail.com,+1 (802) 555-4879,Web,Working - Contacted,Mississauga,ON,CA,tomasz.lindqvist@silverlinelogistics.com
Gary,Wilson,Kingfisher Charters,Owner,gary_wilson@kingfishercharters.com,(720) 555-9296,Web,Open - Not Contacted,Chicago,IL,US,tomasz.lindqvist@silverlinelogistics.com
Gary,Phillips,Glassworks Optical,Director of Supply Chain,gphillips@glassworksoptical.com,+44 121 496 0224,Web,Closed - Not Converted,Birmingham,,GB,sreyes@silverlinelogistics.com.sales
James,Ward,Meridian Title,Transportation Analyst,jamesward49@meridiantitle.com,(919) 555-9462,Web,Closed - Not Converted,Phoenix,AZ,US,tomasz.lindqvist@silverlinelogistics.com
Jeffrey,Gutierrez,Thistle & Thread Alterations,COO,jeffrey.gutierrez@thistlethread.com,303.555.9271,Advertisement,Working - Contacted,Atlanta,GA,US,tomasz.lindqvist@silverlinelogistics.com
Jeffrey,Lopez,Wren & Sparrow Bookshop,Director of Supply Chain,jlopez@wrensparrowbooks.com,206-555-9006,Trade Show,Open - Not Contacted,Charlotte,NC,US,priya.natarajan@silverlinelogistics.com
Priya,Johnson,Tamarack Brewing,Transportation Analyst,johnson.priya@tamarackbrewing.com,+52 81 5550 5062,Trade Show,Open - Not Contacted,Ciudad Juárez,,MX,priya.natarajan@silverlinelogistics.com
Joshua,Morris,Riverbend Physio,Logistics Manager,joshua_morris@riverbendphysio.com,(617) 555-4197,Trade Show,Closed - Not Converted,Mississauga,ON,CA,mkim@silverlinelogistics.com.sales
Joshua,Peterson,Kestrel Analytics,Shipping Coordinator,joshuapeterson31@kestrelanalytics.io,617-555-1560,Purchased List,Open - Not Contacted,Tucson,AZ,US,mkim@silverlinelogistics.com.sales
Kenneth,Ward,Ellington Bakeries,Owner,kennethward52@ellingtonbakes.com,+44 121 496 0752,Advertisement,Open - Not Contacted,Felixstowe,,GB,mkim@silverlinelogistics.com.sales
Kevin,Stewart,Foxglove Interiors,Purchasing Manager,kevin.stewart@foxgloveinteriors.com,206.555.3762,Web,Open - Not Contacted,Atlanta,GA,US,sreyes@silverlinelogistics.com.sales
