shift_id,employee_id,employee_name,start_utc,end_utc,queue,revision
SH-88101,E4179,Jessica Williams,2026-09-21T11:00:00Z,2026-09-21T19:30:00Z,Claims - Home,rev2
SH-88102,E4172,Ryan Young,2026-09-21T12:00:00Z,2026-09-21T21:00:00Z,Policy Service,rev2
SH-88103,E4102,Karen Allen,2026-09-21T14:00:00Z,2026-09-21T22:30:00Z,Billing,rev2
SH-88104,E4186,Charles Ramirez,2026-09-21T14:00:00Z,2026-09-21T22:30:00Z,Claims - Auto,rev2
SH-88105,E4193,Sharon Tanaka,2026-09-21T17:30:00Z,2026-09-22T02:00:00Z,Policy Service,rev2
SH-88105,E4193,Sharon Tanaka,2026-09-21T17:30:00Z,2026-09-22T02:00:00Z,Policy Service,rev2
SH-88106,E4116,Amanda Price,2026-09-22T00:00:00Z,2026-09-22T08:30:00Z,Claims - Auto,rev2
SH-88107,E4123,Jacob Nguyen,2026-09-22T00:00:00Z,2026-09-22T08:30:00Z,Policy Service,rev2
SH-88108,E4179,Jessica Williams,2026-09-22T11:00:00Z,2026-09-22T19:30:00Z,Claims - Home,rev2
SH-88109,E4151,Stephanie Ramos,2026-09-22T13:00:00Z,2026-09-22T21:30:00Z,Policy Service,rev2
SH-88110,E4165,Kevin Peterson,2026-09-22T14:00:00Z,2026-09-22T22:30:00Z,Claims - Auto,rev2
SH-88111,E4186,Charles Ramirez,2026-09-22T14:00:00Z,2026-09-22T22:30:00Z,Claims - Auto,rev2
SH-88112,E4102,Karen Allen,2026-09-22T17:00:00Z,2026-09-23T01:30:00Z,Billing,rev2
SH-88113,E4116,Amanda Price,2026-09-23T00:00:00Z,2026-09-23T08:30:00Z,Claims - Auto,rev2
SH-88114,E4123,Jacob Nguyen,2026-09-23T00:00:00Z,2026-09-23T08:30:00Z,Policy Service,rev2
SH-88115,E4179,Jessica Williams,2026-09-23T11:00:00Z,2026-09-23T19:30:00Z,Claims - Home,rev2
SH-88116,E4172,Ryan Young,2026-09-23T12:00:00Z,2026-09-23T20:30:00Z,Policy Service,rev2
SH-88117,E4151,Stephanie Ramos,2026-09-23T13:00:00Z,2026-09-23T21:30:00Z,Policy Service,rev2
SH-88118,E4102,Karen Allen,2026-09-23T14:00:00Z,2026-09-23T22:30:00Z,Billing,rev2
SH-88119,E4165,Kevin Peterson,2026-09-23T14:00:00Z,2026-09-23T22:30:00Z,Claims - Auto,rev2
SH-88120,E4130,Jonathan Osei,2026-09-23T15:00:00Z,2026-09-23T23:30:00Z,Claims - Auto,rev2
SH-88121,E4158,Richard Ross,2026-09-23T16:00:00Z,2026-09-24T00:30:00Z,Policy Service,rev2
SH-88122,E4137,Brian Davis,2026-09-23T17:00:00Z,2026-09-24T01:30:00Z,Claims - Home,rev2
SH-88123,E4193,Sharon Tanaka,2026-09-23T17:30:00Z,2026-09-24T02:00:00Z,Policy Service,rev2
SH-88124,E4109,Joshua Scott,2026-09-23T20:30:00Z,2026-09-24T05:00:00Z,Billing,rev2
SH-88125,E4116,Amanda Price,2026-09-24T00:00:00Z,2026-09-24T08:30:00Z,Claims - Auto,rev2
SH-88126,E4179,Jessica Williams,2026-09-24T11:00:00Z,2026-09-24T19:30:00Z,Claims - Home,rev2
SH-88127,E4172,Ryan Young,2026-09-24T12:00:00Z,2026-09-24T20:30:00Z,Policy Service,rev2
SH-88128,E4151,Stephanie Ramos,2026-09-24T13:00:00Z,2026-09-24T21:30:00Z,Policy Service,rev2
SH-88129,E4102,Karen Allen,2026-09-24T14:00:00Z,2026-09-24T22:30:00Z,Billing,rev2
SH-88130,E4144,Edward Ward,2026-09-24T14:00:00Z,2026-09-24T22:30:00Z,Claims - Home,rev2
SH-88131,E4165,Kevin Peterson,2026-09-24T14:00:00Z,2026-09-24T22:30:00Z,Claims - Auto,rev2
SH-88132,E4186,Charles Ramirez,2026-09-24T14:00:00Z,2026-09-24T22:30:00Z,Claims - Auto,rev2
SH-88133,E4130,Jonathan Osei,2026-09-24T15:00:00Z,2026-09-24T23:30:00Z,Claims - Auto,rev2
SH-88134,E4158,Richard Ross,2026-09-24T16:00:00Z,2026-09-25T00:30:00Z,Policy Service,rev2
SH-88135,E4137,Brian Davis,2026-09-24T17:00:00Z,2026-09-25T01:30:00Z,Claims - Home,rev2
SH-88136,E4193,Sharon Tanaka,2026-09-24T17:30:00Z,2026-09-25T02:00:00Z,Policy Service,rev2
SH-88137,E4116,Amanda Price,2026-09-25T00:00:00Z,2026-09-25T08:30:00Z,Claims - Auto,rev2
SH-88138,E4123,Jacob Nguyen,2026-09-25T00:00:00Z,2026-09-25T08:30:00Z,Policy Service,rev2
SH-88139,E4109,Joshua Scott,2026-09-25T00:30:00Z,2026-09-25T09:00:00Z,Billing,rev2
SH-88140,E4179,Jessica Williams,2026-09-25T11:00:00Z,2026-09-25T19:30:00Z,Claims - Home,rev2
SH-88141,E4172,Ryan Young,2026-09-25T12:00:00Z,2026-09-25T20:30:00Z,Policy Service,rev2
SH-88142,E4151,Stephanie Ramos,2026-09-25T13:00:00Z,2026-09-25T21:30:00Z,Policy Service,rev2
SH-88143,E4102,Karen Allen,2026-09-25T14:00:00Z,2026-09-25T22:30:00Z,Billing,rev2
SH-88144,E4144,Edward Ward,2026-09-25T14:00:00Z,2026-09-25T22:30:00Z,Claims - Home,rev2
SH-88145,E4165,Kevin Peterson,2026-09-25T14:00:00Z,2026-09-25T22:30:00Z,Claims - Auto,rev2
SH-88146,E4186,Charles Ramirez,2026-09-25T14:00:00Z,2026-09-25T22:30:00Z,Claims - Auto,rev2
SH-88147,E4130,Jonathan Osei,2026-09-25T15:00:00Z,2026-09-25T23:30:00Z,Claims - Auto,rev2
SH-88148,E4158,Richard Ross,2026-09-25T16:00:00Z,2026-09-26T00:30:00Z,Policy Service,rev2
SH-88149,E4137,Brian Davis,2026-09-25T17:00:00Z,2026-09-26T01:30:00Z,Claims - Home,rev2
SH-88150,E4193,Sharon Tanaka,2026-09-25T17:30:00Z,2026-09-26T02:00:00Z,Policy Service,rev2
SH-88151,E4109,Joshua Scott,2026-09-25T20:30:00Z,2026-09-26T05:00:00Z,Billing,rev2
SH-88152,E4116,Amanda Price,2026-09-26T00:00:00Z,2026-09-26T08:30:00Z,Claims - Auto,rev2
SH-88153,E4123,Jacob Nguyen,2026-09-26T00:00:00Z,2026-09-26T08:30:00Z,Policy Service,rev2
SH-88154,E4144,Edward Ward,2026-09-26T14:00:00Z,2026-09-26T22:30:00Z,Claims - Home,rev2
SH-88155,E4165,Kevin Peterson,2026-09-26T14:00:00Z,2026-09-26T22:30:00Z,Claims - Auto,rev2
SH-88156,E4186,Charles Ramirez,2026-09-26T14:00:00Z,2026-09-26T22:30:00Z,Claims - Auto,rev2
SH-88157,E4130,Jonathan Osei,2026-09-26T15:00:00Z,2026-09-26T23:30:00Z,Claims - Auto,rev2
SH-88158,E4158,Richard Ross,2026-09-26T16:00:00Z,2026-09-27T00:30:00Z,Policy Service,rev2
SH-88159,E4137,Brian Davis,2026-09-26T17:00:00Z,2026-09-27T01:30:00Z,Claims - Home,rev2
SH-88160,E4109,Joshua Scott,2026-09-26T20:30:00Z,2026-09-27T05:00:00Z,Billing,rev2
SH-88161,E4123,Jacob Nguyen,2026-09-27T00:00:00Z,2026-09-27T08:30:00Z,Policy Service,rev2
SH-88162,E4144,Edward Ward,2026-09-27T14:00:00Z,2026-09-27T22:30:00Z,Claims - Home,rev2
SH-88163,E4172,Ryan Young,2026-09-27T14:00:00Z,2026-09-27T22:30:00Z,Policy Service,rev2
SH-88164,E4130,Jonathan Osei,2026-09-27T15:00:00Z,2026-09-27T23:30:00Z,Claims - Auto,rev2
SH-88165,E4158,Richard Ross,2026-09-27T16:00:00Z,2026-09-28T00:30:00Z,Policy Service,rev2
SH-88166,E4137,Brian Davis,2026-09-27T17:00:00Z,2026-09-28T01:30:00Z,Claims - Home,rev2
SH-88167,E4193,Sharon Tanaka,2026-09-27T17:30:00Z,2026-09-28T02:00:00Z,Policy Service,rev2
SH-88168,E4109,Joshua Scott,2026-09-27T20:30:00Z,2026-09-28T05:00:00Z,Billing,rev2
