Order #,Order Date,Ship To Name,Ship To Company,Address,City,State,ZIP,Weight (lb),Dims (in),Contents
UC-5310,09/11/2026,Wei Nelson,Blue Heron Consulting,4943 Cedar Ln,Boise,ID,83702,12.0,18 x 9 x 8,Tile sample box
UC-5315,09/11/2026,Patricia Harris,Quarry Road Nursery,8651 Ash St,Tucson,AZ,85701,22.3,6 x 8 x 11,Planter large
UC-5316,09/11/2026,Thomas Turner,Riverbend Physio,1604 Dogwood Ave,Savannah,GA,31401,5.7,15 x 12 x 9,Dinner plates x4
UC-5319,09/11/2026,Wei Roberts,,5112 Ridge Rd,Minneapolis,MN,55401,1.3,23 x 20 x 8,Wall planter
UC-5322,09/11/2026,Richard Nguyen,Blue Heron Consulting,4537 Elm Dr,Denver,CO,80202,17.7,10 x 15 x 29,Ramen bowls x2
UC-5326,09/11/2026,Melissa Long,none,3474 Maple St,Denver,CO,80202,2.7,18 x 20 x 11,Salad bowl
UC-5330,09/11/2026,Shirley Rodriguez,,1648 Maple St,Hoboken,NJ,7030,7.5,6 x 13 x 16,Stoneware mug set
UC-5333,09/11/2026,Margaret Ross,Riverbend Physio,2268 Lake Dr,Eugene,OR,97401,14.9,18 x 18 x 50,Wall planter
UC-5335,09/11/2026,Wei Gomez,Juniper Street Cafe,3783 Poplar Rd,Pittsburgh,PA,15222,21.1,20 x 26 x 8,Planter large
UC-5339,09/11/2026,Laura Baker,Blue Heron Consulting,6030 Oak Ave,San Diego,CA,92101,23.5,12 x 17 x 7,Tile sample box
UC-5341,09/11/2026,Jessica Morris,Ivy Lane Florist,8701 Hickory Pl,San Diego,CA,92101,16.7,15 x 12 x 6,Stoneware mug set
UC-5345,09/11/2026,Sandra Parker,Larkspur Yoga,4773 School St,Pittsburgh,PA,15222,13.4,30 x 18 x 18,Umbrella stand
UC-5346,09/11/2026,Aisha Castillo,,7632 Laurel Ct,Tacoma,WA,98402,9.2,21 x 16 x 8,Pitcher
UC-5351,09/11/2026,Thomas Rivera,,8841 Spruce Blvd,San Diego,CA,92101,7.0,28 x 16 x 10,Salad bowl
UC-5354,09/11/2026,Paul Chavez,Larkspur Yoga,5042 Water St,Columbus,OH,43215-7572,13.7,18 x 17 x 14,Cake stand
UC-5357,09/11/2026,Daniel Moore,Juniper Street Cafe,5219 Birch Ct,Austin,TX,78701,17.8,16 x 52 x 14,Dinner plates x4
