Employee #,Legal First Name,Legal Last Name,Preferred Name,Job Title,Department,Location,Employment Status,Hire Date,Termination Date,Work Email
1002,Steven,Morgan,,Clinic Director,400 - Management,Riverbend - Springfield,Terminated,06/02/2014,08/30/2019,steven.morgan@riverbendphysio.com
1008,Nadia,Gomez,,COTA,110 - Clinical OT,Riverbend - Springfield,Active,01/18/2015,,nadia.gomez@riverbendphysio.com
1009,Richard,Myers,,Occupational Therapist,110 - Clinical OT,Riverbend - Eugene,Active,03/06/2015,,richard.myers@riverbendphysio.com
1014,Amy,Bennett,,Aquatic Therapist,105 - Aquatic Therapy,Riverbend - Springfield,Active,05/14/2015,,amy.bennett@riverbendphysio.com
1018,Kimberly,Ramirez,Kim,Rehab Aide,100 - Clinical PT,Riverbend - Eugene,Active,07/11/2015,,KIM.RAMIREZ@RIVERBENDPHYSIO.COM
1024,Priya,Johnson,,Rehab Aide,100 - Clinical PT,Riverbend - Eugene,Active,12/01/2015,,priya.johnson@riverbendphysio.com
1026,Amy,Nelson,,Front Desk Lead,200 - Front Office,Riverbend - Springfield,Active,04/20/2016,,amy.nelson@riverbendphysio.com
1027,Kevin,Cooper,,Front Desk Lead,200 - Front Office,Riverbend - Eugene,Active,07/04/2016,,kevin.cooper@riverbendphysio.com
1031,Donald,Mensah,,Operations Manager,400 - Management,Riverbend - Eugene,Active,07/25/2016,,donald.mensah@riverbendphysio.com
1035,Kenneth,Rogers,,Aquatic Therapy Aide,105 - Aquatic Therapy,Riverbend - Springfield,Terminated,09/14/2016,02/24/2026,KENNETH.ROGERS@RIVERBENDPHYSIO.COM
1038,Jacob,Rodriguez,,Aquatic Therapist,105 - Aquatic Therapy,Riverbend - Springfield,Active,11/13/2016,,JACOB.RODRIGUEZ@RIVERBENDPHYSIO.COM
1040,Amara,Torres,,COTA,110 - Clinical OT,Riverbend - Eugene,Active,02/13/2017,,amara.torres@riverbendphysio.com
1046,Joseph,Hill,,Billing Specialist,300 - Billing & Insurance,Riverbend - Eugene,Active,04/26/2017,,joseph.hill@riverbendphysio.com
1047,Deborah,Green,,Clinic Director,400 - Management,Riverbend - Springfield,Active,05/05/2017,,deborah.green@riverbendphysio.com
1049,Rebecca,Phillips,Becca,Insurance Verifier,300 - Billing & Insurance,Riverbend - Eugene,Terminated,08/14/2017,02/08/2026,REBECCA.PHILLIPS@RIVERBENDPHYSIO.COM
1054,Kenneth,Ward,,Physical Therapist,100 - Clinical PT,Riverbend - Eugene,Active,09/14/2017,,kenneth.ward@riverbendphysio.com
1056,Andrew,Moore,,Aquatic Therapy Aide,105 - Aquatic Therapy,Riverbend - Springfield,Terminated,11/03/2017,04/12/2026,andrew.moore@riverbendphysio.com
1057,David,Harris,,Patient Coordinator,200 - Front Office,Riverbend - Eugene,Active,02/03/2018,,david.harris@riverbendphysio.com
1059,Jeffrey,Gutierrez,,Front Desk Lead,200 - Front Office,Riverbend - Springfield,Active,02/24/2018,,JEFFREY.GUTIERREZ@RIVERBENDPHYSIO.COM
1063,Hiroshi,Rivera,Hiro,Rehab Aide,100 - Clinical PT,Riverbend - Eugene,Active,03/29/2018,,hiroshi.rivera@riverbendphysio.com
1067,Donna,Campbell,,Rehab Aide,100 - Clinical PT,Riverbend - Eugene,Active,06/28/2018,,donna.white@riverbendphysio.com
1070,Christopher,Morris,Chris,COTA,110 - Clinical OT,Riverbend - Eugene,Active,07/06/2018,,chris.morris@riverbendphysio.com
1075,Chloe,Watson,,Rehab Aide,100 - Clinical PT,Riverbend - Eugene,Active,10/05/2018,,chloe.watson@riverbendphysio.com
1077,Barbara,Hernandez,,Insurance Verifier,300 - Billing & Insurance,Riverbend - Springfield,Active,02/15/2019,,barbara.hernandez@riverbendphysio.com
1078,Stephanie,Alvarez,,Insurance Verifier,300 - Billing & Insurance,Riverbend - Eugene,Active,03/10/2019,,stephanie.alvarez@riverbendphysio.com
1083,Barbara,Patel,,PT Assistant,100 - Clinical PT,Riverbend - Springfield,Terminated,07/23/2019,08/11/2026,barbara.patel@riverbendphysio.com
1087,Margaret,Howard,Maggie,Patient Coordinator,200 - Front Office,Riverbend - Eugene,Active,05/06/2020,,maggie.howard@riverbendphysio.com
1089,Kevin,Stewart,,Occupational Therapist,110 - Clinical OT,Riverbend - Springfield,Terminated,10/24/2020,02/04/2026,kevin.stewart@riverbendphysio.com
1094,Anna,Edwards,,Physical Therapist,100 - Clinical PT,Riverbend - Eugene,Active,04/19/2021,,anna.edwards@riverbendphysio.com
1098,Dorothy,Parker,,Patient Coordinator,200 - Front Office,Riverbend - Springfield,Active,10/31/2021,,dorothy.parker@riverbendphysio.com
1104,Joshua,Peterson,,Patient Coordinator,200 - Front Office,Riverbend - Springfield,Active,11/16/2021,,joshua.peterson@riverbendphysio.com
1110,Marcus,Ortiz,,Physical Therapist,100 - Clinical PT,Riverbend - Springfield,Active,02/27/2022,,MARCUS.ORTIZ@RIVERBENDPHYSIO.COM
1114,Fatima,Walker,,Aquatic Therapy Aide,105 - Aquatic Therapy,Riverbend - Eugene,Active,11/17/2022,,fatima.walker@riverbendphysio.com
1119,Yuki,Clark,,Insurance Verifier,300 - Billing & Insurance,Riverbend - Springfield,Active,12/31/2022,,yuki.clark@riverbendphysio.com
1123,Carlos,Lewis,,Occupational Therapist,110 - Clinical OT,Riverbend - Eugene,Terminated,02/14/2023,01/20/2026,carlos.lewis@riverbendphysio.com
1129,Barbara,Mendoza,,PT Assistant,100 - Clinical PT,Riverbend - Eugene,Active,04/30/2023,,barbara.mendoza@riverbendphysio.com
