Mossbank Accounting - Time Detail
Period: 09/01/2026 - 09/30/2026
Work Date,Staff,Client,Service,Hours,Billable
09/01/2026,"Mossbank, Dana",Mossbank Accounting (internal),CPE training,4.00,N
09/01/2026,"Mossbank, Dana",Pinnacle Roofing,Payroll processing,4.00,Y
09/01/2026,"Oduya, Kenneth",Meridian Title,Monthly bookkeeping,1.75,Y
09/01/2026,"Oduya, Kenneth",Mossbank Accounting,Year-end close,1.75,Y
09/01/2026,"Oduya, Kenneth",Pinnacle Roofing,1065 preparation,1.75,Y
09/01/2026,"Oduya, Kenneth",Riverbend Physio,Year-end close,1.75,Y
09/01/2026,"Wojcik, Tomasz",Ironwood Fabrication,1065 preparation,6.75,Y
09/01/2026,"Lin, Grace",Nightjar Coffee Roasters,Year-end close,2.25,Y
09/01/2026,"Lin, Grace",Yellowtail Seafood,1120-S preparation,2.25,N
09/01/2026,"Haddad, Omar",Hollowell Electric,Sales tax filing,2.75,Y
09/01/2026,"Haddad, Omar",Oakhurst Pediatrics,Year-end close,2.75,Y
09/01/2026,"Ortega, Luis",Mossbank Accounting,Payroll processing,7.50,Y
09/02/2026,"Mossbank, Dana",Mossbank Accounting (internal),Admin,7.50,N
09/02/2026,"Oduya, Kenneth",Ellington Bakeries,Payroll processing,7.25,Y
09/02/2026,"Wojcik, Tomasz",Ironwood Fabrication,Review engagement,8.25,Y
09/02/2026,"Lin, Grace",Acme Industrial,1065 preparation,4.75,Y
09/02/2026,"Haddad, Omar",Mossbank Accounting (internal),CPE training,1.50,N
09/02/2026,"Haddad, Omar",Nightjar Coffee Roasters,Review engagement,1.50,Y
09/02/2026,"Haddad, Omar",Redwood Property Mgmt,1065 preparation,1.50,Y
09/02/2026,"Haddad, Omar",Redwood Property Mgmt,Sales tax filing,1.50,Y
09/02/2026,"Ortega, Luis",Mossbank Accounting,Sales tax filing,8.75,Y
09/03/2026,"Mossbank, Dana",Mossbank Accounting (internal),Practice meeting,2.25,N
09/03/2026,"Mossbank, Dana",Mossbank Accounting (internal),Practice meeting,2.25,N
09/03/2026,"Mossbank, Dana",Oakhurst Pediatrics,Review engagement,2.25,N
09/03/2026,"Mossbank, Dana",Quarry Road Nursery,Payroll processing,2.25,Y
09/03/2026,"Oduya, Kenneth",Ironwood Fabrication,Monthly bookkeeping,2.00,Y
09/03/2026,"Oduya, Kenneth",Ironwood Fabrication,Monthly bookkeeping,2.00,Y
09/03/2026,"Oduya, Kenneth",Oakhurst Pediatrics,Monthly bookkeeping,2.00,Y
09/03/2026,"Oduya, Kenneth",Oakhurst Pediatrics,1120-S preparation,2.00,Y
09/03/2026,"Raman, Priya",Ironwood Fabrication,1120-S preparation,7.25,Y
09/03/2026,"Wojcik, Tomasz",Ironwood Fabrication,Advisory,2.75,Y
09/03/2026,"Wojcik, Tomasz",Mossbank Accounting (internal),Admin,2.75,N
09/03/2026,"Wojcik, Tomasz",Oakhurst Pediatrics,1065 preparation,2.75,Y
09/03/2026,"Lin, Grace",Ironwood Fabrication,Year-end close,2.50,Y
09/03/2026,"Lin, Grace",Mossbank Accounting (internal),CPE training,2.50,N
09/03/2026,"Haddad, Omar",Mossbank Accounting (internal),Practice meeting,3.00,N
09/03/2026,"Haddad, Omar",Riverbend Physio,Payroll processing,3.00,Y
09/03/2026,"Ortega, Luis",Acme Industrial,Sales tax filing,1.75,Y
09/03/2026,"Ortega, Luis",Hollowell Electric,Monthly bookkeeping,1.75,Y
09/03/2026,"Ortega, Luis",Mossbank Accounting (internal),CPE training,1.75,N
09/03/2026,"Ortega, Luis",Yellowtail Seafood,Sales tax filing,1.75,Y
09/04/2026,"Mossbank, Dana",Ironwood Fabrication,1065 preparation,2.25,N
09/04/2026,"Mossbank, Dana",Pinnacle Roofing,Advisory,2.25,N
09/04/2026,"Mossbank, Dana",Quarry Road Nursery,Year-end close,2.25,Y
09/04/2026,"Mossbank, Dana",Quill & Ink Print Shop,Sales tax filing,2.25,Y
09/04/2026,"Raman, Priya",Acme Industrial,Monthly bookkeeping,2.00,Y
09/04/2026,"Raman, Priya",Meridian Title,Year-end close,2.00,Y
09/04/2026,"Raman, Priya",Quill & Ink Print Shop,1120-S preparation,2.00,Y
09/04/2026,"Raman, Priya",Yellowtail Seafood,Year-end close,2.00,Y
09/04/2026,"Wojcik, Tomasz",Mossbank Accounting,Sales tax filing,7.25,Y
09/04/2026,"Lin, Grace",Mossbank Accounting,1065 preparation,1.50,N
09/04/2026,"Lin, Grace",Mossbank Accounting (internal),Admin,1.50,N
09/04/2026,"Lin, Grace",Mossbank Accounting (internal),CPE training,1.50,N
09/04/2026,"Haddad, Omar",Acme Industrial,Advisory,2.00,Y
09/04/2026,"Haddad, Omar",Hollowell Electric,Payroll processing,2.00,Y
09/04/2026,"Haddad, Omar",Nightjar Coffee Roasters,Sales tax filing,2.00,Y
09/04/2026,"Ortega, Luis",Acme Industrial,Advisory,2.00,Y
09/04/2026,"Ortega, Luis",Mossbank Accounting (internal),CPE training,2.00,N
09/04/2026,"Ortega, Luis",Oakhurst Pediatrics,1065 preparation,2.00,Y
09/04/2026,"Ortega, Luis",Riverbend Physio,Advisory,2.00,Y
09/07/2026,"Mossbank, Dana",Ellington Bakeries,Advisory,2.00,Y
