invoice,customer,customer_email,plan,period_start,period_end,amount,status,created,memo
INV-20419,cus_j34zk7g4,jacob_flores@gmail.com,Monthly - 2 bags,2025-10-02,2025-11-01,34.00,paid,2025-10-02,
INV-20421,cus_8s9gdqwu,thomas.richardson@hotmail.com,Monthly - 1 bag,2025-10-02,2025-11-01,19.00,paid,2025-10-02,
INV-20423,cus_ns2asbkz,gomez.eric@protonmail.com,Monthly - 2 bags,2025-10-02,2025-11-01,34.00,paid,2025-10-02,
INV-20425,cus_crxxgwmf,leila.ramirez@icloud.com,Monthly - 1 bag,2025-10-03,2025-11-02,19.00,paid,2025-10-03,
INV-20428,cus_awaugsgj,haddad.kevin@hotmail.com,Quarterly prepaid - 1 bag/mo,2025-10-03,2026-01-02,54.00,failed,2025-10-03,
INV-20431,cus_3bwmc4tx,carlos_johnson@yahoo.com,Monthly - 1 bag,2025-10-03,2025-11-02,19.00,paid,2025-10-03,
INV-20434,cus_9gxn29nt,patel.jennifer@aol.com,Monthly - 1 bag,2025-10-03,2025-11-02,19.00,paid,2025-10-03,
INV-20437,cus_fghfk74d,barbaraokafor8@outlook.com,Monthly - 1 bag,2025-10-03,2025-11-02,19.00,paid,2025-10-03,
INV-20438,cus_5umzkvay,michelleflores62@icloud.com,Monthly - 1 bag,2025-10-04,2025-11-03,19.00,paid,2025-10-04,
INV-20439,cus_awaugsgj,haddad.kevin@hotmail.com,Quarterly prepaid - 1 bag/mo,2025-10-03,2026-01-02,54.00,paid,2025-10-04,
INV-20442,cus_v2e33ups,pmorris@gmail.com,Monthly - 1 bag,2025-10-04,2025-11-03,19.00,paid,2025-10-04,
INV-20445,cus_xmbaa48k,clark.richard@aol.com,Monthly - 1 bag,2025-10-04,2025-11-03,19.00,paid,2025-10-04,
INV-20446,cus_d5y845dr,steven_johnson@icloud.com,Monthly - 2 bags,2025-10-05,2025-11-04,34.00,failed,2025-10-05,
INV-20448,cus_hpnj6as3,slong@protonmail.com,Monthly - 2 bags,2025-10-05,2025-11-04,34.00,paid,2025-10-05,
INV-20450,cus_4gyxc6pd,marcus_miller@hotmail.com,Monthly - 2 bags,2025-10-05,2025-11-04,34.00,paid,2025-10-05,
INV-20451,cus_rj44nx26,deborahwright62@protonmail.com,Monthly - 1 bag,2025-10-06,2025-11-05,19.00,paid,2025-10-06,
INV-20453,cus_buxrk375,mwright@hotmail.com,Monthly - 1 bag,2025-10-06,2025-11-05,19.00,paid,2025-10-06,
INV-20455,cus_d5y845dr,steven_johnson@icloud.com,Monthly - 2 bags,2025-10-05,2025-11-04,34.00,paid,2025-10-06,
INV-20456,cus_u8pk7hxk,cturner@gmail.com,Monthly - 2 bags,2025-10-08,2025-11-07,34.00,failed,2025-10-08,
INV-20458,cus_yadgjf2m,mmorgan@gmail.com,Monthly - 2 bags,2025-10-08,2025-11-07,34.00,paid,2025-10-08,
