Ticket,Received,From,Subject,Reason,Handled by
#3100,01/07/2026,SANDRA_ROGERS@GMAIL.COM,Cancel subscription,budget,Sam
#3101,01/11/2026,carlos.baker@me.com,Cancel subscription,budget,Sam
#3102,01/14/2026,chill@me.com,Cancel subscription,switching roasters,Jo
#3103,01/15/2026,jennifer_thompson@icloud.com,Cancel subscription,switching roasters,Jo
#3104,01/27/2026,murphy.betty@yahoo.com,Cancel subscription,price,Sam
#3105,02/07/2026,mwright@hotmail.com,Cancel subscription,price,Jo
#3106,02/09/2026,joshua_stewart@aol.com,Cancel subscription,budget,Jo
#3107,02/11/2026,slong@protonmail.com,Cancel subscription,budget,Sam
#3108,02/13/2026,paul.johnson@me.com,Cancel subscription,too much coffee,Jo
#3109,02/15/2026,amararichardson43@yahoo.com,Cancel subscription,not for me,Jo
#3110,02/19/2026,jessica.reed@icloud.com,Cancel subscription,moving,Sam
#3111,02/20/2026,fatimahernandez46@protonmail.com,Cancel subscription,too much coffee,Sam
#3112,02/23/2026,WATSON.MARK@AOL.COM,Cancel subscription,going on a long trip,Sam
#3113,02/26/2026,price.luis@gmail.com,Cancel subscription,too much coffee,Sam
#3114,03/06/2026,ASHLEY.MURPHY@YAHOO.COM,Cancel subscription,didn't like the roast,Sam
#3115,03/06/2026,ADIAZ@YAHOO.COM,Cancel subscription,too much coffee,Jo
#3116,03/09/2026,MARY.MORGAN@ME.COM,Cancel subscription,switching roasters,Jo
#3117,03/13/2026,williammyers93@protonmail.com,Cancel subscription,too much coffee,Jo
#3118,03/14/2026,haddad.kevin@hotmail.com,Cancel subscription,price,Jo
#3119,03/23/2026,elizabeth.allen@yahoo.com,Cancel subscription,price,Sam
#3120,03/27/2026,carlos.morgan@gmail.com,Cancel subscription,too much coffee,Sam
#3121,04/01/2026,tomasz.gutierrez@protonmail.com,Cancel subscription,going on a long trip,Sam
#3122,04/04/2026,sandra_thomas@protonmail.com,Cancel subscription,budget,Sam
#3123,04/17/2026,pbrooks@me.com,Cancel subscription,didn't like the roast,Sam
#3124,05/01/2026,weiwright62@aol.com,Cancel subscription,switching roasters,Jo
#3125,05/05/2026,anderson.dmitri@me.com,Cancel subscription,switching roasters,Sam
#3126,05/12/2026,kimberlyallen21@gmail.com,Cancel subscription,too much coffee,Sam
#3127,05/13/2026,ashleystewart38@me.com,Cancel subscription,didn't like the roast,Jo
#3128,05/18/2026,patricia_jackson@aol.com,Cancel subscription,price,Sam
#3129,05/18/2026,MURPHY.MICHAEL@GMAIL.COM,Cancel subscription,moving,Sam
#3130,05/29/2026,dflores@aol.com,Cancel subscription,moving,Sam
#3131,05/29/2026,JACOB_FLORES@GMAIL.COM,Cancel subscription,budget,Sam
#3132,06/03/2026,reed.barbara@aol.com,Cancel subscription,too much coffee,Sam
#3133,07/02/2026,lnelson@hotmail.com,Cancel subscription,not for me,Sam
