Timestamp,Email Address,1. The Wi-Fi is fast and reliable.,2. The front desk team is helpful.,3. The kitchen and coffee area are kept clean.,4. It is hard to find a quiet place to take a call.,5. Booking a meeting room is easy.,6. I feel part of a community here.,7. I often can't find a desk when I arrive.,8. The monthly member events are worth attending.,9. The space is too cold or too warm most days.,10. I would recommend Foundry Commons to a friend.
8/3/2026 09:00:00,amara@foundrycommons.co,Strongly agree,Strongly disagree,Strongly agree,Strongly Disagree,Strongly agree,Strongly disagree,Strongly agree,,Strongly agree,Strongly disagree
8/3/2026 14:41:00,susan_davis@hotmail.com,Disagree,Agree,N/A,Agree,Agree,Neither agree nor disagree,Strongly disagree,,Agree,Strongly agree
8/3/2026 21:28:00,chloe_flores@gmail.com,Neither agree nor disagree,Strongly Agree,Disagree,Strongly agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,,Strongly agree,Strongly agree
8/4/2026 04:31:00,stevencox17@protonmail.com,Disagree,Agree,Neither agree nor disagree,Disagree,Disagree,Strongly disagree,Agree,,,Strongly agree
8/4/2026 15:00:00,test@foundrycommons.co,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,,Strongly agree,Strongly disagree
8/4/2026 17:57:00,ashley.martin@me.com,Strongly agree,Strongly agree,Agree,N/A,N/A,Disagree,Agree,,Strongly disagree,Strongly Agree
8/4/2026 18:20:00,rlong@me.com,Disagree,Agree,Strongly agree,Agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,,Agree,Agree
8/4/2026 20:26:00,paulyoung77@protonmail.com,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,N/A,Neither agree nor disagree,Agree,,Neither agree nor disagree,Agree
8/4/2026 22:23:00,daniel_walker@icloud.com,,N/A,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly agree,N/A,,N/A,Agree
8/4/2026 22:38:00,smith.john@me.com,Agree,Strongly agree,Agree,Agree,Disagree,Strongly Agree,Disagree,,N/A,Strongly agree
8/5/2026 00:10:00,tsmith@protonmail.com,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,N/A,Strongly agree,Agree,,Strongly agree,Agree
8/5/2026 02:01:00,angela.osei@yahoo.com,Strongly agree,,,Neither Agree Nor Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,Strongly agree,Neither agree nor disagree
8/5/2026 05:35:00,gscott@outlook.com,Neither agree nor disagree,Agree,,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Agree,,Neither agree nor disagree,Disagree
8/5/2026 10:45:00,christopher.long@hotmail.com,Agree,Strongly Agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,,N/A,Disagree
8/5/2026 11:13:00,marcus_cook@icloud.com,Agree,Strongly agree,Agree,Neither agree nor disagree,Disagree,Disagree,N/A,,Agree,Strongly agree
8/5/2026 11:56:00,fatima_wood@hotmail.com,Agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,,Neither agree nor disagree,Agree
8/5/2026 14:10:00,acook@icloud.com,Disagree,Strongly agree,Neither agree nor disagree,Agree,Disagree,Strongly agree,Strongly disagree,,Disagree,Strongly Agree
8/5/2026 21:00:00,frontdesk@foundrycommons.co,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,,Strongly Agree,Strongly disagree
8/6/2026 05:57:00,jasonortiz88@icloud.com,Neither agree nor disagree,Strongly agree,Agree,Agree,Disagree,Agree,Neither agree nor disagree,,Agree,Strongly agree
8/6/2026 10:05:00,sokafor@protonmail.com,Agree,,N/A,Strongly agree,N/A,Neither agree nor disagree,Disagree,Agree,Agree,Agree
8/6/2026 12:35:00,rmensah@hotmail.com,Disagree,Strongly agree,Disagree,Strongly disagree,Neither agree nor disagree,Strongly Disagree,Disagree,Agree,Agree,
8/6/2026 12:52:00,rbrown@hotmail.com,Neither agree nor disagree,Agree,Agree,Agree,,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Agree,Strongly agree
8/6/2026 14:33:00,lindalopez44@hotmail.com,Strongly agree,Strongly agree,N/A,Neither Agree Nor Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,N/A
8/6/2026 17:40:00,sharon.brooks@hotmail.com,N/A,Strongly agree,Agree,Strongly agree,Disagree,Strongly agree,Disagree,Strongly disagree,Disagree,Agree
8/6/2026 17:45:00,kathleen_flores@gmail.com,Agree,Strongly Agree,Agree,Disagree,Agree,Strongly agree,Strongly disagree,Neither agree nor disagree,Agree,Agree
8/6/2026 17:47:00,ryan.morales@protonmail.com,Neither Agree Nor Disagree,Agree,Neither agree nor disagree,Strongly agree,,Strongly agree,Agree,Neither agree nor disagree,N/A,Agree
8/6/2026 17:59:00,robertmitchell86@protonmail.com,Disagree,Strongly agree,Neither agree nor disagree,,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,N/A,Neither agree nor disagree,Agree
8/6/2026 18:40:00,elizabeth.haddad@icloud.com,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Agree
8/6/2026 21:45:00,brianreed64@yahoo.com,Neither agree nor disagree,Agree,Agree,Agree,Strongly disagree,N/A,Neither agree nor disagree,Agree,Strongly Agree,Neither agree nor disagree
8/7/2026 02:31:00,STEVENCOX17@PROTONMAIL.COM,Agree,Strongly agree,Agree,Neither agree nor disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Neither Agree Nor Disagree,Agree,Agree
8/7/2026 08:49:00,rivera.amara@yahoo.com,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly agree,Disagree,Strongly agree,Neither Agree Nor Disagree,N/A,Agree,N/A
8/7/2026 11:41:00,SUSAN_DAVIS@HOTMAIL.COM,Neither agree nor disagree,Strongly agree,Disagree,Disagree,N/A,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly agree
8/7/2026 15:14:00,amara_robinson@hotmail.com,Strongly agree,Neither agree nor disagree,N/A,Disagree,Agree,Agree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree
8/7/2026 18:08:00,reyes.george@gmail.com,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,N/A,Agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
8/7/2026 20:39:00,lward@outlook.com,Agree,Strongly agree,Neither Agree Nor Disagree,Strongly agree,Strongly agree,Agree,Disagree,Disagree,Agree,Strongly agree
8/7/2026 20:58:00,howard.john@icloud.com,Strongly agree,N/A,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree
8/7/2026 21:44:00,nadiawilson94@gmail.com,,Strongly agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree
8/7/2026 22:44:00,michael_wright@protonmail.com,Agree,Strongly agree,Agree,Strongly agree,Agree,Neither agree nor disagree,Neither agree nor disagree,,Agree,Agree
8/8/2026 04:28:00,campbell.george@me.com,Disagree,Agree,Strongly agree,Disagree,Neither agree nor disagree,Disagree,Agree,Strongly disagree,Agree,N/A
8/8/2026 05:32:00,john_brown@aol.com,Agree,Disagree,Neither agree nor disagree,Agree,Agree,Agree,Strongly disagree,Agree,Neither Agree Nor Disagree,Neither agree nor disagree
8/8/2026 11:30:00,cynthia_wood@me.com,Neither agree nor disagree,Strongly agree,Agree,N/A,Disagree,Disagree,Neither agree nor disagree,Agree,Agree,Agree
8/8/2026 11:47:00,Ryan.morales@protonmail.com,Strongly agree,Strongly agree,Disagree,Strongly agree,N/A,Agree,N/A,,Disagree,
8/8/2026 12:02:00,bailey.lisa@aol.com,Disagree,Agree,Agree,Strongly disagree,Agree,Agree,Agree,Strongly agree,Agree,Disagree
