ParkLedger - Resident ledger detail
Pine Hollow Community | Posted 07/31/2026 - 09/03/2026
NOTE: automatic late fees disabled 08/01/2026 - 08/31/2026 (v6 upgrade)
Lot,Resident,Date Posted,Date Received,Type,Description,Charge,Payment
A-01,Rebecca Garcia,08/01/2026,,Lot Rent,Lot rent August 2026,635.00,
A-01,Rebecca Garcia,08/01/2026,,Water/Sewer,Water/sewer - July meter read,65.25,
A-01,Rebecca Garcia,08/01/2026,,Trash,Trash service August,24.00,
A-01,Rebecca Garcia,08/03/2026,08/03/2026,Payment,Payment - Check,,724.25
A-02,Kimberly Rogers,08/01/2026,,Lot Rent,Lot rent August 2026,545.00,
A-02,Kimberly Rogers,08/01/2026,,Water/Sewer,Water/sewer - July meter read,86.84,
A-02,Kimberly Rogers,08/01/2026,,Trash,Trash service August,24.00,
A-02,Kimberly Rogers,08/02/2026,08/02/2026,Payment,Payment - Check,,655.84
A-03,Gary Phillips,08/01/2026,,Lot Rent,Lot rent August 2026,565.00,
A-03,Gary Phillips,08/01/2026,,Water/Sewer,Water/sewer - July meter read,53.51,
A-03,Gary Phillips,08/01/2026,,Trash,Trash service August,24.00,
A-03,Gary Phillips,08/03/2026,08/03/2026,Payment,Payment - Money order,,254.25
A-03,Gary Phillips,08/22/2026,08/22/2026,Payment,Payment - Money order,,388.26
A-04,Joshua Morris,08/01/2026,,Lot Rent,Lot rent August 2026,545.00,
A-04,Joshua Morris,08/01/2026,,Water/Sewer,Water/sewer - July meter read,45.35,
A-04,Joshua Morris,08/01/2026,,Trash,Trash service August,24.00,
A-04,Joshua Morris,09/02/2026,09/01/2026,Payment,Payment - Drop box,,614.35
A-05,Dorothy Howard,08/01/2026,,Lot Rent,Lot rent August 2026,545.00,
A-05,Dorothy Howard,08/01/2026,,Water/Sewer,Water/sewer - July meter read,44.57,
A-05,Dorothy Howard,08/01/2026,,Trash,Trash service August,24.00,
A-05,Dorothy Howard,08/04/2026,08/04/2026,Payment,Payment - Money order,,613.57
A-06,Margaret Cook,08/01/2026,,Lot Rent,Lot rent August 2026,635.00,
A-06,Margaret Cook,08/01/2026,,Water/Sewer,Water/sewer - July meter read,60.57,
A-06,Margaret Cook,08/01/2026,,Trash,Trash service August,24.00,
A-06,Margaret Cook,08/02/2026,08/02/2026,Payment,Payment - Money order,,719.57
A-07,Sarah Torres,08/01/2026,,Lot Rent,Lot rent August 2026,635.00,
A-07,Sarah Torres,08/01/2026,,Water/Sewer,Water/sewer - July meter read,72.35,
A-07,Sarah Torres,08/01/2026,,Trash,Trash service August,24.00,
A-07,Sarah Torres,08/04/2026,08/04/2026,Payment,Payment - Money order,,731.35
A-08,Sarah Foster,08/01/2026,,Lot Rent,Lot rent August 2026,660.00,
A-08,Sarah Foster,08/01/2026,,Water/Sewer,Water/sewer - July meter read,67.27,
A-08,Sarah Foster,08/01/2026,,Trash,Trash service August,24.00,
A-08,Sarah Foster,08/01/2026,08/01/2026,Payment,Payment - Check,,751.27
A-09,Richard Richardson,08/01/2026,,Lot Rent,Lot rent August 2026,635.00,
A-09,Richard Richardson,08/01/2026,,Water/Sewer,Water/sewer - July meter read,89.62,
