entry_id,employee_id,employee_name,work_date,hours,sheet_signed
HC-128_2026-08-31,HC-128,Kimberly Rogers,2026-08-31,4.75,yes
HC-128_2026-09-01,HC-128,Kimberly Rogers,2026-09-01,10.25,yes
HC-128_2026-09-02,HC-128,Kimberly Rogers,2026-09-02,2.25,yes
HC-128_2026-09-03,HC-128,Kimberly Rogers,2026-09-03,5.25,yes
HC-128_2026-09-04,HC-128,Kimberly Rogers,2026-09-04,2.75,yes
HC-128_2026-09-07,HC-128,Kimberly Rogers,2026-09-07,6.00,yes
HC-128_2026-09-08,HC-128,Kimberly Rogers,2026-09-08,4.00,yes
HC-128_2026-09-09,HC-128,Kimberly Rogers,2026-09-09,2.75,yes
HC-128_2026-09-10,HC-128,Kimberly Rogers,2026-09-10,8.00,yes
HC-128_2026-09-11,HC-128,Kimberly Rogers,2026-09-11,2.50,yes
HC-146_2026-08-31,HC-146,Deborah Okafor,2026-08-31,6.75,yes
HC-146_2026-09-01,HC-146,Deborah Okafor,2026-09-01,7.25,yes
HC-146_2026-09-02,HC-146,Deborah Okafor,2026-09-02,8.50,yes
HC-146_2026-09-03,HC-146,Deborah Okafor,2026-09-03,8.50,yes
HC-146_2026-09-04,HC-146,Deborah Okafor,2026-09-04,8.00,yes
HC-146_2026-09-07,HC-146,Deborah Okafor,2026-09-07,7.50,yes
HC-146_2026-09-08,HC-146,Deborah Okafor,2026-09-08,6.00,yes
HC-146_2026-09-09,HC-146,Deborah Okafor,2026-09-09,6.25,yes
HC-146_2026-09-10,HC-146,Deborah Okafor,2026-09-10,8.50,yes
HC-146_2026-09-11,HC-146,Deborah Okafor,2026-09-11,7.25,yes
HC-146_2026-09-12,HC-146,Deborah Okafor,2026-09-12,6.50,yes
HC-175_2026-08-30,HC-175,Rebecca Garcia,2026-08-30,5.50,yes
HC-175_2026-08-31,HC-175,Rebecca Garcia,2026-08-31,7.50,yes
HC-175_2026-09-02,HC-175,Rebecca Garcia,2026-09-02,8.00,yes
HC-175_2026-09-03,HC-175,Rebecca Garcia,2026-09-03,4.50,yes
HC-175_2026-09-05,HC-175,Rebecca Garcia,2026-09-05,6.00,yes
HC-175_2026-09-07,HC-175,Rebecca Garcia,2026-09-07,5.25,no
HC-175_2026-09-08,HC-175,Rebecca Garcia,2026-09-08,5.25,no
HC-175_2026-09-10,HC-175,Rebecca Garcia,2026-09-10,8.00,no
HC-175_2026-09-11,HC-175,Rebecca Garcia,2026-09-11,4.50,no
