date,shift,employee,hours,tip_share
2026-08-10,Dinner,"Johnson, Anna",6.50,111.29
2026-08-10,Dinner,"Gonzalez, Anthony",6.75,115.57
2026-08-10,Dinner,"Allen, David",6.50,111.29
2026-08-10,Dinner,"Parker, Deborah",6.00,102.73
2026-08-10,Dinner,"Brown, Gary",6.50,111.29
2026-08-10,Dinner,"Okafor, Ingrid",4.50,77.04
2026-08-10,Dinner,"Stewart, Laura",5.00,85.61
2026-08-10,Dinner,"Wright, Laura",6.00,102.73
2026-08-10,Dinner,"Williams, Patricia",5.00,85.61
2026-08-10,Dinner,"Ramos, Sandra",5.25,89.89
2026-08-10,Dinner,"Green, Susan",6.25,107.01
2026-08-11,Lunch,"Carter, Aisha",4.25,63.71
2026-08-11,Lunch,"Parker, Deborah",4.25,63.71
2026-08-11,Lunch,"Price, James",3.50,52.46
2026-08-11,Lunch,"Stewart, Laura",4.00,59.96
2026-08-11,Lunch,"Wright, Laura",4.50,67.46
2026-08-11,Lunch,"Williams, Patricia",4.25,63.71
2026-08-11,Lunch,"Green, Susan",4.75,71.20
2026-08-11,Lunch,"Ruiz, Timothy",3.75,56.21
2026-08-11,Dinner,"Carter, Aisha",7.00,113.85
2026-08-11,Dinner,"Parker, Deborah",4.75,77.26
2026-08-11,Dinner,"Brown, Gary",6.50,105.72
2026-08-11,Dinner,"Price, James",6.00,97.59
2026-08-11,Dinner,"Murphy, Jessica",6.25,101.66
2026-08-11,Dinner,"Stewart, Laura",6.25,101.65
2026-08-11,Dinner,"Wright, Laura",7.00,113.85
2026-08-11,Dinner,"Williams, Patricia",4.75,77.26
2026-08-11,Dinner,"Ramos, Sandra",5.25,85.39
2026-08-11,Dinner,"Green, Susan",5.50,89.46
2026-08-11,Dinner,"Ruiz, Timothy",7.00,113.85
2026-08-12,Lunch,"Brown, Gary",5.00,84.33
2026-08-12,Lunch,"Price, James",4.50,75.90
2026-08-12,Lunch,"Murphy, Jessica",5.25,88.55
2026-08-12,Lunch,"Wright, Laura",4.50,75.90
2026-08-12,Lunch,"Wood, Patricia",3.50,59.03
2026-08-12,Lunch,"Reed, Sarah",4.75,80.11
2026-08-12,Lunch,"Green, Susan",4.75,80.11
